match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,captain,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper
14566892,home,PSV Eindhoven,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196,2046,M,927366,EUR,958521600,G,32,32,False,34.0,18.0,15.0,1.0,0.0,17.0,23.0,1.0,11.0,1.0,1.0,9.0,1.0,2.0,6.0,90.0,47.0,6.0,16.0,0.00276886,24.876,5.30457,0.0,37.403892226674,6.0,19.11,4.83,0.4746,1.0,0,-0.3768,-0.03,0.01,-0.55,0.32,3.46,1.66,0.15,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566892,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173,6111,M,906021,EUR,973209600,D,8,8,False,57.0,53.0,1.0,1.0,0.0,23.0,24.0,30.0,33.0,,7.0,6.0,,,,90.0,92.0,6.0,21.0,0.110339,31.896,11.30661,17.0,126.58715291507,13.0,70.455,24.36,,1.0,1,,0.35,0.18,-0.59,,2.89,5.72,1.58,0.75,0.36,sergino,3.0,1.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,0.0134,0.01,,,,,,,,,,,,,,,,
14566892,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,D,22,22,False,66.0,61.0,2.0,2.0,0.0,38.0,39.0,23.0,27.0,5.0,6.0,4.0,,,,90.0,79.0,6.3,5.0,0.0329831,31.428,10.29498,8.0,187.309592931,23.0,17.22,21.42,,,0,,0.31,0.1,-0.4,,3.0,5.17,1.46,0.49,0.17,,,1.0,5.0,,1.0,1.0,,4.0,3.0,1.0,,,,,True,1.0,2.0,1.0,,,,,,,,,,,,
14566892,home,PSV Eindhoven,Yarek Gasiorowski,Yarek Gasiorowski,,gasiorowski-yarek,Y. Gasiorowski,D,3,190,1664,M,1184317,EUR,1105488000,D,3,3,False,33.0,30.0,2.0,,0.0,29.0,31.0,1.0,2.0,1.0,3.0,7.0,1.0,,,59.0,40.0,5.5,3.0,0.00046453,31.644,6.39345,5.0,44.641598601759,8.0,-8.61,5.985,,,0,,-0.04,0.02,-0.64,,1.84,3.36,0.79,0.31,0.09,,,,1.0,,,,,3.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,
14566892,home,PSV Eindhoven,Anass Salah-Eddine,,,anass-salah-eddine,A. Salah-Eddine,D,2,179,6700,M,961684,EUR,1011312000,D,2,2,False,37.0,30.0,5.0,2.0,0.0,12.0,17.0,18.0,20.0,,4.0,4.0,,,,90.0,61.0,7.6,11.0,0.461262,29.7,10.16397,8.0,189.90887635201,19.0,59.535,13.44,,1.0,0,,0.53,0.03,-0.29,,3.24,4.79,1.47,0.52,0.13,,1.0,1.0,13.0,2.0,1.0,1.0,,1.0,,8.0,,2.0,,,,5.0,3.0,3.0,,,1.0,1.0,,,,,,,,
14566892,home,PSV Eindhoven,Paul Wanner,,,paul-wanner,P. Wanner,M,10,186,3832,M,1146018,EUR,1135296000,M,10,10,False,20.0,14.0,1.0,1.0,0.0,4.0,5.0,10.0,15.0,1.0,4.0,2.0,,,,59.0,26.0,6.3,8.0,0.00857374,28.044,7.31731,4.0,85.006500048119,7.0,56.385,29.295,,,0,,-0.01,0.01,-0.18,,1.74,3.56,1.4,0.56,0.06,,,1.0,3.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14566892,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,M,17,17,False,51.0,48.0,2.0,1.0,0.0,17.0,19.0,31.0,32.0,2.0,6.0,10.0,,,,90.0,76.0,7.0,7.0,0.0375146,28.44,12.21605,4.0,117.08788581647,20.0,-0.20999999999995,11.655,,,1,,0.13,0.14,-0.09,,2.76,6.11,2.53,0.74,0.08,,,1.0,10.0,1.0,4.0,3.0,,3.0,1.0,6.0,,2.0,0.011,-0.11,,4.0,1.0,1.0,1.0,,,,1.0,,,,,,,
14566892,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3777,M,850816,EUR,911433600,M,23,23,False,80.0,68.0,11.0,7.0,0.0,26.0,28.0,42.0,52.0,,3.0,3.0,,,,90.0,102.0,7.1,21.0,0.351895,29.484,11.59083,4.0,190.61998291036,24.0,27.195,19.215,,3.0,1,,0.49,0.13,-0.17,,2.92,5.7,2.28,0.59,0.11,,10.0,1.0,1.0,,,,,5.0,,,,1.0,0.032,-0.08,,,1.0,,3.0,,2.0,,,1.0,0.105,,,,,
14566892,home,PSV Eindhoven,Couhaib Driouech,,,couhaib-driouech,C. Driouech,F,11,175,4617,M,1047395,EUR,1019001600,M,11,11,False,29.0,21.0,2.0,,1.0,9.0,11.0,12.0,18.0,,2.0,4.0,,,,81.0,43.0,6.9,12.0,0.225933,33.264,9.51731,17.0,151.42461212293,16.0,83.79,20.265,,3.0,4,,0.18,0.71,-0.27,,2.89,3.84,1.63,0.73,0.42,,2.0,,2.0,,1.0,1.0,3.0,1.0,,1.0,,2.0,0.4799,-0.63,,,,,2.0,,1.0,1.0,1.0,,,2.0,,,,
14566892,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2259,M,845798,EUR,882748800,F,20,20,False,15.0,12.0,,,0.0,5.0,6.0,7.0,9.0,1.0,3.0,1.0,,,,73.0,20.0,7.5,5.0,0.075356,32.4,8.60864,12.0,56.831957095171,4.0,34.755,35.28,,2.0,1,,0.25,0.13,-0.02,,2.42,4.06,1.28,0.53,0.31,,,,,1.0,1.0,,,,1.0,,,,0.6921,0.51,,,,,,,,2.0,,1.0,0.9927,,1.0,,,
