match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_totalClearance,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_aerialLost,stat_goals,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_errorLeadToAGoal
11124843,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,23.0,17.0,11.0,5.0,14.0,16.0,3.0,7.0,4.0,90.0,24.0,6.8,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11124843,home,Club Brugge KV,Denis Odoi,denis-odoi,D. Odoi,M,3,177,876,M,58994,EUR,580694400,D,6,6,False,60.0,53.0,8.0,8.0,22.0,24.0,31.0,36.0,8.0,90.0,80.0,7.9,7.0,4,Denis,Odoi,1.0,3.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11124843,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,58.0,52.0,5.0,2.0,31.0,34.0,21.0,24.0,5.0,90.0,65.0,7.2,6.0,0,,,2.0,1.0,6.0,,,,,1.0,3.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
11124843,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,False,67.0,64.0,5.0,4.0,46.0,46.0,18.0,21.0,9.0,90.0,77.0,7.9,4.0,1,Jorne,Spileers,,,2.0,,1.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11124843,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,52.0,34.0,3.0,2.0,8.0,14.0,28.0,44.0,8.0,90.0,81.0,7.0,28.0,1,Bjorn Meijer,,,5.0,2.0,3.0,,1.0,,1.0,,,1.0,,3.0,1.0,1.0,,,1.0,3.0,1.0,6.0,2.0,2.0,,,,,,,,,,
11124843,home,Club Brugge KV,Mats Rits,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,26,26,False,34.0,32.0,3.0,3.0,16.0,16.0,16.0,18.0,4.0,69.0,41.0,8.9,2.0,4,,,1.0,3.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,
11124843,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,33.0,30.0,,,20.0,20.0,10.0,13.0,7.0,51.0,43.0,7.0,3.0,0,,,1.0,2.0,6.0,1.0,,,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
11124843,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,31.0,25.0,1.0,1.0,6.0,8.0,20.0,29.0,3.0,69.0,53.0,7.9,15.0,3,,,1.0,3.0,8.0,,2.0,,1.0,,,,3.0,,4.0,4.0,4.0,,,1.0,1.0,1.0,6.0,1.0,3.0,,,1.0,,,,,,,
11124843,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,50.0,46.0,6.0,6.0,19.0,20.0,27.0,30.0,3.0,76.0,59.0,8.6,6.0,2,,,3.0,1.0,5.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,3.0,,,,1.0,,2.0,1.0,,,,,1.0,,True,,,,,,
11124843,home,Club Brugge KV,Noa Lang,noa-lang,N. Lang,F,77,173,15023,M,875136,EUR,929577600,M,10,10,False,37.0,32.0,1.0,1.0,9.0,10.0,24.0,30.0,2.0,69.0,60.0,8.8,16.0,4,,,,7.0,5.0,,,3.0,,,1.0,1.0,1.0,,4.0,5.0,3.0,,,,1.0,1.0,3.0,1.0,5.0,,1.0,1.0,,noano,2.0,,,,
11124843,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,False,20.0,17.0,1.0,1.0,4.0,5.0,13.0,15.0,4.0,90.0,36.0,9.2,7.0,6,,,,3.0,2.0,,3.0,3.0,,,,,2.0,1.0,1.0,,,1.0,,1.0,3.0,,,,1.0,1.0,3.0,,,,,,,,
