match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,captain,stat_aerialLost,stat_blockedScoringAttempt,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_hitWoodwork
10583831,home,Al Adalah,Walead Alshangeati,,,walead-alshangeati,W. Alshangeati,F,11,178.0,6,M,893190,EUR,758073600,F,21,21,True,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,9.0,2.0,6.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,home,Al Adalah,Ali Al-Amri,,,ali-al-amri,A. Al-Amri,G,22,178.0,1,M,847381,EUR,777427200,G,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,home,Al Adalah,Ali Al-Salem,,,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800,D,49,49,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,home,Al Adalah,Abdullah Al-Yousef,Abdullah,Al-Yousef,abdullah-al-yousef,A. Al-Yousef,D,8,174.0,2,M,868661,EUR,621907200,D,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,home,Al Adalah,Ahmed Al-Sultan,,,ahmed-al-sultan,A. Al-Sultan,M,,166.0,1,M,818610,EUR,743299200,M,6,6,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Seung-gyu Kim,,,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,23.0,22.0,3.0,2.0,21.0,21.0,1.0,2.0,,10.0,,3.0,3.0,,,90.0,33.0,7.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Fawaz Al-Sagour,,,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,27.0,20.0,6.0,3.0,10.0,12.0,12.0,20.0,1.0,4.0,,,,,,88.0,47.0,7.0,13.0,1,5.0,5.0,4.0,2.0,,1.0,,,,1.0,3.0,3.0,,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,
10583831,away,Al-Shabab,Iago Santos,,,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,55.0,47.0,9.0,5.0,36.0,37.0,11.0,18.0,1.0,3.0,,,,,,90.0,68.0,7.8,8.0,1,,3.0,6.0,,,5.0,1.0,1.0,,1.0,,4.0,,2.0,,3.0,1.0,,,,,,,,,,,
10583831,away,Al-Shabab,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,881837,EUR,918518400,D,5,5,False,60.0,54.0,6.0,2.0,38.0,39.0,16.0,21.0,,8.0,,,,,,90.0,65.0,7.1,7.0,0,,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Moteb Al-Harbi,,,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,1022679,EUR,950918400,D,24,24,False,40.0,31.0,4.0,4.0,18.0,19.0,14.0,24.0,,5.0,,,,,,90.0,54.0,7.7,12.0,1,3.0,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,,,,1.0,,,
