match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,captain,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_penaltyConceded
10433876,home,Alanyaspor,Rúnar Alex Rúnarsson,runar-alex-runarsson,R. Rúnarsson,G,31,185.0,415,M,187023,EUR,793065600,G,13,13,False,41.0,24.0,18.0,3.0,1.0,22.0,28.0,2.0,13.0,1.0,1.0,11.0,1.0,3.0,3.0,1.0,90.0,54.0,7.7,17.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433876,home,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,4,4,False,50.0,43.0,5.0,2.0,,27.0,30.0,16.0,20.0,,2.0,6.0,,,,,90.0,55.0,6.7,7.0,,0,,,2.0,5.0,4.0,7.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10433876,home,Alanyaspor,Leroy Fer,leroy-fer,L. Fer,M,8,188.0,136,M,31821,EUR,631497600,D,8,8,False,35.0,30.0,2.0,,,27.0,29.0,3.0,6.0,,4.0,5.0,,,,,90.0,52.0,7.3,6.0,,0,,,,3.0,4.0,9.0,,6.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10433876,home,Alanyaspor,Fatih Aksoy,fatih-aksoy,F. Aksoy,D,20,189.0,69,M,827922,EUR,878774400,D,20,20,False,60.0,49.0,9.0,3.0,,39.0,45.0,10.0,15.0,,3.0,12.0,,,,,90.0,79.0,6.8,14.0,,0,,,1.0,1.0,8.0,6.0,2.0,4.0,2.0,6.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10433876,home,Alanyaspor,Daniel Candeias,daniel-candeias,D. Candeias,M,21,177.0,77,M,41835,EUR,572745600,M,21,21,False,35.0,30.0,3.0,2.0,,14.0,15.0,17.0,25.0,,1.0,4.0,,,,,84.0,49.0,6.9,10.0,,1,Daniel,Candeias,,,1.0,,1.0,,,1.0,,,1.0,,,,5.0,1.0,1.0,,,,,,,,,,,
10433876,home,Alanyaspor,Umut Güneş,umut-gunes,U. Güneş,M,20,177.0,131,M,876782,EUR,953164800,M,6,6,False,50.0,44.0,2.0,1.0,,26.0,26.0,18.0,24.0,,1.0,8.0,,,,,90.0,63.0,7.3,9.0,1.0,0,,,,1.0,3.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,
10433876,home,Alanyaspor,Arnaud Lusamba,arnaud-lusamba,A. Lusamba,M,11,180.0,284,M,361342,EUR,852336000,M,97,97,False,30.0,24.0,3.0,2.0,,19.0,22.0,5.0,9.0,,,4.0,,,,,56.0,42.0,7.0,8.0,,0,,,,,3.0,5.0,2.0,4.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
10433876,home,Alanyaspor,Yusuf Özdemir,yusuf-ozdemir,Y. Özdemir,M,88,181.0,157,M,1084884,EUR,979084800,M,88,88,False,22.0,20.0,3.0,3.0,,10.0,11.0,10.0,11.0,,,4.0,,,,,56.0,39.0,7.4,5.0,1.0,1,Yusuf Ozdemir,,,,3.0,5.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,
10433876,home,Alanyaspor,Efecan Karaca,efecan-karaca,E. Karaca,M,7,166.0,109,M,60510,EUR,627177600,F,7,7,False,41.0,30.0,3.0,,,13.0,16.0,17.0,27.0,,,4.0,,,,,90.0,64.0,7.5,20.0,,1,,,,1.0,6.0,11.0,,2.0,2.0,3.0,,2.0,,4.0,4.0,5.0,2.0,,,3.0,1.0,1.0,True,1.0,,,,,,
10433876,home,Alanyaspor,Ivan Cavaleiro,ivan-cavaleiro,I. Cavaleiro,F,,175.0,373,M,110950,EUR,750902400,F,19,19,False,19.0,17.0,,,1.0,6.0,7.0,11.0,13.0,,,2.0,,,,,56.0,36.0,6.4,11.0,1.0,0,,,3.0,,8.0,2.0,,,,1.0,,3.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,
