match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_wasFouled,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_outfielderBlock,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goals,stat_goalAssist
11368603,home,Osasuna,Aitor Fernández,aitor-fernandez,A. Fernández,G,13,182,248,M,99516,EUR,673228800,G,13,13,False,41.0,29.0,19.0,7.0,23.0,25.0,6.0,16.0,9.0,90.0,45.0,6.2,12.0,0.0,0.0,0.00359704,0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368603,home,Osasuna,Rubén Peña,ruben-pena,R. Peña,D,7,170,186,M,255973,EUR,679795200,D,15,15,False,44.0,35.0,9.0,5.0,11.0,12.0,25.0,38.0,7.0,90.0,84.0,7.1,20.0,0.0096,0.0,0.151976,1,,,,6.0,1.0,3.0,9.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,
11368603,home,Osasuna,Alejandro Catena,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,24,24,False,66.0,55.0,14.0,8.0,33.0,38.0,22.0,28.0,8.0,90.0,74.0,7.0,11.0,0.0668,0.0675,0.0112616,1,,,,,,1.0,3.0,6.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,4.0,1.0,1.0,,,,,,,,,,,
11368603,home,Osasuna,David García,david-garcia,D. García,D,5,185,306,M,591136,EUR,761184000,D,5,5,False,65.0,57.0,8.0,4.0,30.0,33.0,27.0,32.0,2.0,90.0,79.0,7.1,9.0,0.1024,0.1983,0.0138883,2,,,,,,2.0,2.0,8.0,,,,,,,3.0,1.0,2.0,,1.0,,,5.0,1.0,1.0,True,1.0,,,,,,,,,
11368603,home,Osasuna,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,76.0,66.0,5.0,3.0,20.0,22.0,49.0,71.0,5.0,90.0,119.0,7.2,29.0,0.5192,0.0,0.529712,2,,,,17.0,3.0,1.0,4.0,4.0,1.0,,3.0,2.0,,1.0,,3.0,1.0,,3.0,1.0,4.0,,,1.0,,1.0,1.0,,,,,,,,
11368603,home,Osasuna,Jon Moncayola,jon-moncayola,J. Moncayola,M,7,182,703,M,976141,EUR,895017600,M,7,7,False,52.0,46.0,6.0,5.0,21.0,21.0,27.0,34.0,9.0,90.0,69.0,7.1,11.0,0.0317,0.0,0.0995428,1,,,,3.0,2.0,2.0,6.0,4.0,1.0,,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,
11368603,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,23.0,17.0,1.0,,12.0,13.0,5.0,10.0,4.0,60.0,36.0,6.6,8.0,0.0,0.0,0.00114651,0,,,,,,3.0,8.0,3.0,1.0,2.0,,,,,,4.0,2.0,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,
11368603,home,Osasuna,Aimar Oroz,aimar-oroz,A. Oroz,M,10,177,1253,M,985329,EUR,1006819200,M,10,10,False,27.0,24.0,1.0,1.0,8.0,9.0,16.0,18.0,2.0,74.0,37.0,6.0,10.0,0.0,0.0,0.0312077,0,,,,,,,5.0,1.0,,1.0,4.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,
11368603,home,Osasuna,Rubén García,ruben-garcia,R. García,M,14,171,1085,M,260031,EUR,742608000,F,14,14,False,27.0,18.0,3.0,1.0,7.0,9.0,12.0,22.0,4.0,61.0,46.0,7.1,15.0,0.1799,0.4525,0.53186,1,,,,4.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,
11368603,home,Osasuna,Ante Budimir,ante-budimir,A. Budimir,F,17,190,8134,M,37318,EUR,680140800,F,17,17,False,14.0,8.0,,,4.0,6.0,4.0,8.0,1.0,90.0,22.0,6.9,8.0,0.0509,0.0,0.0799007,2,,,,,,2.0,2.0,7.0,,,,,,1.0,,,,,2.0,,,5.0,,2.0,,1.0,,1.0,budimir_ante,2.0,,,,,
