match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_wonTackle,stat_wonContest,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_bigChanceCreated,stat_hitWoodwork,stat_goals
12528244,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,17.0,14.0,4.0,1.0,0.0,14.0,16.0,1.0,6.0,1.0,2.0,90.0,23.0,6.7,3.0,0.00013033,0,-0.7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,204,M,140735,EUR,684028800,D,18,18,False,73.0,61.0,16.0,7.0,0.0,23.0,25.0,54.0,4.0,,,90.0,98.0,7.1,18.0,0.131252,0,,True,40.0,6.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,293,M,187231,EUR,817862400,D,37,37,False,66.0,61.0,2.0,,0.0,45.0,48.0,18.0,3.0,,,90.0,72.0,6.5,6.0,0.00733346,0,,,16.0,,,1.0,1.0,4.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,103.0,86.0,10.0,3.0,0.0,55.0,62.0,42.0,7.0,,,90.0,113.0,7.0,18.0,0.0497162,0,,,31.0,1.0,,8.0,5.0,8.0,7.0,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Marc Bola,marc-bola,M. Bola,D,16,185,264,M,862083,EUR,881625600,D,16,16,False,51.0,43.0,4.0,,0.0,25.0,26.0,33.0,3.0,,,90.0,91.0,7.0,22.0,0.0558614,0,,,19.0,8.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,3.0,,1.0,3.0,,,,,,,,,,,,,
12528244,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,57.0,50.0,7.0,4.0,0.0,27.0,30.0,28.0,9.0,,,90.0,75.0,7.4,9.0,0.0155303,0,,,23.0,1.0,,1.0,3.0,4.0,7.0,1.0,3.0,,2.0,2.0,1.0,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,,,,,,,
12528244,home,Samsunspor,Arbnor Muja,arbnor-muja,A. Muja,M,7,179,520,M,890695,EUR,912297600,M,7,7,False,31.0,23.0,3.0,,0.0,5.0,6.0,26.0,1.0,,,63.0,39.0,6.8,11.0,0.0692238,1,,,18.0,1.0,,1.0,,3.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,1.0,1.0,Arbnor,Muja,1.0,0.0365,,,,,,,,,
12528244,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,24.0,19.0,,,0.0,8.0,10.0,14.0,3.0,,,76.0,35.0,6.8,8.0,0.139793,4,,,11.0,,,2.0,1.0,3.0,3.0,,,,1.0,1.0,,,,1.0,,1.0,,2.0,,,2.0,0.211,2.0,,,,,,,,
12528244,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,801,M,352676,EUR,823824000,M,10,10,False,72.0,62.0,6.0,5.0,0.0,25.0,26.0,46.0,3.0,,,86.0,81.0,7.2,11.0,0.0321892,2,,,37.0,,,1.0,,2.0,4.0,3.0,,,1.0,,1.0,2.0,,,1.0,1.0,3.0,,,,1.0,0.0419,1.0,,,,,,,,
12528244,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,M,11,11,False,24.0,19.0,,,0.0,5.0,6.0,21.0,1.0,,,63.0,37.0,6.8,11.0,0.0199482,1,,,14.0,3.0,,1.0,1.0,2.0,4.0,1.0,,,,2.0,1.0,,,,1.0,,1.0,3.0,,,,0.0118,1.0,,,,,,,,
12528244,home,Samsunspor,Landry Dimata,landry-dimata,L. Dimata,F,10,185,506,M,826944,EUR,873072000,F,14,14,False,8.0,6.0,,,0.0,,1.0,7.0,,,,63.0,21.0,7.0,4.0,0.0208714,3,,,6.0,,,1.0,2.0,4.0,7.0,1.0,,,,4.0,3.0,1.0,,,,,1.0,2.0,,,,0.1024,2.0,1.0,0.0757,,,,,,
12528244,home,Samsunspor,Kingsley Schindler,kingsley-schindler,K. Schindler,F,19,179,869,M,169113,EUR,742435200,F,17,17,True,6.0,4.0,,,0.0,2.0,2.0,6.0,,,,27.0,12.0,6.7,5.0,0.00470922,0,,,2.0,2.0,,,3.0,1.0,3.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,
12528244,home,Samsunspor,Marius Mouandilmadji,marius-mouandilmadji,M. Mouandilmadji,F,9,190,1399,M,943593,EUR,885427200,F,9,9,True,4.0,1.0,,,0.0,,,4.0,,,,27.0,5.0,6.5,4.0,0.00069532,0,,,1.0,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12528244,home,Samsunspor,Gaëtan Laura,gaetan-laura,G. Laura,F,,185,106,M,1004042,EUR,807580800,F,27,27,True,8.0,4.0,1.0,,0.0,1.0,1.0,8.0,1.0,,,27.0,16.0,6.7,8.0,0.00389063,1,,,3.0,1.0,,2.0,,5.0,2.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,0.0239,,1.0,0.1831,,,,,,
12528244,home,Samsunspor,Soner Aydoğdu,soner-aydogdu,S. Aydoğdu,M,8,181,117,M,69351,EUR,663033600,M,8,8,True,5.0,4.0,,,0.0,2.0,2.0,5.0,,,,14.0,7.0,6.5,3.0,0.00712184,0,,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175,101,M,312388,EUR,728611200,M,13,13,True,6.0,6.0,,,0.0,2.0,2.0,5.0,1.0,,,11.0,10.0,6.8,1.0,0.00453143,1,,,4.0,1.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,0.0384,1.0,,,,,,,,
12528244,home,Samsunspor,Halil Yeral,halil-yeral,H. Yeral,G,45,190,27,M,897441,EUR,946684800,G,45,45,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Bedirhan Çetin,bedirhan-cetin,B. Çetin,D,96,182,56,M,1215897,EUR,1151539200,D,96,96,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Bedirhan Çetin,,,,,,,,,,,,
12528244,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177,50,M,867727,EUR,865987200,D,28,28,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528244,home,Samsunspor,Haluk Mustafa Tan,tan-haluk-mustafa,H. M. Tan,D,72,181,40,M,1605311,EUR,1114560000,D,72,72,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Haluk Mustafa Tan,,,,,,,,,,,,
12528244,home,Samsunspor,Celil Yüksel,celil-yuksel,C. Yüksel,M,5,165,83,M,806972,EUR,883612800,M,5,5,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
