match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,player_firstName,stat_outfielderBlock,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,player_lastName,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_penaltyConceded
13788130,home,Botafogo,John Victor,john-victor,John,G,12,197,3318,M,840103,EUR,824169600,G,12,12,False,35.0,30.0,9.0,5.0,0.0,27.0,28.0,3.0,7.0,2.0,2.0,10.0,1.0,1.0,90.0,39.0,6.5,5.0,0.00048281,0,-0.6788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13788130,home,Botafogo,Vitinho,vitinho,Vitinho,D,2,175,3615,M,914477,EUR,932688000,D,2,2,False,43.0,37.0,3.0,2.0,0.0,16.0,17.0,21.0,26.0,,2.0,7.0,,,90.0,65.0,6.6,15.0,0.0504133,0,,5.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13788130,home,Botafogo,Jair,jair-paula,Jair,D,23,198,2965,M,1170722,EUR,1110153600,D,32,32,False,61.0,57.0,4.0,2.0,0.0,35.0,36.0,22.0,25.0,3.0,4.0,4.0,,,90.0,71.0,6.7,5.0,0.00915345,1,,,,2.0,,,1.0,,6.0,1.0,,,,,,,1.0,1.0,1.0,0.1077,,,,,,,,,,,,,,,,,,
13788130,home,Botafogo,David Ricardo,david-ricardo,D. Ricardo,D,57,188,941,M,1186587,EUR,1040428800,D,57,57,False,52.0,46.0,7.0,4.0,0.0,36.0,37.0,10.0,15.0,3.0,5.0,3.0,,,90.0,63.0,6.8,6.0,0.0030798,0,,,,2.0,,,,,7.0,,,1.0,,,,,2.0,,1.0,,David Ricardo,1.0,,,,,,,,,,,,,,,,
13788130,home,Botafogo,Alex Telles,alex-telles,A. Telles,D,13,181,7625,M,312110,EUR,724377600,D,13,13,False,25.0,23.0,2.0,1.0,0.0,10.0,11.0,13.0,14.0,,1.0,2.0,,,81.0,47.0,7.3,9.0,0.099815,3,,5.0,1.0,,,,,,,2.0,,1.0,1.0,2.0,,,,1.0,,0.8743,,,alextelles13,1.0,1.0,1.0,0.8971,,,,,,,,,,,
13788130,home,Botafogo,Gregore,gregore,Gregore,M,26,181,1634,M,840276,EUR,762566400,M,26,26,False,93.0,87.0,7.0,6.0,0.0,47.0,47.0,40.0,46.0,,6.0,4.0,,,90.0,115.0,7.7,11.0,0.0329186,0,,2.0,,5.0,,2.0,,,1.0,3.0,,6.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
13788130,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,73.0,64.0,12.0,8.0,0.0,26.0,26.0,38.0,47.0,,2.0,4.0,,,81.0,77.0,7.7,9.0,0.0643843,1,,,,4.0,2.0,,,,,,,2.0,2.0,,1.0,2.0,1.0,,,0.0826,,,,1.0,,1.0,0.4316,,True,,,,,,,,,
13788130,home,Botafogo,Artur,artur,Artur,M,7,168,3069,M,841128,EUR,887500800,M,7,7,False,33.0,25.0,1.0,,0.0,4.0,5.0,21.0,28.0,,3.0,2.0,,,90.0,52.0,7.0,15.0,0.202335,2,,3.0,1.0,6.0,1.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.1403,,,,1.0,,,0.2188,,,1.0,1.0,,,,,,,
13788130,home,Botafogo,Igor Jesus,igor-jesus,I. Jesus,F,19,179,20950,M,981619,EUR,983059200,M,99,99,False,26.0,22.0,4.0,2.0,0.0,5.0,5.0,17.0,21.0,4.0,7.0,4.0,,,90.0,38.0,7.1,10.0,0.0145068,2,,,,3.0,,1.0,,,,,,,,5.0,,1.0,2.0,,3.0,0.1113,,,igorjesus,1.0,1.0,,0.128,1.0,,,,,,,,,,
13788130,home,Botafogo,Santiago Rodríguez,santiago-rodriguez,S. Rodríguez,M,23,172,1846,M,975216,EUR,947289600,M,23,23,False,29.0,23.0,,,0.0,4.0,5.0,19.0,24.0,1.0,5.0,2.0,,,61.0,46.0,7.1,12.0,0.126133,2,,2.0,1.0,7.0,2.0,1.0,2.0,1.0,,1.0,,,,3.0,2.0,2.0,1.0,,3.0,0.0517,,,,2.0,,,0.0612,,,,1.0,,,,,,,
