match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,player_firstName,player_lastName,stat_goalAssist,stat_challengeLost,stat_goals,stat_punches,stat_totalOffside
11396269,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,38.0,25.0,26.0,13.0,15.0,16.0,10.0,22.0,5.0,3.0,4.0,1.0,1.0,90.0,44.0,7.5,13.0,0.00201106,0,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396269,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,D,31,31,False,35.0,27.0,8.0,3.0,11.0,15.0,16.0,20.0,3.0,,,,,83.0,49.0,6.7,12.0,0.0971669,1,,3.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.1222,2.0,,,,,,,,,,,,,,,,,
11396269,home,1. FSV Mainz 05,Josuha Guilavogui,josuha-guilavogui,J. Guilavogui,D,,188,210,M,45686,EUR,653702400,D,23,23,False,36.0,30.0,6.0,1.0,18.0,20.0,12.0,16.0,7.0,,,,,90.0,51.0,7.3,9.0,0.0055416,0,,1.0,1.0,2.0,6.0,,,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396269,home,1. FSV Mainz 05,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,3,3,False,37.0,29.0,4.0,2.0,17.0,19.0,12.0,18.0,9.0,,,,,90.0,49.0,7.3,9.0,0.137022,2,,2.0,5.0,2.0,6.0,,1.0,2.0,,1.0,1.0,,1.0,,,0.1294,2.0,1.0,1.0,,,,,,,,,,,,,,,
11396269,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,17.0,12.0,2.0,1.0,5.0,9.0,8.0,11.0,1.0,,,,,76.0,41.0,6.4,12.0,0.0609145,1,,1.0,,4.0,3.0,2.0,,1.0,,1.0,3.0,,1.0,,1.0,0.0818,1.0,,,True,3.0,1.0,1.0,1.0,0.4466,,,,,,,,,
11396269,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,23.0,18.0,2.0,1.0,10.0,10.0,8.0,13.0,7.0,,,,,90.0,42.0,6.9,9.0,0.0121364,3,,,1.0,6.0,8.0,3.0,1.0,2.0,,1.0,2.0,,1.0,5.0,3.0,0.1869,1.0,,2.0,,,,,,,,,,,,,,,
11396269,home,1. FSV Mainz 05,Nadiem Amiri,nadiem-amiri,N. Amiri,M,10,180,2793,M,327755,EUR,846374400,M,18,18,False,44.0,33.0,4.0,2.0,16.0,19.0,20.0,39.0,10.0,,,,,90.0,79.0,7.6,26.0,0.190464,2,,1.0,1.0,4.0,10.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,6.0,,0.0873,3.0,,1.0,,14.0,3.0,,,,2.0,1.0,,,,,,,
11396269,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,20.0,18.0,3.0,3.0,3.0,3.0,15.0,20.0,3.0,,,,,90.0,46.0,6.5,14.0,0.0228503,2,,1.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,,,,3.0,,1.0,0.0539,,,,,3.0,,,,,1.0,,,,,,,,
11396269,home,1. FSV Mainz 05,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2919,M,1198075,EUR,1085961600,F,43,43,False,20.0,15.0,2.0,,3.0,4.0,12.0,19.0,6.0,,,,,68.0,40.0,6.5,17.0,0.0589336,2,,1.0,1.0,6.0,3.0,,1.0,,,,2.0,1.0,2.0,,,0.1203,,,1.0,,3.0,,,,,5.0,,Brajan Gruda,,,,,,
11396269,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,25.0,17.0,,,1.0,2.0,16.0,24.0,,,,,,68.0,38.0,7.1,10.0,0.0258346,3,,2.0,1.0,3.0,6.0,1.0,1.0,,,,2.0,1.0,,2.0,,0.0872,1.0,,2.0,,1.0,,,,,1.0,1.0,,,1.0,,,,
