match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,description,reason,playerName,rescinded,confirmed
14566657,FT,4.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
14566657,,4.0,0.0,,90,1.0,,1,,,goal,322674714.0,True,regular,934510.0,Gonçalo Ramos,,,,,,,
14566657,,,,,90,0.0,,1,,,injuryTime,,,,,,3.0,,,,,,
14566657,,,,,85,,,6,,,substitution,124499612.0,False,injury,,,,True,,,,,
14566657,,,,,75,,,16,,,substitution,124499573.0,False,regular,,,,False,,,,,
14566657,,,,,75,,,16,,,substitution,124499572.0,True,regular,,,,False,,,,,
14566657,,,,,75,,,16,,,substitution,124499574.0,False,regular,,,,False,,,,,
14566657,,,,,75,,,16,,,substitution,124499564.0,True,regular,,,,False,,,,,
14566657,,,,,58,,,33,,,substitution,124499379.0,True,injury,,,,True,,,,,
14566657,,,,,55,,,36,,,substitution,124499360.0,True,regular,,,,False,,,,,
14566657,,,,,55,,,36,,,substitution,124499361.0,True,regular,,,,False,,,,,
14566657,,3.0,0.0,,51,,,40,,,goal,322672905.0,True,regular,989768.0,Nuno Mendes,,,,,,,
14566657,,,,,46,,,45,,,substitution,124499267.0,False,regular,,,,False,,,,,
14566657,,,,,46,,,45,,,substitution,124499256.0,False,regular,,,,False,,,,,
14566657,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
14566657,,,,,45,0.0,,1,,,injuryTime,,,,,,2.0,,,,,,
14566657,,,,,44,,,2,,,inGamePenalty,118564614.0,True,missed,996952.0,Bradley Barcola,,,Goalkeeper save,goalkeeperSave,,,
14566657,,,,,44,,,2,,,card,123892224.0,False,yellow,983815.0,Yunus Musah,,,,Off the ball foul,Yunus Musah,False,
14566657,,,,,43,,,3,,,varDecision,54839.0,True,penaltyAwarded,155995.0,Marquinhos,,,,,,,True
14566657,,2.0,0.0,,39,,,7,,,goal,322671662.0,True,regular,889259.0,Khvicha Kvaratskhelia,,,,,,,
14566657,,1.0,0.0,,3,,,43,,,goal,322670273.0,True,regular,155995.0,Marquinhos,,,,,,,
