match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_onTargetScoringAttempt,stat_fouls,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_wonTackle,captain,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_aerialLost,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10438130,home,Chaves,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195,133,M,861003,EUR,596073600,G,1,1,False,26.0,22.0,5.0,3.0,21.0,23.0,1.0,3.0,1.0,12.0,2.0,1.0,90.0,36.0,5.7,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438130,home,Chaves,Nélson Monte,,,nelson-monte,N. Monte,D,4,187,67,M,831014,EUR,807062400,D,3,3,False,22.0,15.0,3.0,,8.0,8.0,8.0,19.0,1.0,3.0,,,45.0,37.0,6.4,13.0,0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10438130,home,Chaves,Carlos Ponck,,,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,26,26,False,37.0,31.0,6.0,5.0,26.0,30.0,5.0,7.0,5.0,5.0,,,90.0,46.0,6.4,6.0,0,,,4.0,,5.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438130,home,Chaves,Steven Vitória,,,steven-vitoria,S. Vitória,D,,195,115,M,59574,EUR,537321600,D,19,19,False,44.0,40.0,2.0,,32.0,32.0,8.0,12.0,1.0,1.0,,,90.0,52.0,6.6,4.0,1,,,2.0,2.0,4.0,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10438130,home,Chaves,Bruno Langa,,,bruno-langa,B. Langa,D,24,178,2435,M,987490,EUR,878256000,D,5,5,False,17.0,15.0,1.0,,10.0,11.0,5.0,8.0,,5.0,,,45.0,26.0,6.2,6.0,0,2.0,,,1.0,3.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
10438130,home,Chaves,Guima,,,ricardo-guimaraes-guima,Guima,M,30,181,615,M,370710,EUR,816307200,M,21,21,False,31.0,28.0,2.0,2.0,13.0,14.0,15.0,17.0,,7.0,,,66.0,41.0,5.6,9.0,0,,,,7.0,2.0,2.0,,1.0,1.0,,2.0,1.0,3.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,
10438130,home,Chaves,João Teixeira,,,joao-teixeira,J. Teixeira,M,97,178,78,M,138899,EUR,760492800,M,10,10,False,23.0,21.0,3.0,2.0,8.0,9.0,14.0,15.0,,2.0,,,65.0,30.0,6.7,5.0,0,1.0,1.0,,3.0,1.0,,1.0,,1.0,,,,2.0,,2.0,2.0,1.0,,True,,,,,,,,,,,,
10438130,home,Chaves,João Correia,,,joao-correia,J. Correia,M,77,175,850,M,804272,EUR,841881600,M,77,77,False,15.0,15.0,,,6.0,6.0,9.0,13.0,,3.0,,,90.0,31.0,6.4,8.0,1,4.0,,,3.0,3.0,,,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
10438130,home,Chaves,João Mendes,,,joao-mendes,J. Mendes,M,10,183,228,M,857376,EUR,782697600,M,8,8,False,23.0,17.0,3.0,1.0,2.0,3.0,16.0,21.0,,3.0,,,66.0,39.0,6.6,13.0,2,1.0,1.0,,5.0,4.0,3.0,,1.0,4.0,1.0,,,1.0,,1.0,,2.0,3.0,,1.0,,,,,,,,,,,
10438130,home,Chaves,Bernardo Sousa,,,bernardo-sousa,B. Sousa,F,77,178,72,M,1087371,EUR,954115200,M,73,73,False,17.0,11.0,,,4.0,7.0,8.0,13.0,,4.0,,,69.0,35.0,5.9,12.0,3,3.0,1.0,,5.0,4.0,2.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,
