match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,player_firstName,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_lastName,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_goalAssist,stat_totalOffside,player_sofascoreId,stat_goals,stat_hitWoodwork
12117032,home,Atlético Goianiense,Ronaldo,ronaldo,Ronaldo,G,96,193,1025,M,840106,EUR,840672000,G,1,1,False,True,23.0,15.0,16.0,8.0,11.0,14.0,4.0,9.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,3.0,1.0,90.0,32.0,6.9,8.0,0.00035914,0,-0.3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117032,home,Atlético Goianiense,Bruno Tubarão,bruno-tubarao,B. Tubarão,D,29,180,421,M,931588,EUR,796348800,D,2,2,False,,42.0,33.0,3.0,1.0,16.0,19.0,17.0,26.0,1.0,4.0,1.0,2.0,1.0,,,,,90.0,66.0,6.6,17.0,0.0175326,0,,3.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12117032,home,Atlético Goianiense,Adriano Martins,adriano-martins,Adriano Martins,D,4,193,138,M,1008459,EUR,859852800,D,3,3,False,,46.0,35.0,15.0,9.0,25.0,28.0,10.0,18.0,,,2.0,4.0,,,,,,90.0,50.0,7.4,11.0,0.088453,0,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12117032,home,Atlético Goianiense,Alix Vinicius,alix-vinicius,A. Vinicius,D,4,196,333,M,1117597,EUR,941846400,D,4,4,False,,51.0,47.0,11.0,8.0,32.0,32.0,15.0,19.0,3.0,8.0,5.0,8.0,,,,,,90.0,67.0,8.1,4.0,0.128946,3,,,4.0,5.0,,2.0,,3.0,3.0,1.0,,,1.0,2.0,Alix Vinicius,2.0,2.0,1.0,0.1355,0.4802,,,,,,,,,,,
12117032,home,Atlético Goianiense,Guilherme Romão,guilherme-romao,G. Romão,D,5,179,114,M,883908,EUR,876182400,D,6,6,False,,48.0,37.0,12.0,7.0,14.0,15.0,24.0,35.0,1.0,3.0,4.0,6.0,1.0,,,,,90.0,74.0,6.8,15.0,0.0316035,2,,2.0,,2.0,,3.0,,,,,,,,,,1.0,,1.0,0.2718,0.2708,,1.0,1.0,1.0,,,,,,,
12117032,home,Atlético Goianiense,Gabriel Baralhas,gabriel-baralhas,G. Baralhas,M,44,178,849,M,922575,EUR,907977600,M,8,8,False,,31.0,23.0,4.0,1.0,6.0,6.0,17.0,27.0,1.0,7.0,2.0,,,,,,,90.0,56.0,7.0,14.0,0.0108017,2,,2.0,3.0,9.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,,2.0,1.0,,,,,0.0562,,,,,2.0,2.0,,,,,,
12117032,home,Atlético Goianiense,Lucas Kal,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,5,5,False,,29.0,24.0,5.0,4.0,10.0,12.0,14.0,19.0,1.0,3.0,,1.0,1.0,,,,,83.0,38.0,6.8,8.0,0.00917156,0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
12117032,home,Atlético Goianiense,Gabriel Barros,barros-gabriel,G. Barros,M,7,182,180,M,1020259,EUR,1003968000,M,7,7,False,,16.0,13.0,3.0,2.0,6.0,6.0,7.0,11.0,1.0,6.0,,3.0,1.0,,,,,63.0,27.0,6.8,6.0,0.00475618,0,,1.0,1.0,5.0,,2.0,,2.0,1.0,2.0,3.0,,,,,2.0,,,,,,,,,2.0,,,,,,
12117032,home,Atlético Goianiense,Shaylon,shaylon,Shaylon,M,7,180,381,M,874723,EUR,862099200,M,10,10,False,,25.0,17.0,6.0,2.0,5.0,5.0,15.0,26.0,,1.0,,2.0,,,,,,72.0,39.0,6.9,15.0,0.359561,1,,6.0,,4.0,,2.0,,1.0,1.0,1.0,1.0,,,3.0,,,,,0.0263,,,3.0,,1.0,2.0,1.0,,,,,
12117032,home,Atlético Goianiense,Luiz Fernando,luiz-fernando,Luiz Fernando,M,32,178,624,M,874143,EUR,845424000,M,11,11,False,,17.0,10.0,2.0,1.0,3.0,5.0,7.0,13.0,2.0,6.0,4.0,1.0,2.0,,,,,90.0,41.0,6.5,17.0,0.0344238,3,,1.0,1.0,12.0,4.0,3.0,,1.0,1.0,3.0,2.0,,,1.0,,1.0,2.0,1.0,0.2215,0.041,,,,,3.0,,,,,,
