match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_totalCross,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_punches,stat_errorLeadToAGoal,stat_penaltyWon
12504689,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193.0,635,M,98059,EUR,729907200,G,1,1,False,26.0,21.0,7.0,3.0,0.0,21.0,23.0,3.0,11.0,1.0,1.0,4.0,2.0,4.0,90.0,40.0,7.4,5.0,0.00011112,0,1.1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179.0,199,M,184421,EUR,726883200,D,20,20,False,29.0,21.0,6.0,3.0,0.0,13.0,15.0,14.0,2.0,,,,,,68.0,45.0,6.6,9.0,0.0102332,0,,,,8.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Mattia Bani,mattia-bani,M. Bani,D,13,188.0,270,M,250547,EUR,755481600,D,13,13,False,62.0,56.0,6.0,3.0,0.0,50.0,52.0,11.0,3.0,1.0,,,,,90.0,74.0,6.5,7.0,0.00722862,0,,,,6.0,3.0,2.0,3.0,5.0,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Alan Matturro,matturro-alan,A. Matturro,D,3,189.0,1328,M,1177401,EUR,1097452800,D,33,33,False,52.0,46.0,3.0,1.0,0.0,41.0,42.0,10.0,3.0,,,,,,90.0,68.0,6.4,7.0,0.00101471,0,,,,5.0,4.0,3.0,7.0,4.0,2.0,5.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180.0,1144,M,797286,EUR,861667200,D,3,3,False,42.0,35.0,7.0,4.0,0.0,20.0,24.0,26.0,2.0,,,,,,89.0,61.0,6.6,13.0,0.122165,0,,,,18.0,,2.0,3.0,5.0,,2.0,,1.0,,8.0,,4.0,,3.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
12504689,home,Genoa,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186.0,923,M,922928,EUR,970531200,M,59,59,False,13.0,11.0,2.0,1.0,0.0,6.0,6.0,9.0,2.0,,,,,,77.0,32.0,7.4,7.0,0.118316,2,,,,6.0,,1.0,2.0,4.0,,3.0,1.0,2.0,,2.0,2.0,3.0,,1.0,3.0,1.0,1.0,,,1.0,1.0,0.0497,0.091,,,,,,,,,,,
12504689,home,Genoa,Morten Thorsby,morten-thorsby,M. Thorsby,M,2,189.0,697,M,280991,EUR,831254400,M,2,2,False,34.0,26.0,1.0,,1.0,9.0,12.0,22.0,1.0,,,,,,90.0,49.0,7.1,12.0,0.221342,2,,,,17.0,8.0,8.0,13.0,10.0,,,,2.0,,,2.0,3.0,1.0,,1.0,,2.0,1.0,4.0,1.0,,0.1265,,1.0,1.0,,,,,,,,,
12504689,home,Genoa,Milan Badelj,milan-badelj,M. Badelj,M,,186.0,902,M,39482,EUR,604368000,M,47,47,False,66.0,56.0,8.0,5.0,0.0,33.0,36.0,30.0,6.0,,,,,,90.0,82.0,7.6,13.0,0.242997,0,,,,23.0,1.0,,3.0,7.0,,2.0,1.0,5.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,1.0,,True,,,,,,,,
12504689,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178.0,1679,M,918440,EUR,986601600,M,32,32,False,43.0,39.0,1.0,1.0,0.0,20.0,22.0,22.0,5.0,,,,,,90.0,61.0,7.9,6.0,0.0209984,3,,,,20.0,,,2.0,6.0,2.0,2.0,,5.0,1.0,1.0,4.0,,,1.0,,,2.0,,,1.0,1.0,0.2441,0.5354,,1.0,,1.0,1.0,,,,,,
12504689,home,Genoa,Fabio Miretti,fabio-miretti,F. Miretti,M,21,179.0,3225,M,1010223,EUR,1059868800,M,23,23,False,25.0,21.0,1.0,,0.0,5.0,6.0,24.0,2.0,,,,,,77.0,47.0,7.7,12.0,0.133772,3,,,,17.0,,,6.0,4.0,,,1.0,1.0,2.0,5.0,,3.0,1.0,1.0,4.0,1.0,,,2.0,1.0,2.0,0.7655,0.8611,,,,1.0,,1.0,,,,,
12504689,home,Genoa,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,19,19,False,23.0,14.0,1.0,,0.0,7.0,12.0,11.0,4.0,,,,,,89.0,41.0,7.1,16.0,0.00948611,7,,,,7.0,1.0,7.0,3.0,7.0,1.0,1.0,,,,,,,1.0,,,,6.0,,,2.0,2.0,0.4307,0.5726,,3.0,,,,,2.0,,,,
12504689,home,Genoa,Junior Messias,junior-messias,J. Messias,F,10,179.0,1230,M,888219,EUR,674092800,F,10,10,True,9.0,7.0,1.0,1.0,0.0,1.0,1.0,9.0,1.0,,,,,,22.0,17.0,6.9,5.0,0.00560094,1,,,,6.0,1.0,2.0,1.0,4.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,0.0428,,,,,,,,,,,,
12504689,home,Genoa,Alessandro Vogliacco,alessandro-vogliacco,A. Vogliacco,D,4,186.0,344,M,807295,EUR,905731200,D,14,14,True,11.0,9.0,1.0,,0.0,7.0,7.0,5.0,,,,,,,13.0,15.0,6.2,3.0,0.00207973,0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185.0,4788,M,889785,EUR,909014400,D,22,22,True,2.0,2.0,,,0.0,,,2.0,,,,,,,13.0,2.0,6.0,,0.0044836,0,,,,2.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504689,home,Genoa,Vitinha,vitinha,Vitinha,F,9,183.0,2248,M,1093695,EUR,953078400,F,9,9,True,2.0,1.0,,,0.0,1.0,1.0,1.0,,,,,,,1.0,4.0,,1.0,1.016e-05,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0999,,,1.0,,,,,,,,,
12504689,home,Genoa,Mario Balotelli,mario-balotelli,M. Balotelli,F,9,189.0,11947,M,25530,EUR,650419200,F,45,45,True,,,,,0.0,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuperMario,,,
12504689,home,Genoa,Daniele Sommariva,daniele-sommariva,D. Sommariva,G,39,186.0,152,M,595572,EUR,869184000,G,39,39,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
