match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_outfielderBlock,stat_wasFouled,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_wonContest,stat_challengeLost,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_bigChanceMissed
14035984,home,FCV Dender,Gauthier Gallon,gauthier-gallon,G. Gallon,G,93,186.0,114,M,340561,EUR,735523200,G,93,93,False,32.0,16.0,25.0,9.0,0.0,11.0,16.0,5.0,16.0,1.0,11.0,1.0,1.0,1.0,90.0,37.0,6.8,16.0,0.00147371,37.385851969177,7.0,28.035,6.195,0,0.05,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035984,home,FCV Dender,Luc Marijnissen,luc-marijnissen,L. Marijnissen,D,5,190.0,95,M,1086107,EUR,1042070400,D,5,5,False,32.0,28.0,3.0,2.0,0.0,17.0,18.0,11.0,14.0,6.0,4.0,,,,90.0,65.0,7.2,12.0,0.0198035,50.098274337002,7.0,2.31,8.82,1,0.18,0.0,0.27,Luc Marijnissen,,1.0,1.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,0.1064,1.0,-0.23,,,,,,,,,,,,,,,,,
14035984,home,FCV Dender,Kobe Cools,kobe-cools,K. Cools,D,21,192.0,41,M,793987,EUR,869788800,D,21,21,False,32.0,26.0,4.0,2.0,0.0,13.0,13.0,13.0,19.0,11.0,2.0,,,,90.0,51.0,8.1,7.0,0.0757069,23.498511129592,4.0,8.715,10.395,0,0.36,0.02,0.53,,,,,1.0,5.0,3.0,8.0,,,,2.0,3.0,2.0,1.0,2.0,,,,True,,,,,,,,,,,,,,,,
14035984,home,FCV Dender,Bryan Goncalves,bryan-goncalves,B. Goncalves,D,7,190.0,42,M,775019,EUR,837734400,D,7,7,False,45.0,29.0,17.0,6.0,0.0,18.0,20.0,11.0,25.0,12.0,,,,,90.0,67.0,7.4,17.0,0.00610833,37.732159352897,6.0,1.785,5.775,0,0.23,0.01,0.4,,,,,,5.0,2.0,8.0,,,,2.0,2.0,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14035984,home,FCV Dender,Junior Marsoni Sambu Mansoni​,junior-marsoni-sambu-mansoni,J. M. S. Mansoni,D,70,185.0,79,M,874855,EUR,833760000,M,70,70,False,33.0,26.0,4.0,2.0,0.0,11.0,13.0,15.0,20.0,6.0,4.0,,,,90.0,57.0,6.7,18.0,0.0491485,44.47443981067,6.0,4.725,9.135,0,-0.1,0.01,0.19,,,5.0,1.0,,2.0,1.0,3.0,,1.0,,1.0,1.0,1.0,4.0,,,,,,,,1.0,10.577292706548,1.0,,,,,,,,,,,
14035984,home,FCV Dender,Noah Mbamba,noah-mbamba,N. Mbamba,M,17,187.0,1002,M,1100321,EUR,1104883200,M,17,17,False,26.0,21.0,5.0,3.0,0.0,7.0,10.0,14.0,16.0,1.0,5.0,,,,89.0,41.0,7.1,11.0,0.0175675,97.306405823459,7.0,35.07,28.56,0,0.26,0.2,0.17,,,1.0,,1.0,,6.0,6.0,3.0,3.0,,2.0,3.0,2.0,1.0,1.0,,,,,,1.0,,53.110422555736,2.0,2.0,,,,,,,,,,
14035984,home,FCV Dender,Malcolm Viltard,viltard-malcolm,M. Viltard,M,24,176.0,69,M,1092285,EUR,1035417600,M,24,24,False,39.0,28.0,5.0,4.0,0.0,16.0,23.0,12.0,16.0,5.0,5.0,,,,90.0,57.0,7.6,14.0,0.259185,131.25340955354,14.0,-9.135,15.435,1,0.35,0.05,0.33,,,1.0,1.0,1.0,3.0,6.0,7.0,1.0,1.0,,1.0,3.0,2.0,2.0,1.0,0.0207,,-0.11,,,,,18.315535072719,1.0,1.0,3.0,1.0,,,,,,,,
14035984,home,FCV Dender,Fabio Ferraro,fabio-ferraro,F. Ferraro,M,88,180.0,86,M,1145225,EUR,1031011200,M,88,88,False,22.0,15.0,2.0,,0.0,8.0,9.0,7.0,13.0,1.0,4.0,,,,75.0,40.0,7.3,11.0,0.217069,107.41579723363,15.0,33.915,27.405,0,0.25,0.19,0.21,Fabio Ferraro,,5.0,2.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,39.412175606257,2.0,,,,,,,,,,,
14035984,home,FCV Dender,Roman Kvet,roman-kvet,R. Kvet,M,16,187.0,92,M,858926,EUR,882316800,F,16,16,False,30.0,19.0,3.0,1.0,0.0,4.0,4.0,15.0,26.0,3.0,5.0,,,,90.0,56.0,7.7,21.0,0.184664,101.8580198003,10.0,79.275,21.42,3,0.05,0.38,0.26,,,5.0,2.0,,,5.0,2.0,,3.0,,1.0,,,5.0,1.0,0.5729,1.0,0.46,,,1.0,1.0,72.64637845901,3.0,1.0,2.0,2.0,1.0,1.0,0.2871,,,,,
14035984,home,FCV Dender,David Toševski,david-tosevski,D. Toševski,F,9,185.0,141,,1021398,EUR,995241600,F,9,9,False,25.0,13.0,,,0.0,1.0,7.0,12.0,18.0,1.0,3.0,,,,83.0,43.0,6.1,16.0,0.17867,34.258201389511,6.0,-3.255,5.67,4,0.32,0.03,0.15,,,1.0,1.0,4.0,4.0,9.0,7.0,1.0,1.0,2.0,,2.0,1.0,3.0,2.0,0.3761,1.0,-0.63,,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,,
14035984,home,FCV Dender,Bruny Nsimba,nsimba-bruny,B. Nsimba,F,77,181.0,280,M,1047536,EUR,954892800,F,77,77,False,28.0,21.0,,,1.0,8.0,9.0,13.0,19.0,1.0,6.0,,,,89.0,60.0,7.4,21.0,0.304508,152.93618830972,17.0,55.86,18.165,1,0.49,0.3,0.19,,,3.0,2.0,2.0,1.0,11.0,8.0,7.0,3.0,1.0,,1.0,1.0,4.0,1.0,0.0176,3.0,-0.07,,,4.0,,33.887189304958,2.0,2.0,,,,,,1.0,,,,
14035984,home,FCV Dender,Nail Moutha-Sebtaoui,nail-moutha-sebtaoui,N. Moutha-Sebtaoui,M,67,177.0,379,M,1502944,EUR,1132185600,D,67,67,True,6.0,3.0,2.0,,0.0,,1.0,3.0,5.0,2.0,1.0,,,,15.0,13.0,6.8,5.0,0.00313704,10.231278212832,2.0,2.1,5.67,0,-0.03,0.0,0.16,Nail Moutha-Sebtaoui,,2.0,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
