match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded
10953387,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
10953387,,3.0,0.0,,90,4.0,,1,,,goal,167681841.0,True,regular,814590.0,Marcus Rashford,,,,,
10953387,,2.0,0.0,,90,,,1,,,goal,167681831.0,True,regular,814590.0,Marcus Rashford,,,,,
10953387,,,,,90,0.0,,1,,,injuryTime,,,,,,4.0,,,,
10953387,,,,,84,,,7,,,substitution,121504706.0,True,regular,,,,False,,,
10953387,,,,,82,,,9,,,substitution,121504704.0,False,regular,,,,False,,,
10953387,,,,,82,,,9,,,substitution,121504705.0,False,regular,,,,False,,,
10953387,,,,,80,,,11,,,card,120587467.0,True,yellow,149380.0,Harry Maguire,,,Harry Maguire,Foul,False
10953387,,,,,76,,,15,,,card,120587452.0,True,yellow,825839.0,Tyrell Malacia,,,Tyrell Malacia,Foul,False
10953387,,,,,66,,,25,,,substitution,121504624.0,False,regular,,,,False,,,
10953387,,,,,61,,,30,,,substitution,121504594.0,False,regular,,,,False,,,
10953387,,,,,60,,,31,,,substitution,121504592.0,True,regular,,,,False,,,
10953387,,,,,60,,,31,,,substitution,121504593.0,True,regular,,,,False,,,
10953387,,,,,60,,,31,,,substitution,121504591.0,True,regular,,,,False,,,
10953387,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
10953387,,,,,45,0.0,,1,,,injuryTime,,,,,,3.0,,,,
10953387,,,,,34,,,12,,,substitution,121504390.0,True,injury,,,,True,,,
10953387,,1.0,0.0,,21,,,25,,,goal,167681165.0,True,regular,958380.0,Antony,,,,,
