match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_wonTackle,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,captain,stat_goalAssist,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAGoal
10433889,home,Beşiktaş JK,Cenk Tosun,cenk-tosun,C. Tosun,F,23,183,2904,M,72127,EUR,676252800,F,9,9,False,29.0,22.0,2.0,2.0,8.0,9.0,14.0,20.0,1.0,6.0,3.0,1.0,3.0,1.0,89.0,44.0,7.7,13.0,4,,2.0,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,3.0,2.0,1.0,,,,1.0,,,True,2.0,1.0,,,
10433889,home,Beşiktaş JK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177,793,M,180511,EUR,647395200,M,44,44,True,16.0,12.0,,,1.0,2.0,17.0,25.0,1.0,1.0,4.0,,,,30.0,33.0,7.7,9.0,0,11.0,,3.0,3.0,1.0,,,,1.0,,,,,1.0,,4.0,,,,,6.0,,,,,,,,,
10433889,home,Beşiktaş JK,Tayfur Bingöl,tayfur-bingol,T. Bingöl,M,75,180,459,M,255957,EUR,726710400,M,88,88,True,7.0,3.0,1.0,,1.0,1.0,2.0,7.0,1.0,2.0,2.0,,1.0,,30.0,15.0,7.2,7.0,2,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,
10433889,home,Beşiktaş JK,Semih Kılıçsoy,semih-kilicsoy,S. Kilicsoy,F,9,178,11924,M,1142606,EUR,1124064000,F,35,35,True,2.0,2.0,,,,,2.0,2.0,1.0,1.0,1.0,,,,9.0,3.0,6.7,,1,,,,,,,,1.0,,1.0,,,,,,,,,,semihkilicsoy9,,,,,,,,,,
10433889,home,Beşiktaş JK,Kerem Atakan Kesgin,kerem-atakan-kesgin,K. A. Kesgin,M,17,174,132,M,857745,EUR,973382400,M,17,17,True,,,,,,,,,,,3.0,,,,1.0,3.0,,,0,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
10433889,home,Beşiktaş JK,Emre Bilgin,emre-bilgin,E. Bilgin,G,99,188,495,M,1050730,EUR,1077753600,G,99,99,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Emre Bilgin,,,,,,,,,,,,,,,,,,
10433889,home,Beşiktaş JK,Necip Uysal,necip-uysal,N. Uysal,D,20,180,1751,M,43394,EUR,664675200,D,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,home,Beşiktaş JK,Aytug Batur Komec,komec-aytug-batur,A. B. Kömeç,D,,185,101,M,1142608,EUR,1096934400,D,80,80,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,home,Beşiktaş JK,Demir Ege Tıknaz,demir-ege-tiknaz,D. E. Tıknaz,M,34,194,2288,M,1142613,EUR,1092700800,M,75,75,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,home,Beşiktaş JK,Atiba Hutchinson,atiba-hutchinson,A. Hutchinson,M,,187,229,M,7721,EUR,413510400,M,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
