match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_challengeLost,stat_outfielderBlock,stat_penaltyConceded,stat_totalOffside,stat_totalContest,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,captain,stat_goalAssist,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
11369798,home,Oud-Heverlee Leuven,Valentin Cojocaru,valentin-cojocaru,V. Cojocaru,G,77,195.0,225,M,182363,EUR,812505600,G,12,12,False,31.0,27.0,11.0,8.0,23.0,24.0,4.0,7.0,2.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,44.0,7.1,4.0,0.0,0.0,0.00204817,0,0.6694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Richie Sagrado,richie-sagrado,R. Sagrado,M,20,182.0,282,M,1198069,EUR,1075420800,D,52,52,False,21.0,18.0,,,11.0,13.0,7.0,10.0,1.0,1.0,,,,,,,76.0,42.0,7.4,7.0,0.1741,0.3072,0.00747799,2,,Richie Sagrado,,2.0,2.0,1.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Ewoud Pletinckx,ewoud-pletinckx,E. Pletinckx,D,28,190.0,193,M,949101,EUR,971136000,D,28,28,False,66.0,57.0,8.0,4.0,38.0,41.0,19.0,25.0,6.0,7.0,,,,,,,90.0,81.0,7.0,11.0,0.2294,0.0891,0.00597191,1,,,,,2.0,3.0,3.0,6.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Federico Ricca,federico-ricca,F. Ricca,D,16,175.0,168,M,590036,EUR,786240000,D,14,14,False,85.0,74.0,14.0,10.0,43.0,47.0,31.0,38.0,6.0,10.0,,,,,,,90.0,102.0,7.1,12.0,0.0341,0.0311,0.025288,1,,Federico,Ricca,,6.0,4.0,7.0,6.0,1.0,,2.0,1.0,,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Hamza Mendyl,hamza-mendyl,H. Mendyl,D,37,179.0,703,M,846447,EUR,877392000,D,20,20,False,47.0,39.0,1.0,1.0,18.0,20.0,21.0,27.0,3.0,3.0,,,,,,,90.0,78.0,6.1,18.0,0.0,0.0,0.0080964,0,,,,,,,9.0,3.0,,,1.0,,2.0,,3.0,2.0,,,,,8.0,2.0,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Ezechiel Banzuzi,ezechiel-banzuzi,E. Banzuzi,M,6,191.0,1087,M,1155383,EUR,1108512000,M,11,11,False,28.0,20.0,4.0,3.0,6.0,8.0,14.0,20.0,2.0,1.0,,,,,,,90.0,49.0,7.1,13.0,0.2408,0.0,0.427135,4,,Ezechiel Banzuzi,,,3.0,2.0,7.0,5.0,,,2.0,1.0,2.0,,2.0,2.0,,1.0,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,
11369798,home,Oud-Heverlee Leuven,Mandela Keita,mandela-keita,M. Keita,M,16,180.0,1237,M,1110136,EUR,1020988800,M,27,27,False,35.0,33.0,6.0,5.0,25.0,25.0,8.0,10.0,,5.0,,,,,,,64.0,41.0,6.7,3.0,0.0,0.0,0.00323636,0,,Mandela Keita,,,,,2.0,3.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
11369798,home,Oud-Heverlee Leuven,Siebe Schrijvers,siebe-schrijvers,S. Schrijvers,M,8,178.0,212,M,190413,EUR,837648000,M,8,8,False,50.0,38.0,7.0,4.0,18.0,19.0,24.0,42.0,,4.0,,,,,,,90.0,80.0,7.6,22.0,0.0518,0.0,0.148067,3,,,,11.0,3.0,1.0,5.0,8.0,,,4.0,4.0,,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,,,,,
11369798,home,Oud-Heverlee Leuven,Mathieu Maertens,mathieu-maertens,M. Maertens,F,33,182.0,86,M,360652,EUR,796262400,F,33,33,False,13.0,10.0,2.0,2.0,2.0,3.0,8.0,10.0,,1.0,,,,,,,64.0,22.0,6.7,7.0,0.0,0.0,0.0691187,0,,,,,1.0,2.0,5.0,4.0,,,,,1.0,2.0,2.0,,,,,,1.0,,1.0,,,2.0,,True,,,,
11369798,home,Oud-Heverlee Leuven,Nathaniel Opoku,opoku-nathaniel,N. Opoku,F,24,183.0,196,M,1473154,EUR,995760000,F,21,21,False,22.0,13.0,1.0,,4.0,7.0,10.0,16.0,1.0,2.0,,,,,,,90.0,37.0,7.4,13.0,0.052,0.0,0.0994985,1,,Nathaniel Opoku,,1.0,1.0,3.0,4.0,7.0,,,,,2.0,1.0,,,1.0,,,3.0,5.0,3.0,,1.0,,3.0,1.0,,1.0,,,
