match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_totalContest,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_lastManTackle,player_firstName,player_lastName,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
12530692,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,41.0,21.0,32.0,12.0,0.0,16.0,18.0,5.0,23.0,1.0,2.0,2.0,10.0,1.0,1.0,1.0,2.0,4.0,90.0,51.0,7.5,20.0,0.00169327,0,0.8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530692,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,D,28,28,False,42.0,31.0,9.0,4.0,0.0,19.0,24.0,12.0,20.0,,,3.0,9.0,,,,,,90.0,70.0,6.7,20.0,0.0130034,0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12530692,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,803,M,359332,EUR,835228800,D,5,5,False,29.0,27.0,2.0,1.0,0.0,23.0,23.0,4.0,6.0,,1.0,3.0,3.0,,,,,,61.0,38.0,6.4,3.0,0.00256577,0,,,3.0,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12530692,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,20.0,19.0,3.0,2.0,0.0,16.0,16.0,3.0,4.0,1.0,2.0,,,,,,,,36.0,21.0,6.7,1.0,0.00067525,0,,,1.0,,,,,,1.0,1.0,1.0,True,1.0,,,,,,,,,,,,,,,,,,
12530692,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,23,23,False,45.0,33.0,9.0,3.0,0.0,21.0,22.0,12.0,24.0,2.0,4.0,6.0,6.0,,2.0,,,,90.0,68.0,7.0,16.0,0.00741934,0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12530692,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180,183,M,332963,EUR,769564800,M,3,3,False,33.0,25.0,14.0,7.0,0.0,12.0,12.0,13.0,21.0,1.0,2.0,7.0,4.0,,,,,,90.0,45.0,7.0,8.0,0.00681782,1,,,3.0,,,1.0,,2.0,1.0,1.0,,,,,,2.0,1.0,0.036,,,,,,,,,,,,,
12530692,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,34.0,28.0,5.0,5.0,0.0,11.0,12.0,19.0,25.0,1.0,8.0,5.0,3.0,,3.0,,,,90.0,56.0,7.5,11.0,0.109327,0,,3.0,6.0,3.0,2.0,,,1.0,3.0,2.0,3.0,,,,,1.0,,,2.0,1.0,3.0,,,,,,,,,,
12530692,home,Kayserispor,Carlos Mané,carlos-mane,C. Mané,M,20,172,381,M,859748,EUR,763344000,M,20,20,False,26.0,21.0,3.0,2.0,1.0,11.0,11.0,10.0,19.0,,3.0,,2.0,,1.0,,,,90.0,51.0,6.7,16.0,0.0243627,2,,4.0,9.0,2.0,1.0,,,1.0,2.0,1.0,2.0,,,,,2.0,1.0,0.1112,,,1.0,3.0,1.0,1.0,,,,,,,
12530692,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,11.0,8.0,2.0,,0.0,2.0,4.0,6.0,7.0,,2.0,1.0,2.0,,,,,,65.0,28.0,6.1,11.0,0.0187919,1,,,8.0,4.0,4.0,1.0,,,,,3.0,,,,,,1.0,0.019,,2.0,,2.0,,,,,,,,,
12530692,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,20.0,11.0,2.0,,0.0,5.0,7.0,7.0,17.0,1.0,3.0,1.0,4.0,,,,,,90.0,36.0,7.5,16.0,0.078805,1,,4.0,4.0,3.0,1.0,2.0,,2.0,,,,,,,,,,0.034,1.0,2.0,2.0,1.0,,,1.0,1.0,0.1498,,,,
12530692,home,Kayserispor,Stéphane Bahoken,stephane-bahoken,S. Bahoken,F,,185,234,M,153220,EUR,707011200,F,13,13,False,11.0,8.0,1.0,1.0,0.0,3.0,5.0,5.0,6.0,,2.0,2.0,1.0,,2.0,,,,60.0,20.0,6.7,7.0,0.00107326,1,,,2.0,1.0,2.0,,,,,,,,,,,,1.0,0.228,,,,1.0,,,,,,,,,
12530692,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,M,6,6,True,24.0,17.0,2.0,,0.0,8.0,10.0,9.0,16.0,3.0,5.0,4.0,3.0,,2.0,,,,54.0,37.0,6.6,11.0,0.0152305,1,,2.0,6.0,,1.0,1.0,,1.0,,,1.0,,,,,3.0,1.0,0.033,,,,1.0,,,,,,,,,
