match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_outfielderBlock,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_goals,captain,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyConceded,stat_penaltyFaced,stat_bigChanceCreated
11407454,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,1,1,False,19.0,10.0,13.0,4.0,7.0,8.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,90.0,23.0,6.7,9.0,0.0008199,0,0.1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407454,home,Udinese,João Ferreira,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,False,32.0,23.0,6.0,3.0,15.0,17.0,8.0,16.0,,,4.0,6.0,5.0,9.0,,,,,77.0,54.0,7.6,13.0,0.00346404,0,,,,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11407454,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,33.0,29.0,9.0,6.0,21.0,23.0,8.0,10.0,,3.0,1.0,4.0,3.0,3.0,,,,,90.0,41.0,6.9,5.0,0.0272661,1,,,,,,,,1.0,,,1.0,,1.0,2.0,1.0,0.2639,1.0,,,,,,,,,,,,,,,,,
11407454,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184,3369,M,913401,EUR,961804800,D,18,18,False,24.0,19.0,6.0,2.0,12.0,16.0,7.0,9.0,1.0,2.0,1.0,8.0,5.0,3.0,,,,,90.0,46.0,6.9,9.0,0.0320799,0,,,,1.0,,,,6.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11407454,home,Udinese,Festy Ebosele,festy-ebosele,F. Ebosele,D,36,180,593,M,983059,EUR,1028246400,M,2,2,False,12.0,9.0,2.0,2.0,3.0,4.0,6.0,9.0,,1.0,4.0,9.0,,2.0,,,,,90.0,33.0,7.3,13.0,0.00661978,0,,,,1.0,,5.0,4.0,2.0,2.0,2.0,1.0,,,,4.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,
11407454,home,Udinese,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183,4807,M,980624,EUR,1014508800,M,24,24,False,29.0,24.0,1.0,1.0,12.0,13.0,13.0,24.0,,,3.0,5.0,,5.0,,,,,83.0,51.0,7.7,15.0,0.314787,2,,,,8.0,,4.0,3.0,2.0,2.0,,1.0,,,1.0,,0.0396,3.0,2.0,,lakisamar10,1.0,1.0,1.0,1.0,1.0,0.1093,,,,,,,,
11407454,home,Udinese,Walace,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,33.0,27.0,5.0,2.0,11.0,11.0,16.0,22.0,,,6.0,5.0,2.0,15.0,,,,,90.0,54.0,7.7,12.0,0.0341751,2,,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,4.0,0.0572,1.0,2.0,,,,,1.0,1.0,,0.3023,1.0,,,,,,,
11407454,home,Udinese,Martín Payero,martin-payero,M. Payero,M,32,182,791,M,895592,EUR,905472000,M,32,32,False,18.0,13.0,1.0,,3.0,3.0,10.0,16.0,4.0,1.0,8.0,11.0,2.0,8.0,,,,,71.0,41.0,7.4,8.0,0.0164681,3,,,,1.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,,2.0,1.0,,0.1152,1.0,,,,,,1.0,,,,,,,,,,,
11407454,home,Udinese,Jordan Zemura,jordan-zemura,J. Zemura,D,33,173,795,M,964119,EUR,942537600,M,33,33,False,23.0,17.0,4.0,1.0,7.0,8.0,10.0,15.0,4.0,,10.0,5.0,,5.0,,,,,82.0,44.0,7.0,12.0,0.0111464,1,,,,,1.0,1.0,,5.0,5.0,,,,,2.0,1.0,0.1107,,4.0,,,,,,1.0,,0.0307,,,,,,,,
11407454,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184,1199,M,122701,EUR,663206400,F,37,37,False,28.0,20.0,,,8.0,10.0,13.0,20.0,,,4.0,4.0,,3.0,,,,,90.0,47.0,6.9,16.0,0.303346,2,,,,2.0,,1.0,,3.0,1.0,1.0,1.0,,1.0,,3.0,0.1283,,3.0,,,,1.0,,1.0,,0.423,,True,1.0,,,,,
