match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,player_sofascoreId,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_ownGoals,stat_totalOffside
12530753,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,21.0,16.0,11.0,6.0,0.0,10.0,11.0,6.0,10.0,1.0,5.0,1.0,90.0,27.0,6.6,5.0,0.00301824,0,-0.7678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530753,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,,49.0,42.0,3.0,1.0,0.0,21.0,22.0,22.0,28.0,4.0,3.0,,90.0,79.0,7.4,8.0,0.0637781,1,,1.0,1.0,2.0,3.0,4.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0134,1.0,,,,,,,,,,,,,,,,,,
12530753,home,Beşiktaş JK,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2617,M,895009,EUR,971222400,D,53,53,False,,57.0,52.0,6.0,3.0,0.0,37.0,39.0,15.0,19.0,10.0,4.0,,90.0,76.0,7.2,6.0,0.00563206,1,,1.0,,3.0,6.0,5.0,9.0,1.0,,,2.0,2.0,1.0,,1.0,1.0,0.0392,,,,1.0,,,,,,,,,,,,,,,
12530753,home,Beşiktaş JK,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1725,M,792142,EUR,873763200,D,14,14,False,,58.0,50.0,12.0,6.0,0.0,30.0,32.0,20.0,26.0,3.0,3.0,,90.0,69.0,7.1,8.0,0.00616917,1,,,,2.0,7.0,4.0,9.0,,,,1.0,2.0,2.0,,1.0,2.0,0.0416,,,,1.0,,,,,,,,,,,,,,,
12530753,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,35.0,31.0,2.0,1.0,1.0,10.0,10.0,22.0,35.0,1.0,4.0,,90.0,63.0,7.4,15.0,0.0494491,0,,10.0,1.0,,,4.0,6.0,1.0,,,1.0,4.0,2.0,,1.0,2.0,,2.0,,,,masuaku26,2.0,1.0,1.0,,,,,,,,,,,
12530753,home,Beşiktaş JK,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,A. Oxlade-Chamberlain,M,21,180,3255,M,10577,EUR,745372800,M,15,15,False,,36.0,31.0,4.0,3.0,0.0,12.0,13.0,19.0,24.0,1.0,8.0,,61.0,42.0,6.9,7.0,0.0243163,1,,1.0,,,1.0,,2.0,,,,,,,1.0,,,0.0165,,,,1.0,AlexOxChambo,1.0,1.0,,,,,,,,,,,,
12530753,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,32.0,27.0,2.0,1.0,0.0,8.0,11.0,19.0,22.0,3.0,1.0,,90.0,56.0,6.7,14.0,0.0341493,1,,1.0,,1.0,1.0,10.0,6.0,2.0,,,1.0,1.0,,2.0,3.0,3.0,0.1157,,,,1.0,gedson_83,4.0,2.0,,2.0,,,,,,,,,,
12530753,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,7,7,False,,30.0,18.0,3.0,2.0,0.0,3.0,7.0,19.0,35.0,,6.0,,78.0,51.0,7.9,21.0,0.472544,0,,12.0,4.0,,,2.0,5.0,,,,,1.0,1.0,,1.0,2.0,,3.0,,,,MRashica,4.0,3.0,1.0,,,,,,,,,,,
12530753,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,37.0,28.0,,,0.0,14.0,17.0,14.0,20.0,,4.0,,84.0,52.0,7.0,15.0,0.0439054,3,,,,,1.0,4.0,4.0,,,,,,,2.0,2.0,,0.3795,1.0,,,1.0,Rafa_Silva,2.0,1.0,,3.0,2.0,1.0,1.0,1.2836,,,,,,
12530753,home,Beşiktaş JK,João Mário,joao-mario,J. Mário,M,10,179,3772,M,97001,EUR,727401600,M,18,18,False,,41.0,37.0,1.0,,0.0,11.0,11.0,27.0,33.0,,7.0,,90.0,55.0,7.1,9.0,0.154694,0,,3.0,1.0,,,2.0,4.0,,,,,2.0,1.0,2.0,,1.0,,1.0,,,,JoaoMario,3.0,2.0,,,,,,,,,,,,
