match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_dispossessed,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
11391275,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,26.0,19.0,15.0,8.0,12.0,13.0,7.0,13.0,10.0,1.0,2.0,90.0,36.0,6.3,7.0,0.00255304,0,-0.6088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391275,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,49.0,35.0,8.0,5.0,21.0,23.0,20.0,38.0,6.0,,,90.0,82.0,7.9,27.0,0.410717,1,,1.0,12.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0264,4.0,,,,,,,,,,,,,,,,,,,,,,,
11391275,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,69.0,62.0,13.0,8.0,38.0,40.0,25.0,30.0,5.0,,,90.0,81.0,7.3,7.0,0.240053,1,,,1.0,1.0,4.0,7.0,,,,,3.0,2.0,1.0,0.1009,1.0,,,True,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
11391275,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,86.0,73.0,13.0,7.0,51.0,57.0,22.0,29.0,7.0,,,90.0,94.0,7.7,13.0,0.011249,1,,,,,3.0,6.0,,,,,1.0,,2.0,0.1765,,,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5998,,,,,,,,,
11391275,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,40.0,36.0,2.0,2.0,14.0,16.0,25.0,33.0,6.0,,,89.0,76.0,6.5,19.0,0.112307,0,,,9.0,3.0,7.0,3.0,2.0,2.0,,,1.0,,,,1.0,,,,,,4.0,,1.0,,,,,,,3.0,5.0,,,,,,,
11391275,home,Stade Brestois,Jonas Martin,jonas-martin,J. Martin,M,90,184,95,M,123264,EUR,639619200,M,28,28,False,79.0,70.0,9.0,8.0,35.0,38.0,35.0,41.0,12.0,,,89.0,98.0,7.7,13.0,0.0311834,1,,,,,4.0,8.0,1.0,,,,4.0,2.0,1.0,0.052,1.0,,,,1.0,4.0,1.0,1.0,4.0,2.0,1.0,,,,,1.0,1.0,,,,,,,
11391275,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,43.0,37.0,2.0,1.0,14.0,15.0,23.0,28.0,4.0,,,90.0,57.0,6.9,10.0,0.244795,2,,,,,3.0,2.0,1.0,,,1.0,1.0,3.0,1.0,0.0907,1.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,3.0,,,,,,,
11391275,home,Stade Brestois,Martín Satriano,martin-satriano,M. Satriano,F,10,187,2192,M,973536,EUR,982627200,M,7,7,False,20.0,12.0,1.0,1.0,5.0,6.0,7.0,15.0,2.0,,,90.0,49.0,6.9,19.0,0.00597067,3,,,1.0,,11.0,9.0,8.0,2.0,,,2.0,,2.0,0.2881,,,,,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,1.0,0.09,,4.0,,,,,,,
11391275,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,29.0,25.0,2.0,2.0,11.0,14.0,14.0,18.0,,,,78.0,43.0,7.1,9.0,0.0180793,1,,,3.0,,5.0,8.0,,,,,,1.0,2.0,0.1588,,,,,,3.0,1.0,,3.0,3.0,4.0,1.0,,,0.2319,1.0,1.0,,,,,,,
11391275,home,Stade Brestois,Jérémy Le Douaron,jeremy-le-douaron,J. Le Douaron,F,21,189,290,M,1047296,EUR,893116800,M,22,22,False,10.0,9.0,,,1.0,1.0,9.0,12.0,1.0,,,73.0,23.0,6.5,8.0,0.0293791,2,,,3.0,1.0,4.0,2.0,3.0,1.0,,,,,,0.073,,,,,1.0,1.0,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,
