match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,captain,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
12764854,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,235,M,156663,EUR,760492800,G,33,33,False,31.0,22.0,12.0,5.0,0.0,20.0,27.0,2.0,4.0,1.0,2.0,2.0,15.0,1.0,3.0,6.0,2.0,90.0,52.0,8.4,10.0,0.00109463,0,1.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764854,home,KAA Gent,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,269,M,997024,EUR,985651200,D,20,20,False,36.0,27.0,9.0,4.0,0.0,22.0,25.0,5.0,11.0,,2.0,1.0,4.0,,,,,64.0,54.0,6.7,14.0,0.00946708,0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12764854,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1373,M,942213,EUR,855100800,D,4,4,False,53.0,49.0,10.0,6.0,0.0,38.0,39.0,11.0,14.0,1.0,2.0,6.0,2.0,,,,,90.0,68.0,7.6,5.0,0.00870861,0,,2.0,,,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,
12764854,home,KAA Gent,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,D,23,189,433,M,108736,EUR,643334400,D,13,13,False,54.0,45.0,8.0,5.0,0.0,33.0,40.0,12.0,14.0,1.0,3.0,4.0,6.0,,,,,90.0,62.0,7.2,10.0,0.00605902,0,,2.0,1.0,,,,,2.0,1.0,1.0,1.0,True,2.0,,,,,,,,,,,,,,,,,,
12764854,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3095,M,1009738,EUR,1022544000,D,3,3,False,32.0,23.0,3.0,2.0,1.0,13.0,21.0,11.0,17.0,1.0,7.0,,4.0,2.0,,,,90.0,67.0,7.4,28.0,0.182124,1,,7.0,,4.0,4.0,1.0,,3.0,3.0,,,,2.0,6.0,1.0,1.0,1.0,0.0332,1.0,,,,,,,,,,,,
12764854,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185,600,M,1034816,EUR,902793600,M,15,15,False,29.0,21.0,4.0,1.0,0.0,11.0,13.0,10.0,17.0,1.0,9.0,3.0,6.0,2.0,,,,75.0,47.0,7.5,10.0,0.0283974,2,,6.0,1.0,,1.0,1.0,1.0,5.0,1.0,,,,1.0,1.0,,1.0,1.0,0.0615,2.0,1.0,5.0,,,,,,,,,,
12764854,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,1082,M,1019125,EUR,958435200,M,6,6,False,19.0,11.0,2.0,,0.0,3.0,7.0,8.0,12.0,2.0,3.0,,3.0,,,,,90.0,26.0,7.0,9.0,0.0042776,2,,4.0,1.0,,,,1.0,1.0,,3.0,,,1.0,,,,,0.8764,,1.0,,1.0,1.0,1.0,3.0,0.6172,,,,,
12764854,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,584,M,1124749,EUR,1091232000,M,16,16,False,58.0,48.0,7.0,6.0,0.0,26.0,31.0,22.0,30.0,,6.0,,12.0,1.0,,,,90.0,83.0,7.3,20.0,0.0381687,0,,7.0,1.0,3.0,1.0,,3.0,5.0,3.0,,2.0,,2.0,3.0,,,,,1.0,,2.0,,,,,,,,,,
12764854,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176,579,M,1135616,EUR,1107129600,F,11,11,False,21.0,14.0,,,0.0,4.0,5.0,10.0,17.0,,4.0,1.0,7.0,,,,,75.0,39.0,6.7,16.0,0.103391,2,,8.0,2.0,2.0,4.0,2.0,,2.0,3.0,1.0,,,2.0,1.0,,1.0,1.0,0.1604,1.0,,1.0,,1.0,,1.0,0.272,,,,,
12764854,home,KAA Gent,Max Dean,Max Dean,,max-dean,M. Dean,F,21,178,400,M,1065233,EUR,1077321600,F,21,21,False,14.0,13.0,1.0,1.0,0.0,4.0,4.0,9.0,12.0,1.0,3.0,,2.0,1.0,,,,84.0,32.0,6.9,9.0,0.0858145,4,,2.0,1.0,,1.0,,,1.0,5.0,,,,1.0,2.0,,,,1.6195,2.0,1.0,1.0,2.0,3.0,1.0,,1.6272,,,,,
