match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,stat_totalCross,stat_accurateCross,stat_totalTackle,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoals,captain,stat_totalOffside,stat_bigChanceMissed,stat_goalAssist,stat_errorLeadToAShot,stat_bigChanceCreated
11450078,away,Kasımpaşa,Rochinha,,,rochinha,Rochinha,M,10,169.0,158,M,352874,EUR,799459200,M,15,15,False,28.0,23.0,2.0,1.0,5.0,6.0,20.0,30.0,,5.0,,,,,77.0,57.0,7.6,17.0,0.299953,1,,,,3.0,8.0,,4.0,3.0,,,,4.0,3.0,,8.0,2.0,1.0,2.0,,1.0,,,,0.028,,,,,,
11450078,away,Kasımpaşa,Nuno Da Costa,,,nuno-da-costa,N. Da Costa,F,10,184.0,1004,M,209374,EUR,666144000,F,18,18,False,17.0,11.0,3.0,1.0,6.0,7.0,5.0,11.0,,2.0,,,,,90.0,36.0,7.5,14.0,0.0157727,3,,3.0,4.0,7.0,4.0,1.0,,,1.0,2.0,5.0,,,2.0,1.0,,,1.0,1.0,2.0,,1.0,,0.8875,,2.0,,,,
11450078,away,Kasımpaşa,Oğulcan Çağlayan,,,ogulcan-caglayan,O. Çağlayan,F,17,188.0,194,M,387050,EUR,827452800,F,14,14,True,7.0,4.0,,,3.0,4.0,1.0,4.0,,5.0,,,,,22.0,16.0,6.8,6.0,0.00432894,3,,,,1.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,,1.0,0.2304,,1.0,,,,
11450078,away,Kasımpaşa,Jackson Porozo,,,jackson-porozo,J. Porozo,D,12,192.0,722,M,978518,EUR,965347200,D,23,23,True,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,,2.0,,,,,13.0,6.0,6.6,,0.00017489,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Samuel Bastien,,,samuel-bastien,S. Bastien,M,22,174.0,275,M,352964,EUR,843696000,M,28,28,True,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,0.0127939,0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Ali Emre Yanar,,,ali-emre-yanar,A. E. Yanar,G,25,190.0,31,M,840297,EUR,895190400,G,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Taylan Utku Aydın,,,aydin-taylan-utku,T. U. Aydın,D,29,180.0,50,M,1498789,EUR,1139529600,D,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Emre Gedik,,,emre-gedik,E. Gedik,D,19,,14,M,957792,EUR,930614400,D,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Sadık Çiftpınar,,,sadik-ciftpinar,S. Çiftpınar,D,5,181.0,71,M,111811,EUR,725846400,D,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Loret Sadiku,,,loret-sadiku,L. Sadiku,M,,180.0,55,M,143356,EUR,680659200,M,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Selim Dilli,,,selim-dilli,S. Dilli,M,20,177.0,4,M,999296,EUR,896140800,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,away,Kasımpaşa,Trazie Thomas Zai,Trazie Thomas Zai,,trazie-thomas-zai,T. T. Zai,M,,172.0,48,M,1083235,EUR,930787200,M,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
