match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_keyPass,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_goalAssist,stat_outfielderBlock,stat_penaltyConceded
10534171,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191.0,323,M,43970,EUR,667872000,G,1,1,False,29.0,25.0,9.0,5.0,24.0,26.0,1.0,3.0,6.0,3.0,4.0,90.0,36.0,7.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184.0,3341,M,913401,EUR,961804800,D,18,18,False,65.0,59.0,8.0,7.0,33.0,34.0,26.0,31.0,7.0,,,90.0,78.0,6.3,7.0,0,,,1.0,7.0,2.0,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192.0,2516,M,886930,EUR,918172800,D,29,29,False,55.0,47.0,3.0,1.0,28.0,31.0,19.0,24.0,9.0,,,73.0,55.0,6.3,8.0,0,,,2.0,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Adam Masina,adam-masina,A. Masina,D,,189.0,5399,M,259995,EUR,757468800,D,3,3,False,68.0,62.0,9.0,9.0,30.0,34.0,32.0,34.0,7.0,,,90.0,79.0,7.4,7.0,0,,,,,7.0,,,,,,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Brandon Soppy,brandon-soppy,B. Soppy,M,2,181.0,439,M,963211,EUR,1014249600,M,93,93,False,38.0,26.0,,,10.0,10.0,17.0,32.0,1.0,,,90.0,64.0,7.1,21.0,0,,,1.0,3.0,10.0,,,4.0,4.0,1.0,1.0,5.0,4.0,,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184.0,1199,M,122701,EUR,663206400,M,37,37,False,48.0,43.0,2.0,2.0,13.0,13.0,30.0,38.0,6.0,,,90.0,66.0,6.5,13.0,2,,,,4.0,2.0,,,1.0,,,,3.0,1.0,,1.0,1.0,3.0,,,True,2.0,2.0,,,,,,,,,,,,,,
10534171,home,Udinese,Sandi Lovrić,sandi-lovric,S. Lovrić,M,4,180.0,805,M,575852,EUR,891043200,M,4,4,False,54.0,50.0,4.0,4.0,14.0,15.0,36.0,39.0,6.0,,,82.0,71.0,7.1,8.0,0,,,,5.0,5.0,,2.0,1.0,1.0,2.0,,2.0,,,4.0,3.0,,,,,1.0,,,,,,,,,,,,,,,
10534171,home,Udinese,Jean-Victor Makengo,jean-victor-makengo,J. Makengo,M,17,177.0,237,M,802138,EUR,897609600,M,6,6,False,44.0,39.0,3.0,3.0,12.0,13.0,27.0,31.0,4.0,,,90.0,57.0,6.6,10.0,0,,,,4.0,5.0,,,2.0,3.0,1.0,,2.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,
10534171,home,Udinese,Enzo Ebosse,enzo-ebosse,E. Ebosse,D,77,185.0,507,M,848279,EUR,921110400,M,23,23,False,50.0,43.0,,,15.0,15.0,28.0,38.0,2.0,,,90.0,71.0,6.5,16.0,0,,,,7.0,5.0,3.0,,3.0,1.0,2.0,1.0,2.0,,,3.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,
10534171,home,Udinese,Isaac Success,isaac-success,S. Isaac,F,29,182.0,367,M,359640,EUR,820972800,F,7,7,False,21.0,13.0,3.0,1.0,1.0,1.0,12.0,20.0,2.0,,,79.0,37.0,7.5,14.0,3,Isaac,Success,2.0,6.0,5.0,,,1.0,3.0,1.0,,3.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
