match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_shotOffTarget,stat_wasFouled,stat_goalAssist,stat_bigChanceCreated,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goodHighClaim
11369864,home,Cercle Brugge,Warleson,,,warleson,Warleson,G,1,191.0,144,M,861071,EUR,841449600,G,1,1,False,24.0,12.0,18.0,6.0,7.0,7.0,5.0,17.0,2.0,10.0,3.0,3.0,1.0,1.0,90.0,32.0,6.7,12.0,0.0,0.0,0.0127416,0,-0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369864,home,Cercle Brugge,Hugo Siquet,,,hugo-siquet,H. Siquet,D,41,180.0,607,M,983041,EUR,1026172800,D,41,41,False,32.0,16.0,6.0,,3.0,4.0,14.0,43.0,3.0,5.0,,,,,90.0,74.0,7.1,35.0,0.0,0.0,0.24669,0,,15.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,
11369864,home,Cercle Brugge,Boris Popović,,,boris-popovic,B. Popović,D,5,189.0,111,M,902050,EUR,951523200,D,5,5,False,31.0,23.0,4.0,1.0,11.0,13.0,12.0,18.0,1.0,3.0,,,,,90.0,39.0,6.1,10.0,0.1736,0.0,0.0111811,1,,,,2.0,2.0,9.0,3.0,1.0,,1.0,1.0,1.0,,4.0,,1.0,1.0,1.0,,,,,,,,,,,
11369864,home,Cercle Brugge,Edgaras Utkus,,,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,False,40.0,31.0,12.0,9.0,16.0,16.0,15.0,24.0,4.0,11.0,,,,,71.0,54.0,7.3,9.0,0.0648,0.0,0.179732,1,,,,1.0,4.0,3.0,7.0,2.0,,3.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,
11369864,home,Cercle Brugge,Christiaan Ravych,,,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,37.0,26.0,7.0,4.0,8.0,10.0,19.0,29.0,1.0,4.0,,,,,90.0,57.0,7.3,12.0,0.0135,0.0,0.127723,1,,2.0,1.0,2.0,3.0,5.0,8.0,2.0,,3.0,3.0,2.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,
11369864,home,Cercle Brugge,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168.0,202,M,783478,EUR,912384000,M,22,22,False,39.0,30.0,3.0,2.0,6.0,6.0,26.0,35.0,,5.0,,,,,90.0,54.0,7.5,12.0,0.1119,0.0,0.282429,3,,2.0,2.0,1.0,3.0,2.0,7.0,,,,2.0,2.0,2.0,1.0,1.0,,1.0,,3.0,1.0,,,1.0,,,,,,
11369864,home,Cercle Brugge,Hannes Van Der Bruggen,,,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,46.0,33.0,6.0,2.0,4.0,5.0,29.0,41.0,2.0,10.0,,,,,84.0,58.0,6.8,14.0,0.0,0.0,0.0780306,0,,,,3.0,2.0,7.0,5.0,2.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,
11369864,home,Cercle Brugge,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,34,34,False,26.0,22.0,1.0,,5.0,7.0,18.0,25.0,2.0,5.0,,,,,90.0,52.0,7.4,17.0,0.1782,0.2869,0.133564,2,,6.0,1.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,1.0,,,,,1.0,,True,2.0,,,,
11369864,home,Cercle Brugge,Alan Minda,,,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,M,11,11,False,14.0,11.0,,,3.0,3.0,8.0,11.0,,6.0,,,,,62.0,23.0,6.4,10.0,0.2126,0.0,0.0995076,2,,,,3.0,,6.0,,2.0,,,,,5.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,
11369864,home,Cercle Brugge,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173.0,972,M,911851,EUR,979430400,M,10,10,False,21.0,18.0,1.0,1.0,4.0,4.0,14.0,17.0,,4.0,,,,,71.0,41.0,7.1,11.0,0.1712,0.444,0.0995441,3,,,,2.0,,6.0,5.0,,,,2.0,1.0,3.0,,2.0,3.0,3.0,1.0,1.0,1.0,,,2.0,,1.0,,,,
