match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_challengeLost,captain,stat_wonContest,stat_fouls,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_punches,stat_outfielderBlock,stat_totalOffside,stat_errorLeadToAShot
14083106,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,34.0,25.0,13.0,5.0,0.0,21.0,23.0,4.0,11.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,2.0,3.0,3.0,90.0,48.0,7.6,9.0,0.00112416,0.434,0,0.5184,0.01,0.01,0.18,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083106,home,Athletic Club,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,530,M,,866810,EUR,839116800,D,2,2,False,29.0,26.0,1.0,,0.0,10.0,10.0,16.0,19.0,3.0,5.0,7.0,3.0,,,,,,,90.0,62.0,7.5,10.0,0.129032,,1,,0.3,0.26,0.26,,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.021,2.0,-0.13,,,,,,,,,,,,,,,,,,
14083106,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183,3110,M,,910978,EUR,931132800,D,3,3,False,52.0,48.0,6.0,4.0,0.0,30.0,32.0,18.0,20.0,3.0,6.0,2.0,4.0,1.0,,,,,,90.0,64.0,7.7,6.0,0.184625,,1,,0.37,0.1,0.19,,,,,1.0,,1.0,2.0,1.0,1.0,0.0367,1.0,-0.07,,,1.0,1.0,1.0,,,,,,,,,,,,,
14083106,home,Athletic Club,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10335,M,laporte27,149734,EUR,769996800,D,14,14,False,56.0,54.0,5.0,4.0,1.0,41.0,42.0,13.0,14.0,3.0,4.0,8.0,5.0,,,,,,,90.0,68.0,7.5,2.0,0.00599032,,1,,0.21,0.06,0.27,,,,2.0,3.0,,1.0,1.0,1.0,,0.0491,1.0,-0.2,,,,1.0,1.0,1.0,,,,,,,,,,,,
14083106,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,,84531,EUR,634608000,D,17,17,False,47.0,39.0,1.0,1.0,0.0,15.0,19.0,24.0,28.0,3.0,5.0,4.0,2.0,1.0,,,,,,90.0,74.0,7.4,14.0,0.0201563,,0,,0.28,0.18,0.17,,1.0,,1.0,2.0,,,1.0,1.0,3.0,,,,,,,,3.0,1.0,True,,,,,,,,,,,
14083106,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,,96365,EUR,744595200,M,16,16,False,40.0,37.0,2.0,1.0,0.0,17.0,19.0,20.0,21.0,,6.0,,7.0,3.0,,,,,,72.0,51.0,7.1,6.0,0.03425,,1,,0.41,0.22,0.15,,2.0,1.0,2.0,7.0,3.0,1.0,,,1.0,0.0227,,-0.21,,,1.0,,,,,3.0,4.0,,,,,,,,,
14083106,home,Athletic Club,Mikel Jauregizar,mikel-jauregizar,M. Jauregizar,M,18,177,1766,M,,1495844,EUR,1068681600,M,18,18,False,37.0,31.0,1.0,,0.0,20.0,21.0,11.0,16.0,,3.0,,3.0,,,,,,,90.0,51.0,6.5,8.0,0.00666623,,2,,-0.11,0.11,0.0,,1.0,,1.0,3.0,,1.0,3.0,2.0,1.0,0.14,,-0.38,,,,,2.0,,,,2.0,1.0,,,,,,,,
14083106,home,Athletic Club,Álex Berenguer,alex-berenguer,Á. Berenguer,M,7,175,1919,M,,592012,EUR,804816000,M,7,7,False,27.0,22.0,2.0,,0.0,8.0,8.0,14.0,19.0,3.0,6.0,,4.0,,,,,,,84.0,54.0,6.7,17.0,0.138552,,6,,0.01,0.39,-0.14,,11.0,3.0,1.0,8.0,3.0,2.0,1.0,1.0,1.0,0.6808,1.0,0.03,,,2.0,,,3.0,,2.0,1.0,,2.0,4.0,0.6457,,,,,
14083106,home,Athletic Club,Selton Sanchez,selton-sanchez,S. Sánchez,M,44,185,436,M,,1953923,EUR,1171929600,M,44,44,False,17.0,12.0,1.0,1.0,0.0,4.0,5.0,8.0,12.0,,3.0,,4.0,1.0,,,,,,64.0,32.0,6.4,10.0,0.014084,,1,,-0.11,-0.3,-0.1,,,,,4.0,1.0,1.0,1.0,1.0,3.0,0.0331,3.0,-0.26,,,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,,
14083106,home,Athletic Club,Nico Williams,nico-williams,N. Williams,M,10,180,84836,M,NicoWill,1085400,EUR,1026432000,M,10,10,False,23.0,17.0,,,0.0,6.0,6.0,11.0,17.0,,4.0,,4.0,,,,,,,72.0,44.0,8.5,17.0,0.581272,,1,,0.5,0.53,-0.06,,4.0,2.0,,7.0,5.0,,1.0,,5.0,0.1499,2.0,0.53,,,2.0,,,1.0,,3.0,2.0,,,1.0,0.4521,1.0,,,,
