match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_dispossessed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_penaltyWon,stat_errorLeadToAShot
10385542,home,Everton,Asmir Begović,asmir-begovic,A. Begović,G,31,198,823,M,,13918,EUR,551145600,G,15,15,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Conor Coady,conor-coady,C. Coady,D,15,184,629,M,,98449,EUR,730598400,D,30,30,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Yerry Mina,yerry-mina,Y. Mina,D,26,195,5988,M,yerrymina,360396,EUR,780278400,D,13,13,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Mason Holgate,mason-holgate,M. Holgate,D,3,187,413,M,,781544,EUR,845942400,D,4,4,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Neal Maupay,neal-maupay,N. Maupay,F,17,171,2370,M,,268903,EUR,839980800,F,20,20,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Hugo Lloris,hugo-lloris,H. Lloris,G,1,188,5077,M,LlorisH,9048,EUR,535939200,G,1,1,False,28.0,22.0,9.0,3.0,20.0,24.0,2.0,4.0,,14.0,,90.0,49.0,7.4,6.0,0.0,0.0,0.00051243,0,0.4656,True,,,,3.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,2.0,5.0,,
10385542,away,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,88.0,81.0,6.0,4.0,44.0,48.0,37.0,40.0,,6.0,,90.0,104.0,7.4,9.0,0.0,0.0,0.0331625,0,,,,1.0,6.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,5.0,,1.0,,5.0,,,,,1.0,,,,,,,,,,,1.0,
10385542,away,Tottenham Hotspur,Eric Dier,eric-dier,E. Dier,D,3,191,4317,M,ericdier,146101,EUR,758592000,D,15,15,False,76.0,61.0,9.0,2.0,45.0,52.0,16.0,24.0,,2.0,,90.0,90.0,6.7,16.0,0.0,0.0,0.0149584,0,,,,,1.0,5.0,2.0,1.0,1.0,,,3.0,,,,4.0,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0
10385542,away,Tottenham Hotspur,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,34,34,False,75.0,67.0,8.0,3.0,38.0,41.0,29.0,34.0,,10.0,,77.0,86.0,6.6,11.0,0.0,0.0,0.0110938,0,,,,,6.0,3.0,1.0,3.0,3.0,,,,,,,1.0,,,,3.0,,1.0,,2.0,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,M,23,23,False,44.0,31.0,6.0,2.0,14.0,20.0,18.0,27.0,,11.0,,90.0,72.0,6.7,22.0,0.0456,0.0,0.0576569,2,,,3.0,,4.0,3.0,2.0,1.0,,2.0,1.0,,2.0,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,2.0,,,,,
