match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_totalClearance,stat_errorLeadToAShot,stat_fouls,player_firstName,player_lastName,stat_accurateCross,captain,stat_penaltyWon,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed
12499648,home,Holstein Kiel,Timon Weiner,timon-weiner,T. Weiner,G,1,191,134,M,1140362,EUR,916617600,G,1,1,False,38.0,29.0,14.0,5.0,0.0,27.0,30.0,2.0,8.0,7.0,4.0,6.0,90.0,50.0,7.1,9.0,0.00131524,0,-2.1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Timo Becker,timo-becker,T. Becker,D,5,186,174,M,814735,EUR,859248000,D,17,17,False,44.0,33.0,12.0,7.0,0.0,25.0,27.0,8.0,18.0,4.0,,,90.0,62.0,6.8,16.0,0.0922178,2,,1.0,2.0,1.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0513,1.0,,,,,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Carl Johansson,carl-johansson,C. Johansson,D,5,185,82,M,347116,EUR,769651200,D,5,5,False,43.0,38.0,1.0,1.0,0.0,33.0,36.0,5.0,7.0,,,,78.0,61.0,6.6,7.0,0.00193126,0,,,2.0,3.0,3.0,5.0,,,,,,3.0,,2.0,1.0,2.0,,,,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Max Geschwill,geschwill-max,M. Geschwill,D,28,182,46,M,963073,EUR,994464000,D,14,14,False,50.0,44.0,5.0,3.0,0.0,28.0,31.0,16.0,20.0,5.0,,,90.0,65.0,6.3,9.0,0.0157866,0,,1.0,2.0,2.0,3.0,4.0,,,,,,,,2.0,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Lasse Rosenboom,lasse-rosenboom,L. Rosenboom,M,23,190,90,M,980616,EUR,1011398400,M,23,23,False,5.0,,1.0,,0.0,,3.0,1.0,3.0,1.0,,,90.0,25.0,6.4,8.0,0.0598531,1,,1.0,4.0,1.0,7.0,4.0,,1.0,,,1.0,1.0,,2.0,1.0,2.0,2.0,0.0364,1.0,,4.0,,2.0,,,1.0,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Lewis Holtby,lewis-holtby,L. Holtby,M,90,176,208,M,1135884,EUR,653616000,M,10,10,False,26.0,20.0,3.0,,0.0,13.0,15.0,7.0,16.0,2.0,,,90.0,46.0,6.9,14.0,0.00646323,0,,5.0,1.0,1.0,4.0,6.0,1.0,1.0,,,,,,2.0,2.0,1.0,3.0,,1.0,1.0,1.0,,,Lewis,Holtby,,True,1.0,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Magnus Knudsen,magnus-knudsen,M. Knudsen,M,4,175,118,M,977919,EUR,992563200,M,24,24,False,46.0,41.0,6.0,5.0,0.0,26.0,29.0,15.0,17.0,9.0,,,90.0,60.0,6.4,8.0,0.00909585,0,,,,,6.0,3.0,1.0,1.0,1.0,,,,,2.0,1.0,2.0,,,1.0,3.0,2.0,,2.0,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Armin Gigović,armin-gigovic,A. Gigović,M,37,187,1508,M,988893,EUR,1018051200,M,37,37,False,20.0,16.0,2.0,1.0,0.0,10.0,10.0,6.0,10.0,4.0,,,60.0,33.0,6.7,6.0,0.00789766,1,,,1.0,,4.0,2.0,,1.0,1.0,1.0,,,,1.0,,1.0,,0.0329,1.0,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Finn Porath,finn-porath,F. Porath,M,27,179,117,M,789714,EUR,856656000,M,8,8,False,25.0,21.0,3.0,2.0,0.0,11.0,11.0,10.0,17.0,1.0,,,67.0,44.0,6.3,10.0,0.0280867,0,,3.0,3.0,1.0,7.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
12499648,home,Holstein Kiel,Benedikt Pichler,benedikt-pichler,B. Pichler,F,11,187,206,M,843709,EUR,869356800,F,9,9,False,13.0,8.0,,,0.0,4.0,4.0,4.0,10.0,,,,90.0,24.0,7.3,6.0,0.00954841,2,,1.0,1.0,3.0,2.0,8.0,,2.0,2.0,,,,,1.0,1.0,,2.0,0.0548,,,1.0,,1.0,,,,,,2.0,0.0658,,,,,,,,,,,
