match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_wasFouled,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_goals,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_totalOffside,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
10913457,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600.0,G,30,30,False,42.0,21.0,25.0,6.0,18.0,23.0,3.0,19.0,1.0,10.0,1.0,1.0,1.0,1.0,90.0,49.0,7.3,23.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913457,home,Damac FC,Ibrahim Alnakhli,ibrahim-alnakhli,I. Alnakhli,D,88,176.0,35,M,847004,EUR,857865600.0,D,4,4,False,25.0,19.0,3.0,1.0,8.0,10.0,11.0,16.0,2.0,4.0,1.0,,,,90.0,52.0,6.7,13.0,2,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10913457,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200.0,D,15,15,False,39.0,32.0,10.0,7.0,22.0,26.0,10.0,13.0,9.0,4.0,,,,,90.0,55.0,7.6,8.0,2,,1.0,3.0,2.0,4.0,,,,,True,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10913457,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800.0,D,3,3,False,39.0,36.0,9.0,7.0,30.0,31.0,6.0,8.0,4.0,4.0,,,,,90.0,47.0,7.4,4.0,0,,1.0,4.0,1.0,5.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
10913457,home,Damac FC,Abdullah Al-Amar,abdullah-al-amar,A. Al-Amar,D,,177.0,110,M,817911,EUR,762480000.0,D,13,13,False,19.0,14.0,1.0,,9.0,13.0,7.0,11.0,,6.0,,,,,73.0,35.0,8.1,9.0,1,5.0,,,2.0,2.0,,,,,,,1.0,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,,,,,,,,
10913457,home,Damac FC,Ammar Al Najjar,ammar-al-najjar,A. A. Najjar,F,90,166.0,17,M,869269,EUR,856742400.0,M,38,38,False,15.0,12.0,4.0,2.0,4.0,4.0,8.0,12.0,,3.0,1.0,,,,66.0,27.0,6.7,6.0,1,1.0,,1.0,3.0,5.0,1.0,,,1.0,,1.0,1.0,,3.0,3.0,1.0,,,,,,2.0,1.0,2.0,,,,,,
10913457,home,Damac FC,Adam Maher,adam-maher,A. Maher,M,,174.0,90,M,111719,EUR,743126400.0,M,6,6,False,44.0,36.0,7.0,4.0,15.0,16.0,21.0,28.0,,13.0,2.0,,,,90.0,52.0,7.1,10.0,0,,1.0,1.0,7.0,6.0,1.0,,,2.0,,,,,3.0,1.0,5.0,,,,,1.0,1.0,,,1.0,,,,,
10913457,home,Damac FC,Bader Munshi,bader-munshi,B. Munshi,M,16,178.0,9,M,1102071,EUR,929836800.0,M,16,16,False,29.0,25.0,4.0,2.0,20.0,20.0,5.0,9.0,1.0,4.0,2.0,,,,57.0,40.0,6.7,7.0,0,,,2.0,9.0,6.0,4.0,,,,,,,,4.0,2.0,4.0,Bader Munshi,,,,1.0,,1.0,,,,,,,
10913457,home,Damac FC,Nono,nono,Nono,M,14,179.0,56,M,232434,EUR,733449600.0,M,10,10,False,23.0,19.0,1.0,,3.0,3.0,16.0,21.0,,1.0,1.0,,,,66.0,33.0,6.5,10.0,1,1.0,,,6.0,2.0,3.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,2.0,1.0,,,1.0,,,,
10913457,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000.0,M,17,17,False,26.0,23.0,,,10.0,10.0,15.0,19.0,,3.0,2.0,,,,90.0,43.0,7.1,8.0,0,3.0,,,8.0,2.0,,1.0,,1.0,,,,2.0,1.0,,7.0,,,2.0,,,2.0,,1.0,,,1.0,,,
