match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalOffside,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_penaltyWon,stat_goals,captain,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
12618493,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,24.0,12.0,13.0,2.0,0.0,10.0,13.0,2.0,11.0,1.0,1.0,1.0,9.0,1.0,2.0,3.0,90.0,37.0,6.6,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618493,home,Al-Ittihad,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,32.0,27.0,1.0,,0.0,9.0,12.0,18.0,25.0,,1.0,4.0,4.0,1.0,,,66.0,50.0,6.6,10.0,0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618493,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,62.0,52.0,3.0,1.0,1.0,28.0,29.0,25.0,34.0,,4.0,1.0,4.0,1.0,,,90.0,82.0,7.4,13.0,1,1.0,6.0,,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
12618493,home,Al-Ittihad,Saad Al-Mousa,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400,D,6,6,False,60.0,57.0,5.0,3.0,0.0,42.0,43.0,15.0,17.0,2.0,4.0,2.0,6.0,1.0,,,90.0,69.0,7.1,3.0,0,,3.0,2.0,,,,,1.0,,,,,,1.0,,,,Saad Al-Mousa,,2.0,,,,,,,,,,,,,
12618493,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,65.0,61.0,2.0,2.0,0.0,40.0,43.0,22.0,23.0,3.0,4.0,4.0,6.0,,,,90.0,80.0,6.8,4.0,0,1.0,4.0,,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
12618493,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,68.0,60.0,4.0,3.0,0.0,28.0,29.0,32.0,39.0,2.0,8.0,2.0,4.0,,,,90.0,91.0,7.5,13.0,1,,4.0,1.0,5.0,,,,1.0,2.0,3.0,2.0,,1.0,4.0,3.0,2.0,,,,,nglkante,,,,,,,,,,,,
12618493,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,67.0,62.0,10.0,8.0,0.0,33.0,36.0,29.0,31.0,,1.0,1.0,5.0,,,,90.0,77.0,7.2,6.0,0,,1.0,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,Fabinho,,,,,,,,,,,,
12618493,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7562,M,855817,EUR,931305600,M,19,19,False,41.0,34.0,1.0,,0.0,7.0,8.0,28.0,37.0,,4.0,,3.0,2.0,,,90.0,60.0,7.4,14.0,3,4.0,5.0,,2.0,2.0,,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,4.0,,,1.0,moussadiaby,1.0,2.0,1.0,1.0,,,,,,,,
12618493,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175.0,14747,M,846081,EUR,899164800,M,10,10,False,37.0,32.0,3.0,2.0,0.0,10.0,10.0,22.0,28.0,,4.0,,3.0,1.0,,,90.0,51.0,7.4,10.0,3,1.0,6.0,,1.0,1.0,,,,2.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,houssem_aouar,,1.0,2.0,,1.0,,,,,,,
12618493,home,Al-Ittihad,Abdulrahman Alobud,abdulrahman-alobud,A. Alobud,M,24,174.0,531,M,872275,EUR,801964800,M,24,24,False,28.0,24.0,1.0,,0.0,10.0,11.0,14.0,20.0,,6.0,1.0,3.0,2.0,,,67.0,44.0,7.0,11.0,0,3.0,3.0,,,,,,,2.0,3.0,3.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
