match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_totalCross,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_totalContest,stat_blockedScoringAttempt,stat_wonTackle,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_wonContest,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11540884,home,Gaziantep FK,Florin Niță,florin-nita,F. Niță,G,185,1579,M,83551,EUR,552268800,G,33,33,False,25.0,18.0,16.0,9.0,0.0,12.0,12.0,6.0,13.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,90.0,33.0,6.8,8.0,0.00154576,0,-0.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540884,home,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,177,65,M,940367,EUR,892944000,D,22,22,False,12.0,8.0,3.0,,0.0,4.0,6.0,4.0,6.0,,2.0,,,,,,,,42.0,22.0,6.6,8.0,0.00165697,0,,,,22,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11540884,home,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,185,88,M,355004,EUR,855792000,D,15,15,False,32.0,28.0,6.0,3.0,0.0,23.0,25.0,5.0,8.0,,2.0,5.0,1.0,,,,,,90.0,44.0,7.3,5.0,0.00373711,1,,,,5,5.0,,,2.0,,1.0,3.0,2.0,1.0,1.0,1.0,0.1237,0.0443,,,,,,,,,,,,,,,,
11540884,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,193,175,M,106661,EUR,596937600,D,3,3,False,33.0,29.0,2.0,,0.0,21.0,23.0,8.0,10.0,3.0,3.0,11.0,2.0,,,,,,90.0,50.0,6.9,4.0,0.00474045,1,,,,3,1.0,,1.0,,,,1.0,,,,,0.2119,,True,1.0,1.0,1.0,,,,,,,,,,,,
11540884,home,Gaziantep FK,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,175,571,M,899069,EUR,862790400,D,11,11,False,42.0,32.0,7.0,4.0,0.0,14.0,17.0,18.0,26.0,2.0,4.0,2.0,5.0,1.0,,,,,90.0,67.0,6.7,14.0,0.0192831,1,,,,19,3.0,,3.0,1.0,,1.0,1.0,,,,,0.0128,,,,,,2.0,1.0,1.0,,,,,,,,,
11540884,home,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,172,50,M,859783,EUR,917136000,M,61,61,False,7.0,7.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,,2.0,1.0,2.0,1.0,,,,,68.0,15.0,7.4,1.0,0.42658,1,,,,61,1.0,,,1.0,2.0,3.0,1.0,,1.0,,,0.0044,0.4346,,,,,,,1.0,3.0,1.0,1.0,1.0,,,,,
11540884,home,Gaziantep FK,Nicolas N'Koulou,nicolas-nkoulou,N. N'Koulou,D,184,462,M,38533,EUR,638496000,M,63,63,False,24.0,19.0,4.0,1.0,0.0,12.0,15.0,7.0,9.0,3.0,6.0,1.0,2.0,,,,,,89.0,34.0,6.9,5.0,0.00331093,0,,,,3,2.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,
11540884,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,177,793,M,180511,EUR,647395200,M,44,44,False,38.0,31.0,7.0,4.0,0.0,20.0,20.0,13.0,27.0,1.0,8.0,1.0,6.0,,,,,,89.0,56.0,7.3,14.0,0.0736011,1,,,,44,3.0,,,4.0,1.0,9.0,1.0,,,,,0.0154,,,,1.0,,3.0,,2.0,2.0,,,2.0,,3.0,,,
11540884,home,Gaziantep FK,Lazar Marković,lazar-markovic,L. Marković,M,175,330,M,98461,EUR,762566400,F,50,50,False,17.0,13.0,1.0,,0.0,6.0,9.0,7.0,8.0,,4.0,,1.0,2.0,,,,,69.0,28.0,6.5,9.0,0.00818916,0,,,,50,5.0,2.0,,1.0,,,,,,,,,,,,,,3.0,,1.0,,,1.0,1.0,,1.0,,,
11540884,home,Gaziantep FK,Aliou Badji,aliou-badji,A. Badji,F,188,484,M,869845,EUR,876441600,F,7,7,False,10.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,9.0,7.0,10.0,4.0,2.0,2.0,,,,,90.0,29.0,6.3,8.0,0.00660542,3,,,,11,11.0,,,2.0,,,6.0,,,,,0.7736,,,2.0,3.0,1.0,2.0,,2.0,,,,3.0,,,,,
