match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_blockedScoringAttempt,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_penaltyWon,stat_hitWoodwork,stat_penaltyFaced,stat_errorLeadToAGoal,stat_penaltyConceded
12437845,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200.0,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,22.0,20.0,3.0,1.0,0.0,20.0,20.0,2.0,6.0,1.0,1.0,1.0,1.0,90.0,28.0,6.6,2.0,5.247e-05,0,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437845,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173.0,60349,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,48.0,43.0,2.0,2.0,1.0,17.0,17.0,35.0,2.0,,,,,87.0,62.0,8.0,8.0,1.21284,1,,,,True,27.0,4.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,0.5599,3.0,,,,,,,,,,,,,,,,,
12437845,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184.0,117937,M,asencio,1156645,EUR,1045094400,D,35,35,False,68.0,63.0,4.0,3.0,0.0,51.0,53.0,15.0,10.0,,,,,90.0,74.0,7.0,5.0,0.018482,0,,,,,12.0,,,,,3.0,,,,,,,1.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
12437845,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191.0,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,57.0,53.0,7.0,3.0,0.0,39.0,39.0,18.0,4.0,,,,,76.0,61.0,6.8,6.0,0.0118592,1,,,,,14.0,,,,,1.0,,,,,,,,,1.0,0.0276,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,
12437845,home,Real Madrid,Fran García,fran-garcia,F. Garcia,D,20,170.0,66463,M,frangarci11,851271,EUR,934588800,D,20,20,False,45.0,43.0,1.0,1.0,1.0,21.0,22.0,27.0,7.0,,,,,90.0,61.0,7.8,4.0,0.253185,1,,,,,24.0,4.0,2.0,,3.0,4.0,1.0,,,2.0,4.0,3.0,,2.0,,0.1445,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,
12437845,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179.0,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,79.0,73.0,6.0,4.0,0.0,30.0,32.0,47.0,10.0,,,,,83.0,101.0,8.8,7.0,0.161806,0,,,,,43.0,,,,,12.0,1.0,,,5.0,7.0,5.0,3.0,,,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,
12437845,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181.0,375509,M,Fede,831808,EUR,901065600,M,8,8,False,55.0,51.0,5.0,3.0,0.0,21.0,21.0,36.0,4.0,,,,,90.0,64.0,7.1,9.0,0.173621,1,,,,,30.0,2.0,,1.0,4.0,4.0,,,1.0,,2.0,2.0,1.0,,,0.0104,1.0,1.0,1.0,,,,2.0,,2.0,,,,,,,,,
12437845,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170.0,258553,M,Brahim,835485,EUR,933638400,M,21,21,False,27.0,24.0,1.0,,0.0,6.0,7.0,20.0,1.0,,,,,76.0,39.0,7.9,5.0,0.105737,6,,,,,18.0,,,,2.0,4.0,,1.0,2.0,,1.0,1.0,2.0,1.0,,1.4705,1.0,,2.0,1.0,,,,,1.0,4.0,1.0,1.3792,,,,,,
12437845,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188.0,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,63.0,57.0,7.0,5.0,0.0,19.0,19.0,44.0,6.0,,,,,90.0,81.0,7.6,9.0,0.120908,6,,,,,38.0,,,,2.0,9.0,,3.0,4.0,,1.0,1.0,3.0,2.0,1.0,1.9567,1.0,2.0,3.0,3.0,1.0,,,,3.0,2.0,,0.5719,,,,,,
12437845,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174.0,699716,M,Rodrygo,910536,EUR,978998400,M,11,11,False,33.0,33.0,,,1.0,7.0,7.0,32.0,3.0,,,,,83.0,56.0,9.5,11.0,0.699982,3,,,,,27.0,6.0,1.0,,3.0,3.0,2.0,,1.0,2.0,,,2.0,,,0.314,4.0,,3.0,1.0,,,,,2.0,2.0,1.0,0.913,1.0,1.0,,,,
