match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,captain,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_blockedScoringAttempt,player_sofascoreId
14429562,home,Al-Kholood,Juan Cozzani,juan-cozzani,J. Cozzani,G,31,184.0,130,M,874969,EUR,907891200.0,G,31,31,False,34.0,31.0,8.0,5.0,0.0,30.0,32.0,1.0,2.0,1.0,4.0,1.0,3.0,90.0,40.0,7.2,3.0,0.00012028,0.4144,0,-0.1541,0.05,0.01,-0.08,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429562,home,Al-Kholood,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000.0,D,8,8,False,18.0,14.0,4.0,2.0,0.0,6.0,8.0,8.0,10.0,7.0,6.0,,,79.0,35.0,7.1,7.0,0.0227416,,0,,0.36,0.25,-0.14,,1.0,9.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14429562,home,Al-Kholood,William Troost-Ekong,william-troost-ekong,W. Troost-Ekong,D,5,191.0,2266,M,338991,EUR,746841600.0,D,5,5,False,36.0,31.0,8.0,4.0,0.0,21.0,22.0,10.0,14.0,2.0,2.0,,,90.0,43.0,6.6,5.0,0.00494244,,1,,0.21,0.11,-0.16,,2.0,2.0,1.0,,,,,1.0,,,,1.0,,,True,1.0,5.0,0.0669,-0.24,,,,,,,,,,,,,,,,,,,
14429562,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600.0,D,23,23,False,48.0,42.0,5.0,1.0,0.0,33.0,33.0,9.0,15.0,1.0,4.0,,,90.0,52.0,6.2,6.0,0.00469855,,0,,0.09,0.16,-0.27,,1.0,5.0,2.0,,,,,1.0,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
14429562,home,Al-Kholood,Sultan Al Shehri,sultan-al-shehri,S. A. Shehri,D,7,179.0,16,M,1549237,EUR,804729600.0,D,7,7,False,18.0,15.0,3.0,1.0,0.0,11.0,12.0,4.0,6.0,3.0,7.0,,,45.0,26.0,6.5,3.0,0.0076785,,0,,0.15,0.03,-0.2,,,4.0,2.0,,2.0,2.0,1.0,1.0,1.0,,,1.0,Sultan Al Shehri,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
14429562,home,Al-Kholood,John Buckley,john-buckley,J. Buckley,M,6,173.0,168,M,970441,EUR,939772800.0,M,6,6,False,32.0,28.0,4.0,4.0,2.0,14.0,15.0,14.0,17.0,9.0,4.0,,,90.0,52.0,8.8,10.0,0.70557,,0,,0.8,0.29,0.17,,,6.0,2.0,,3.0,,,,7.0,3.0,2.0,1.0,,,,,,,,,,3.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,
14429562,home,Al-Kholood,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184.0,92,M,823476,EUR,822268800.0,M,96,96,False,44.0,40.0,1.0,,0.0,18.0,19.0,22.0,25.0,1.0,3.0,,,90.0,49.0,6.6,6.0,0.0210354,,0,,0.32,0.07,-0.08,,1.0,3.0,1.0,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
14429562,home,Al-Kholood,Muhammad Sawan,muhammad-sawan,M. Sawan,M,70,170.0,23,M,1549247,EUR,965779200.0,M,70,70,False,22.0,18.0,1.0,,1.0,8.0,8.0,10.0,14.0,13.0,4.0,,,90.0,51.0,8.0,11.0,0.0178884,,2,,-0.05,-0.03,-0.13,,,10.0,4.0,2.0,5.0,2.0,,1.0,5.0,2.0,6.0,,Muhammad Sawan,,,,1.0,1.0614,0.4,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0,1.0,1.204,,,,,,,,
14429562,home,Al-Kholood,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800.0,F,11,11,False,18.0,13.0,1.0,,0.0,7.0,8.0,6.0,10.0,5.0,8.0,,,88.0,36.0,7.9,12.0,0.101274,,2,,0.34,0.23,-0.12,,,8.0,3.0,2.0,4.0,2.0,,3.0,2.0,1.0,1.0,1.0,,,,,,0.8848,0.49,,,2.0,,1.0,,2.0,1.0,2.0,1.0,0.8272,,,,,,,,
14429562,home,Al-Kholood,Ramiro Enrique,ramiro-enrique,R. Enrique,F,18,171.0,1218,M,1087010,EUR,988934400.0,F,18,18,False,19.0,18.0,,,0.0,10.0,11.0,8.0,8.0,3.0,,,,89.0,32.0,7.0,5.0,0.139705,,4,,0.06,0.19,-0.08,,1.0,5.0,1.0,,1.0,,,,,,3.0,3.0,Ramiro Enrique,,,1.0,2.0,1.3312,0.33,1.0,,,,1.0,3.0,1.0,1.0,3.0,1.0,1.3174,,,,,,,,
14429562,home,Al-Kholood,Myziane Maolida,maolida-myziane,M. Maolida,M,9,180.0,638,M,851262,EUR,918950400.0,F,9,9,False,23.0,19.0,,,0.0,8.0,8.0,11.0,15.0,7.0,3.0,,,79.0,47.0,8.8,15.0,0.058737,,1,,0.37,0.5,0.13,,,8.0,,2.0,9.0,5.0,,,,,2.0,2.0,,,,,1.0,0.1591,0.51,,,1.0,,,3.0,1.0,,1.0,1.0,0.901,1.0,,,,,,,
14429562,home,Al-Kholood,Shaquille Pinas,shaquille-pinas,S. Pinas,D,38,182.0,296,M,867530,EUR,890265600.0,D,38,38,True,15.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,9.0,2.0,1.0,,,45.0,23.0,6.8,4.0,0.00578646,,0,,0.07,0.12,-0.03,,,4.0,3.0,,,,,1.0,2.0,1.0,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,
14429562,home,Al-Kholood,Hassan Al-Asmari,hassan-al-asmari,H. Al-Asmari,D,12,,11,M,1085419,EUR,1033862400.0,D,12,12,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,11.0,3.0,6.8,,0.00017543,,0,,0.03,0.01,0.13,,,,,,,,,,1.0,1.0,,,Hassan Al-Asmari,,,,,,,,,,,,,,,,,,,,,,,,,
