match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goalAssist,stat_blockedScoringAttempt,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated
10385565,home,Chelsea,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,1,1,False,True,57.0,37.0,24.0,5.0,32.0,40.0,5.0,17.0,1.0,2.0,1.0,1.0,3.0,13.0,1.0,1.0,5.0,9.0,2.0,2.0,90.0,81.0,8.0,20.0,0.00120799,0,0.2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385565,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,,51.0,46.0,3.0,2.0,36.0,39.0,10.0,12.0,2.0,7.0,,,5.0,5.0,,,,,,,90.0,69.0,6.5,5.0,0.0254603,0,,5.0,9.0,2.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
10385565,home,Chelsea,Wesley Fofana,wesley-fofana,W. Fofana,D,29,186,14604,M,wesley_fofana3,923894,EUR,977011200,D,33,33,False,,20.0,17.0,3.0,,13.0,14.0,5.0,7.0,,4.0,,,2.0,,,,,,,,57.0,29.0,6.5,3.0,0.0785024,0,,,3.0,3.0,2.0,3.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10385565,home,Chelsea,Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10555,M,badiashile,904827,EUR,985564800,D,4,4,False,,62.0,50.0,5.0,1.0,41.0,47.0,9.0,15.0,2.0,5.0,,,4.0,11.0,,,,,,,90.0,73.0,6.9,12.0,0.00114875,0,,,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385565,home,Chelsea,Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,10903,M,Chilly,802695,EUR,851126400,D,21,21,False,,33.0,28.0,3.0,2.0,19.0,19.0,10.0,17.0,,4.0,1.0,,2.0,2.0,,,,,,,90.0,51.0,6.4,9.0,0.143589,1,,1.0,7.0,2.0,,3.0,3.0,2.0,,,3.0,1.0,1.0,1.0,1.0,0.0931,2.0,,,,,,,,,,,,
10385565,home,Chelsea,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191,3221,M,,770677,EUR,848448000,M,20,20,False,,12.0,9.0,,,9.0,11.0,,1.0,,,,,1.0,,,,,,,,74.0,19.0,6.1,4.0,5.839e-05,0,,,4.0,2.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,
10385565,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,5,5,False,,22.0,18.0,2.0,2.0,14.0,15.0,4.0,7.0,,4.0,2.0,1.0,,2.0,,,,,,,57.0,33.0,6.5,7.0,0.00582788,0,,,5.0,2.0,1.0,,,1.0,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,
10385565,home,Chelsea,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,M,10,10,False,,7.0,6.0,,,1.0,1.0,5.0,7.0,,3.0,2.0,2.0,,1.0,,,,,,,56.0,18.0,6.6,5.0,0.00347644,1,,1.0,3.0,,,,,,,,1.0,,1.0,2.0,1.0,0.1114,,,,1.0,,,,,,,,,
10385565,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,,33.0,32.0,1.0,1.0,18.0,18.0,14.0,17.0,2.0,6.0,4.0,2.0,1.0,7.0,,,,,,,90.0,60.0,7.4,9.0,0.0375678,1,,,7.0,1.0,3.0,1.0,1.0,1.0,,,2.0,,1.0,3.0,,0.0639,,3.0,1.0,,1.0,1.0,1.0,0.0883,,,,,
10385565,home,Chelsea,Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,54452,M,MMudryk10,958966,EUR,978652800,M,15,15,False,,17.0,11.0,2.0,1.0,2.0,3.0,9.0,17.0,1.0,4.0,3.0,1.0,,6.0,,,,,,,90.0,34.0,6.7,14.0,0.0499942,3,,,5.0,1.0,,,,1.0,,,3.0,,2.0,1.0,2.0,0.1414,1.0,,2.0,,1.0,,,0.0631,1.0,,,,
