match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_fouls,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_interceptionWon,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10433869,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,25.0,13.0,22.0,11.0,6.0,12.0,7.0,13.0,1.0,7.0,1.0,1.0,90.0,33.0,5.8,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,K. A. Çörekçi,D,22,173,57,M,124728,EUR,696902400,D,12,12,False,30.0,23.0,3.0,,14.0,19.0,9.0,14.0,2.0,6.0,,,90.0,54.0,7.1,11.0,0,,,True,3.0,1.0,2.0,9.0,1.0,2.0,2.0,1.0,6.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Ognjen Vranješ,ognjen-vranjes,O. Vranješ,D,,183,137,M,44310,EUR,625190400,D,5,5,False,34.0,28.0,6.0,3.0,18.0,19.0,10.0,15.0,2.0,4.0,,,90.0,39.0,6.1,7.0,0,,,,,1.0,3.0,3.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Burak Öksüz,burak-oksuz,B. Öksüz,D,53,185,10,M,816313,EUR,822528000,D,53,53,False,26.0,16.0,8.0,2.0,12.0,15.0,4.0,11.0,6.0,4.0,,,90.0,35.0,6.4,10.0,0,,,,,,2.0,1.0,,,,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Sam Adekugbe,sam-adekugbe,S. Adekugbe,D,3,175,284,M,362042,EUR,790214400,D,23,23,False,34.0,26.0,3.0,1.0,16.0,19.0,12.0,18.0,4.0,5.0,,,90.0,58.0,6.2,12.0,0,,,,3.0,,2.0,2.0,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,False,42.0,37.0,4.0,3.0,18.0,20.0,19.0,23.0,,3.0,,,90.0,52.0,6.8,7.0,0,,,,1.0,,5.0,5.0,1.0,,,,5.0,4.0,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,
10433869,home,Hatayspor,Rayane Aabid,rayane-aabid,R. Aabid,M,14,178,224,M,297510,EUR,695779200,M,10,10,False,50.0,48.0,3.0,2.0,22.0,23.0,26.0,29.0,,8.0,,,90.0,63.0,6.8,7.0,0,,,,2.0,,2.0,5.0,,2.0,1.0,,4.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
10433869,home,Hatayspor,Ayoub El Kaabi,ayoub-el-kaabi,A. E. Kaabi,F,9,182,27969,M,919793,EUR,740966400,M,25,25,False,23.0,16.0,,,8.0,9.0,8.0,14.0,2.0,5.0,,,90.0,39.0,7.2,10.0,2,,,,,3.0,6.0,11.0,,1.0,1.0,,3.0,,2.0,1.0,6.0,2.0,,1.0,1.0,2.0,ayoub_elkaabii,1.0,1.0,1.0,1.0,1.0,,,,,,,,
10433869,home,Hatayspor,Rúben Ribeiro,ruben-ribeiro,R. Ribeiro,F,,175,55,M,44653,EUR,554774400,M,7,7,False,24.0,21.0,5.0,2.0,8.0,8.0,13.0,16.0,,2.0,,,64.0,34.0,6.2,8.0,0,,,,,,4.0,2.0,1.0,,,,,,2.0,2.0,,,,3.0,,,,,,,,,,,,,,,,
10433869,home,Hatayspor,Kaan Kanak,kaan-kanak,K. Kanak,D,,173,15,M,78839,EUR,655171200,M,26,26,False,17.0,13.0,1.0,,5.0,6.0,10.0,16.0,,3.0,,,64.0,33.0,6.9,9.0,0,,,,5.0,,1.0,3.0,,,,,2.0,1.0,1.0,,1.0,,2.0,1.0,,3.0,,,,,,,,,,,,,,
