match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_wasFouled,stat_keyPass,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,captain,stat_dispossessed,stat_errorLeadToAShot,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed
11369344,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,40.0,30.0,24.0,14.0,22.0,23.0,8.0,17.0,6.0,3.0,3.0,90.0,45.0,7.6,10.0,0.0,0.0,0.00136076,0,1.1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369344,home,Real Sociedad,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,18,18,False,35.0,24.0,7.0,2.0,14.0,16.0,10.0,22.0,8.0,,,90.0,61.0,6.9,22.0,0.0,0.0,0.00383818,0,,,,hamarintos27,3.0,2.0,1.0,6.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
11369344,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,47.0,32.0,8.0,,28.0,34.0,4.0,13.0,4.0,,,90.0,56.0,7.0,15.0,0.0,0.0,0.00111907,0,,,,,,1.0,3.0,3.0,4.0,,,2.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,
11369344,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,40.0,34.0,4.0,1.0,27.0,29.0,7.0,11.0,3.0,,,62.0,43.0,7.3,6.0,0.1954,0.5423,0.0025632,1,,,,lenormand_r,,1.0,2.0,1.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
11369344,home,Real Sociedad,Kieran Tierney,kieran-tierney,K. Tierney,D,63,178,4739,M,366592,EUR,865468800,D,17,17,False,15.0,12.0,4.0,2.0,9.0,12.0,3.0,3.0,5.0,,,25.0,24.0,6.7,7.0,0.0,0.0,0.0050477,0,,,,kierantierney1,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11369344,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,23.0,18.0,,,5.0,5.0,13.0,23.0,8.0,,,90.0,46.0,7.7,16.0,0.2071,0.441,0.106405,2,,,,KuboTake,5.0,2.0,,5.0,5.0,1.0,1.0,,1.0,3.0,1.0,5.0,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,
11369344,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,38.0,31.0,3.0,1.0,13.0,14.0,18.0,24.0,5.0,,,90.0,49.0,7.4,8.0,0.0,0.0,0.199182,0,,,,martin_zubimendi,,1.0,1.0,4.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,
11369344,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,42.0,27.0,,,7.0,12.0,20.0,31.0,6.0,,,81.0,60.0,6.7,22.0,0.0,0.0,0.0185944,0,,,,mikelmerino,1.0,2.0,11.0,9.0,16.0,1.0,2.0,3.0,,,,3.0,3.0,,,,,3.0,,,2.0,,True,3.0,1.0,,,,
11369344,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,25.0,17.0,,,7.0,10.0,10.0,17.0,5.0,,,62.0,39.0,6.6,14.0,0.0,0.0,0.00960233,0,,,,,2.0,1.0,1.0,4.0,4.0,1.0,3.0,,,1.0,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,
11369344,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,F,23,23,False,35.0,32.0,2.0,1.0,5.0,6.0,28.0,32.0,7.0,,,90.0,51.0,7.0,9.0,0.0612,0.0705,0.105664,2,,,,,3.0,2.0,1.0,9.0,4.0,1.0,3.0,,,1.0,1.0,,3.0,,1.0,,1.0,,1.0,,2.0,,,2.0,,1.0,,,
