match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_challengeLost,player_sofascoreId,stat_blockedScoringAttempt,stat_interceptionWon,stat_keyPass,stat_goalAssist,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,player_firstName,player_lastName,captain,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_penaltyWon
11201842,home,VfB Stuttgart,Fabian Bredlow,fabian-bredlow,F. Bredlow,G,1,191,219,M,152463,EUR,794102400,G,33,33,False,36.0,26.0,14.0,4.0,24.0,25.0,2.0,11.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,45.0,5.5,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11201842,home,VfB Stuttgart,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2689,M,829022,EUR,881798400,D,5,5,False,16.0,12.0,7.0,5.0,9.0,10.0,3.0,6.0,,,,,,,,,,32.0,24.0,6.8,5.0,0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11201842,home,VfB Stuttgart,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2192,M,799046,EUR,837820800,D,2,2,False,39.0,35.0,6.0,3.0,27.0,27.0,8.0,12.0,2.0,5.0,,,,,,,,63.0,46.0,6.6,5.0,0,5.0,3.0,3.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11201842,home,VfB Stuttgart,Hiroki Itō,hiroki-ito,H. Itō,D,21,188,6724,M,873106,EUR,926467200,D,21,21,False,86.0,72.0,11.0,3.0,50.0,57.0,22.0,29.0,4.0,5.0,,1.0,,,,,,90.0,93.0,6.3,15.0,1,4.0,,2.0,,1.0,,2.0,2.0,1.0,hiroki_ito38,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11201842,home,VfB Stuttgart,Josha Vagnoman,josha-vagnoman,J. Vagnoman,D,4,186,545,M,906278,EUR,976492800,M,4,4,False,36.0,32.0,2.0,1.0,14.0,16.0,18.0,22.0,7.0,5.0,,1.0,,,,,,90.0,65.0,7.0,11.0,2,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,
11201842,home,VfB Stuttgart,Atakan Karazor,atakan-karazor,A. Karazor,M,16,190,1077,M,801030,EUR,845164800,M,16,16,False,49.0,41.0,4.0,2.0,14.0,14.0,27.0,35.0,4.0,5.0,,2.0,,,,,,90.0,58.0,6.4,10.0,0,5.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
11201842,home,VfB Stuttgart,Wataru Endo,wataru-endo,W. Endo,M,3,178,19826,M,143040,EUR,729216000,M,3,3,False,44.0,41.0,2.0,2.0,27.0,28.0,14.0,17.0,4.0,6.0,,2.0,,,,,,78.0,66.0,6.8,7.0,1,6.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,endowataru,,3.0,,,1.0,,1.0,,,1.0,,,,,True,1.0,,,,,
11201842,home,VfB Stuttgart,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3739,M,357584,EUR,885340800,M,24,24,False,58.0,49.0,5.0,4.0,28.0,31.0,23.0,33.0,3.0,5.0,,2.0,,,,,,85.0,79.0,6.9,15.0,0,6.0,,3.0,2.0,1.0,1.0,,1.0,,BornaSosa,,2.0,1.0,,6.0,1.0,1.0,1.0,,,,,,,,,2.0,1.0,,,
11201842,home,VfB Stuttgart,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1358,M,983540,EUR,1024185600,F,10,10,False,14.0,9.0,2.0,1.0,4.0,4.0,6.0,11.0,5.0,3.0,,3.0,,,,,,63.0,33.0,7.1,11.0,3,6.0,,2.0,2.0,4.0,3.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,,
11201842,home,VfB Stuttgart,Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,187,50480,M,328027,EUR,826588800,F,9,9,False,24.0,21.0,2.0,2.0,8.0,10.0,13.0,14.0,2.0,1.0,,1.0,,,,,,90.0,39.0,7.2,7.0,2,4.0,,,,3.0,2.0,1.0,,,guirassy19off,1.0,1.0,3.0,1.0,,1.0,2.0,2.0,,1.0,,,,,,,,,,,
