match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_totalOffside,stat_errorLeadToAShot
12499394,home,VfL Wolfsburg,Marius Müller,marius-muller,M. Müller,G,29,192,130,M,136933,EUR,742435200,G,29,29,False,27.0,21.0,13.0,7.0,0.0,19.0,21.0,2.0,6.0,1.0,1.0,11.0,1.0,4.0,4.0,90.0,40.0,7.6,6.0,0.00072499,0,-0.1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499394,home,VfL Wolfsburg,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,426,M,826057,EUR,930182400,D,5,5,False,35.0,31.0,2.0,1.0,0.0,24.0,24.0,7.0,11.0,,6.0,3.0,,,,58.0,54.0,6.6,9.0,0.00748462,0,,Mads,Roerslev,1.0,7.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
12499394,home,VfL Wolfsburg,Denis Vavro,denis-vavro,D. Vavro,D,3,187,674,M,293127,EUR,829094400,D,18,18,False,66.0,56.0,12.0,8.0,0.0,41.0,44.0,15.0,22.0,4.0,4.0,5.0,,,,90.0,75.0,6.9,10.0,0.0124759,0,,,,3.0,4.0,1.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,
12499394,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,56.0,46.0,10.0,4.0,0.0,30.0,31.0,16.0,25.0,2.0,5.0,5.0,,,,90.0,70.0,7.2,13.0,0.0137305,2,,,,3.0,5.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.1673,0.2927,1.0,,,,,,,,,
12499394,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,56.0,47.0,4.0,2.0,0.0,25.0,28.0,23.0,29.0,1.0,4.0,7.0,,,,90.0,76.0,6.9,13.0,0.0991354,1,,,,2.0,5.0,2.0,,1.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,3.0,,0.097,,,1.0,1.0,,,,,,,
12499394,home,VfL Wolfsburg,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,9.0,8.0,1.0,1.0,0.0,4.0,4.0,4.0,5.0,,1.0,2.0,,,,58.0,22.0,6.3,8.0,0.00922587,2,,,,,5.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,1.0,3.0,,0.0828,0.1676,,,,1.0,,,,,,
12499394,home,VfL Wolfsburg,Aster Vranckx,vranckx-aster,A. Vranckx,M,40,183,1109,M,989371,EUR,1033689600,M,6,6,False,29.0,25.0,5.0,4.0,0.0,14.0,16.0,11.0,13.0,,,2.0,,,,63.0,34.0,6.6,6.0,0.037332,0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12499394,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,50.0,37.0,3.0,1.0,0.0,19.0,21.0,21.0,34.0,1.0,9.0,5.0,,,,90.0,73.0,8.4,16.0,0.285538,2,,,,3.0,5.0,1.0,1.0,,,2.0,2.0,4.0,2.0,4.0,1.0,,1.0,1.0,,,0.5766,0.7544,2.0,5.0,3.0,,True,1.0,1.0,,,
12499394,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,25.0,17.0,2.0,2.0,0.0,6.0,6.0,11.0,20.0,1.0,9.0,3.0,,,,64.0,44.0,7.5,13.0,0.0527192,1,,,,,4.0,1.0,,7.0,6.0,1.0,3.0,2.0,2.0,,,,,,2.0,2.0,0.0301,,1.0,1.0,,1.0,,,,,,
12499394,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,20.0,13.0,2.0,2.0,0.0,8.0,9.0,5.0,11.0,1.0,5.0,1.0,,,,90.0,32.0,6.7,13.0,0.00270754,1,,,,4.0,6.0,,1.0,,,,,1.0,1.0,3.0,,,,,5.0,1.0,0.0267,,,,,1.0,,,,,,
