match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_unsuccessfulTouch,stat_wonContest,captain,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_challengeLost,stat_goalAssist,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_clearanceOffLine,player_sofascoreId
11399500,home,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,27.0,17.0,19.0,9.0,12.0,13.0,5.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,90.0,32.0,6.1,11.0,0.0,0.0,0.00125968,0,-1.4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399500,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,42.0,35.0,4.0,3.0,15.0,15.0,22.0,30.0,1.0,6.0,7.0,,,,90.0,64.0,7.5,9.0,0.0337,0.0,0.112781,1,,,,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11399500,home,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,37.0,35.0,3.0,1.0,13.0,13.0,22.0,24.0,1.0,3.0,2.0,,,,90.0,45.0,6.8,3.0,0.0,0.0,0.0145301,0,,Jamal Amofa,,,,1.0,3.0,,,,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11399500,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190,140,M,793742,EUR,838944000,D,4,4,False,44.0,40.0,8.0,5.0,25.0,25.0,15.0,19.0,5.0,9.0,7.0,,,,90.0,60.0,7.1,4.0,0.0947,0.0,0.00580668,1,,,,,,5.0,5.0,1.0,1.0,7.0,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
11399500,home,Go Ahead Eagles,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,42.0,34.0,6.0,3.0,14.0,16.0,22.0,32.0,,2.0,6.0,,,,90.0,75.0,7.9,17.0,0.1466,0.2831,0.405191,2,,,,6.0,2.0,1.0,3.0,2.0,,4.0,1.0,1.0,,,1.0,,3.0,1.0,1.0,True,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11399500,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187,123,M,932555,EUR,952041600,M,8,8,False,50.0,43.0,7.0,4.0,19.0,21.0,24.0,32.0,,6.0,9.0,,,,90.0,65.0,7.1,10.0,0.0,0.0,0.0300286,0,,,,3.0,,,1.0,,,3.0,1.0,1.0,3.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,
11399500,home,Go Ahead Eagles,Philippe Rommens,philippe-rommens,P. Rommens,M,88,175,233,M,606190,EUR,872035200,M,10,10,False,21.0,20.0,3.0,3.0,8.0,8.0,14.0,16.0,1.0,2.0,5.0,,,,45.0,28.0,8.2,2.0,0.7884,0.8704,0.114187,1,,,,3.0,2.0,,,,,,,1.0,1.0,,,,3.0,,,,,,1.0,,1.0,,1.0,,,,,,,,
11399500,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173,868,M,1029724,EUR,1069027200,M,29,29,False,24.0,19.0,2.0,1.0,6.0,7.0,15.0,21.0,,1.0,4.0,,,,60.0,35.0,6.9,9.0,0.2625,0.0348,0.116479,2,,,,4.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,
11399500,home,Go Ahead Eagles,Willum Thor Willumsson,willum-thor-willumsson,W. T. Willumsson,M,19,193,297,M,978823,EUR,909100800,M,18,18,False,33.0,27.0,2.0,1.0,4.0,5.0,23.0,32.0,3.0,10.0,5.0,,,,90.0,57.0,7.3,19.0,0.0173,0.0,0.732612,1,,,,4.0,,1.0,6.0,9.0,1.0,,,,1.0,,1.0,,3.0,4.0,6.0,,2.0,,,,,,,,,,,,,,
11399500,home,Go Ahead Eagles,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175,591,M,878599,EUR,921801600,M,23,23,False,14.0,9.0,2.0,1.0,3.0,3.0,6.0,12.0,2.0,5.0,6.0,,,,60.0,25.0,7.7,7.0,0.7708,0.2734,0.108896,4,,,,1.0,,,2.0,1.0,2.0,,,1.0,,,2.0,,,,1.0,,,,1.0,1.0,,2.0,,1.0,1.0,,,,,,
