match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_keyPass,stat_wonContest,stat_unsuccessfulTouch,captain,player_sofascoreId,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_goals,stat_goalAssist
10407144,home,Cercle Brugge,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191,1544,M,849114,EUR,942710400,G,1,1,False,22.0,14.0,16.0,9.0,7.0,9.0,7.0,13.0,1.0,4.0,1.0,2.0,1.0,1.0,90.0,28.0,6.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407144,home,Cercle Brugge,Robbe Decostere,robbe-decostere,R. Decostere,D,,180,23,M,943248,EUR,894585600,D,8,8,False,29.0,14.0,4.0,1.0,3.0,4.0,11.0,26.0,,3.0,,,,,90.0,48.0,6.1,24.0,0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10407144,home,Cercle Brugge,Boris Popović,boris-popovic,B. Popović,D,5,189,112,M,902050,EUR,951523200,D,5,5,False,37.0,25.0,14.0,5.0,16.0,16.0,9.0,21.0,1.0,3.0,,,,,90.0,43.0,6.5,13.0,2,,,,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10407144,home,Cercle Brugge,Jean Marcelin,jean-marcelin,J. Marcelin,D,24,197,239,M,916035,EUR,950313600,D,24,24,False,18.0,14.0,6.0,3.0,9.0,9.0,5.0,9.0,,6.0,,,,,45.0,21.0,6.3,4.0,0,,,,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
10407144,home,Cercle Brugge,Louis Torres,torres-louis,L. Torres,M,,182,10,M,976277,EUR,988502400,D,29,29,False,4.0,2.0,2.0,,1.0,2.0,1.0,2.0,,1.0,,,,,27.0,12.0,6.8,3.0,0,,,,,,2.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10407144,home,Cercle Brugge,Dino Hotić,dino-hotic,D. Hotić,M,23,168,328,M,362270,EUR,806716800,M,10,10,False,29.0,15.0,6.0,1.0,5.0,7.0,14.0,30.0,,10.0,,,,,90.0,52.0,7.5,20.0,1,,,8.0,1.0,6.0,7.0,2.0,,2.0,,1.0,2.0,4.0,,2.0,2.0,4.0,1.0,1.0,6.0,,,,,,,,,,,
10407144,home,Cercle Brugge,Leonardo Lopes,leonardo-lopes,L. Lopes,M,22,168,205,M,783478,EUR,912384000,M,22,22,False,39.0,30.0,2.0,1.0,9.0,12.0,21.0,30.0,,7.0,,,,,90.0,51.0,6.5,15.0,0,,,3.0,1.0,2.0,4.0,,,1.0,,,,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,
10407144,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180,73,M,94290,EUR,733622400,M,28,28,False,19.0,12.0,1.0,,2.0,5.0,10.0,14.0,,2.0,,,,,45.0,23.0,6.4,9.0,0,,,,,5.0,,1.0,3.0,1.0,,,1.0,,,,,,,,,,2.0,True,,,,,,,,
10407144,home,Cercle Brugge,Olivier Deman,deman-olivier,O. Deman,D,2,181,444,M,960114,EUR,954979200,M,23,23,False,14.0,7.0,1.0,1.0,2.0,4.0,5.0,11.0,,4.0,,,,,57.0,32.0,6.9,12.0,1,,,1.0,,5.0,4.0,1.0,,2.0,,1.0,,2.0,,2.0,1.0,,,2.0,2.0,,2.0,,,,,,,,,
10407144,home,Cercle Brugge,Ayase Ueda,ueda-ayase,A. Ueda,F,9,182,7400,M,985823,EUR,904262400,F,36,36,False,18.0,13.0,1.0,1.0,3.0,3.0,10.0,17.0,,3.0,,,,,86.0,35.0,6.9,12.0,2,,,2.0,3.0,5.0,6.0,,1.0,4.0,2.0,,,2.0,,,,,,1.0,,1.0,3.0,,bee18,1.0,,,,,,
