match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_wonTackle,stat_totalCross,stat_challengeLost,player_firstName,player_lastName,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_dispossessed,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_punches,stat_bigChanceCreated,stat_lastManTackle,stat_goals,stat_bigChanceMissed
12501576,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,55.0,51.0,11.0,8.0,0.0,47.0,49.0,4.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,61.0,7.0,4.0,0.00081839,0,-0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501576,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,,51.0,48.0,2.0,2.0,0.0,29.0,30.0,19.0,21.0,2.0,4.0,,,,,,,83.0,65.0,6.9,6.0,0.0154864,0,,3.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12501576,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,,49.0,45.0,2.0,1.0,0.0,35.0,37.0,10.0,12.0,3.0,6.0,,,,,,,90.0,60.0,7.2,4.0,0.00914795,0,,,,1.0,6.0,2.0,,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
12501576,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194,8727,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,,62.0,54.0,6.0,4.0,0.0,38.0,42.0,16.0,21.0,6.0,5.0,,,,,,,90.0,72.0,6.8,12.0,0.0113001,0,,,5.0,1.0,3.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12501576,home,Milan,Álex Jiménez,alex-jimenez,A. Jiménez,D,20,177,3553,M,,1184308,EUR,1115510400,M,20,20,False,,20.0,19.0,,,0.0,9.0,9.0,11.0,13.0,1.0,4.0,,,,,,,75.0,33.0,6.7,5.0,0.231125,0,,,,4.0,,,2.0,,1.0,,,2.0,2.0,Alejandro Jiménez,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
12501576,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6182,M,YFofana19_,945062,EUR,915926400,M,29,29,False,,63.0,53.0,8.0,3.0,0.0,25.0,27.0,28.0,36.0,5.0,10.0,,,,,,,90.0,78.0,7.1,13.0,0.33308,2,,1.0,,5.0,1.0,1.0,,4.0,2.0,2.0,2.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.0332,,,,,,,,,
12501576,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,,45.0,38.0,,,0.0,20.0,20.0,19.0,26.0,1.0,4.0,,,,,,,90.0,61.0,6.7,13.0,0.062812,5,,1.0,,4.0,1.0,,1.0,,2.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,2.0,3.0,,0.2158,1.0,,,,,,,,
12501576,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,M,19,19,False,,46.0,43.0,3.0,1.0,0.0,18.0,19.0,26.0,34.0,5.0,2.0,2.0,,,,,,90.0,65.0,7.2,10.0,0.0337762,0,,1.0,3.0,1.0,1.0,,1.0,,1.0,,,7.0,,,,1.0,,,2.0,,,,,,1.0,,,,,,,
12501576,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,F,11,11,False,,23.0,15.0,3.0,,0.0,8.0,9.0,7.0,18.0,4.0,1.0,,,,,,,75.0,39.0,6.5,16.0,0.00940681,0,,3.0,,7.0,1.0,,,2.0,2.0,1.0,,4.0,1.0,,,,3.0,2.0,,,,,,1.0,,,,,,,,
12501576,home,Milan,Luka Jović,luka-jovic,L. Jović,F,9,181,15141,M,lukajovic,319129,EUR,882835200,F,9,9,False,,21.0,18.0,1.0,1.0,0.0,9.0,10.0,9.0,11.0,1.0,2.0,,,,,,,75.0,25.0,6.8,5.0,0.0203969,1,,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,0.1967,,,,,,,,,
