match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_lastName,stat_outfielderBlock,stat_errorLeadToAGoal,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_aerialLost,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_challengeLost,stat_wonContest,captain,stat_goals,player_sofascoreId,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
14035910,away,KRC Genk,Hyun-gyu Oh,hyun-gyu-oh,H. Oh,F,9,185.0,4405,M,1010634,EUR,987033600,F,9,9,False,15.0,15.0,1.0,1.0,1.0,6.0,6.0,9.0,9.0,,,,,,,,89.0,28.0,7.7,5.0,0.21686,,5,,0.09,0.24,0.0,,,1.0,,6.0,2.0,2.0,2.0,,2.0,,3.0,,1.0,0.625,0.43,,,,1.0,1.0,2.0,2.0,3.0,,,1.0,,0.4178,,,,1.0,,,,,,
14035910,away,KRC Genk,Yaimar Medina,yaimar-medina,Y. Medina,D,19,178.0,1171,M,1106546,EUR,1099612800,D,19,19,True,22.0,19.0,1.0,,1.0,3.0,3.0,16.0,19.0,1.0,1.0,,,,,,45.0,33.0,6.5,9.0,0.304911,,3,,-0.12,0.3,-0.13,,Yaimar Medina,3.0,,1.0,1.0,,1.0,,,,3.0,1.0,1.0,0.3828,-0.58,,,,,1.0,,1.0,,,1.0,2.0,,0.3629,,,,,,,,,,
14035910,away,KRC Genk,Konstantinos Karetsas,konstantinos-karetsas,K. Karetsas,M,20,171.0,6599,M,1468744,EUR,1195430400,M,20,20,True,13.0,10.0,,,0.0,,,10.0,13.0,,2.0,,,,,,20.0,22.0,6.6,10.0,0.016166,,1,,-0.24,0.26,0.13,,,4.0,,,1.0,,,,1.0,,1.0,,,0.0411,-0.22,,,,,,1.0,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Noah Adedeji-Sternberg,noah-adedeji-sternberg,N. Adedeji-Sternberg,M,32,182.0,619,M,1512197,EUR,1119139200,F,32,32,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,,,,9.0,5.0,6.5,2.0,0.0010996,,0,,-0.06,0.02,0.13,,Noah Adedeji-Sternberg,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Daan Heymans,heymans-daan,D. Heymans,M,38,186.0,544,M,845344,EUR,929404800,M,38,38,True,7.0,5.0,,,0.0,4.0,5.0,1.0,2.0,1.0,2.0,,,,,,8.0,8.0,6.6,2.0,0.00430964,,0,,-0.25,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14035910,away,KRC Genk,Robin Mirisola,robin-mirisola,R. Mirisola,F,29,182.0,303,M,1405446,EUR,1165536000,F,29,29,True,,,,,0.0,,,,,,,,,,,,8.0,,6.4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Lucca Brughmans,lucca-kiaba-mounganga,L. Brughmans,G,28,197.0,393,M,1529975,EUR,1214524800,G,28,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Lucca Kiaba Mounganga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Adrian Palacios,palacios-adrian,A. Palacios,D,34,186.0,281,M,1393681,EUR,1086566400,D,34,34,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Nikolas Sattlberger,sattlberger-nikolas,N. Sattlberger,M,24,191.0,235,M,1086072,EUR,1074384000,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,away,KRC Genk,Jusef Erabi,jusef-erabi,J. Erabi,F,99,183.0,639,M,1106649,EUR,1055030400,F,99,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
