match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,captain,stat_aerialLost,stat_totalClearance,stat_wonTackle,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_punches,stat_clearanceOffLine
11396244,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,41.0,35.0,9.0,3.0,32.0,35.0,3.0,6.0,1.0,1.0,8.0,1.0,2.0,90.0,49.0,7.1,6.0,0.00181162,0,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396244,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,41.0,34.0,5.0,2.0,12.0,14.0,22.0,30.0,,2.0,3.0,,,82.0,55.0,6.9,14.0,0.99353,0,,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396244,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,72.0,65.0,6.0,3.0,30.0,32.0,35.0,40.0,4.0,6.0,1.0,,,90.0,82.0,7.3,8.0,0.0220757,0,,,,,4.0,,1.0,,1.0,,,True,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,
11396244,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,102.0,94.0,4.0,3.0,45.0,50.0,49.0,52.0,2.0,6.0,7.0,,,90.0,114.0,7.5,9.0,0.134497,1,,,,,5.0,1.0,,,3.0,1.0,1.0,,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0481,,,,,,,,,,,
11396244,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,60.0,48.0,7.0,4.0,13.0,19.0,45.0,69.0,1.0,8.0,7.0,,,90.0,116.0,9.5,32.0,1.52745,0,,,,28.0,5.0,,7.0,1.0,,,6.0,,2.0,,6.0,,,,,1.0,1.0,,10.0,2.0,3.0,,,,,,,,
11396244,home,RB Leipzig,Dani Olmo,dani-olmo,D. Olmo,M,20,179,190811,M,789071,EUR,894499200,M,7,7,False,40.0,33.0,1.0,1.0,2.0,2.0,32.0,41.0,,1.0,1.0,,,90.0,58.0,6.9,16.0,0.370647,6,,,,3.0,7.0,5.0,,,1.0,,1.0,,1.0,,,,,,,,,0.9983,1.0,1.0,1.0,DaniOlmo,2.0,3.0,3.0,0.5907,,,
11396244,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,65.0,61.0,4.0,2.0,15.0,15.0,46.0,51.0,,,6.0,,,82.0,70.0,6.7,7.0,0.058456,1,,,,1.0,5.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,2.0,0.025,,2.0,,,,,,,,,
11396244,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,92.0,82.0,5.0,2.0,27.0,28.0,55.0,65.0,5.0,11.0,12.0,,,90.0,114.0,8.0,15.0,0.111995,3,,,,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,3.0,,0.1916,,1.0,,,,,1.0,0.0363,,,
11396244,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,63.0,53.0,4.0,2.0,3.0,4.0,51.0,61.0,,11.0,8.0,,,90.0,93.0,8.3,20.0,0.27305,2,,,,2.0,8.0,10.0,2.0,4.0,3.0,,6.0,,1.0,,2.0,,6.0,1.0,,,3.0,0.0369,1.0,,,XaviSimons,,,1.0,0.4259,,,
11396244,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15660,M,835480,EUR,950659200,F,17,17,False,14.0,9.0,,,2.0,2.0,7.0,12.0,1.0,2.0,1.0,,,68.0,28.0,6.9,8.0,0.0199855,5,,,,,1.0,,,2.0,1.0,1.0,,,,,,1.0,,1.0,,,,0.879,,,,l_openda,1.0,,4.0,0.7318,,,
11396244,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,F,14,14,False,16.0,10.0,2.0,1.0,2.0,2.0,8.0,14.0,2.0,3.0,1.0,,,68.0,31.0,6.2,16.0,0.0301333,0,,,,,6.0,1.0,,4.0,1.0,,1.0,,,,,4.0,,,,,1.0,,,,,,1.0,,,,,,
11396244,home,RB Leipzig,Yussuf Poulsen,yussuf-poulsen,Y. Poulsen,F,15,193,1781,M,135264,EUR,771638400,F,9,9,True,4.0,3.0,,,,,3.0,4.0,,1.0,,,,18.0,5.0,6.1,1.0,0.0009031,0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
11396244,home,RB Leipzig,Benjamin Šeško,benjamin-sesko,B. Šeško,F,30,195,79780,M,986397,EUR,1054339200,F,30,30,True,4.0,1.0,,,1.0,2.0,,2.0,2.0,2.0,,,,22.0,6.0,6.4,3.0,1.771e-05,2,,,,,3.0,,,,,1.0,,,3.0,,,,,,,,,0.588,,,,benjamin_sesko,1.0,1.0,1.0,0.7904,,,
11396244,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,True,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,,,8.0,9.0,6.6,2.0,0.00276842,0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11396244,home,RB Leipzig,Nicolas Seiwald,seiwald-nicolas,N. Seiwald,M,13,179,1528,M,976575,EUR,988934400,M,13,13,True,5.0,4.0,,,,1.0,4.0,4.0,,1.0,,,,8.0,7.0,6.6,2.0,0.00291804,0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
