match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_fouls,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_outfielderBlock,stat_dispossessed,stat_keyPass,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,captain,stat_bigChanceCreated,stat_accurateCross,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_ownGoals,stat_shotOffTarget,stat_bigChanceMissed
12436508,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11850,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,46.0,37.0,14.0,7.0,0.0,36.0,40.0,1.0,6.0,1.0,1.0,5.0,1.0,3.0,3.0,90.0,52.0,6.9,9.0,0.00020789,0,0.2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436508,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17497,M,Rico_Lewis,1136731,EUR,1100995200,D,82,82,False,59.0,55.0,4.0,3.0,0.0,27.0,28.0,28.0,31.0,,3.0,3.0,,,,90.0,73.0,6.9,7.0,0.0280455,1,,Rico Lewis,,3.0,4.0,1.0,1.0,2.0,0.0628,0.2529,,,,,,,,,,,,,,,,,,,,,,
12436508,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,72.0,69.0,2.0,1.0,0.0,51.0,52.0,18.0,20.0,2.0,1.0,5.0,1.0,,,90.0,76.0,6.6,3.0,0.00504802,0,,,,3.0,4.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12436508,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,45.0,45.0,3.0,3.0,0.0,28.0,28.0,17.0,17.0,3.0,2.0,2.0,,,,61.0,49.0,6.9,1.0,0.00454878,0,,,,1.0,2.0,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12436508,home,Manchester City,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50085,M,JGvardiol,964994,EUR,1011744000,D,24,24,False,47.0,43.0,1.0,,0.0,20.0,21.0,23.0,27.0,5.0,4.0,1.0,,,,90.0,62.0,7.2,7.0,0.0172856,0,,,,1.0,1.0,,,2.0,,,1.0,1.0,,4.0,,,1.0,2.0,,,,,,,,,,,,,,
12436508,home,Manchester City,Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,33708,M,Kova8,136710,EUR,768182400,M,8,8,False,41.0,36.0,1.0,,0.0,18.0,19.0,18.0,22.0,8.0,1.0,4.0,1.0,,,61.0,54.0,7.1,8.0,0.0116418,0,,,,,3.0,,,2.0,,,1.0,1.0,2.0,,6.0,3.0,,,1.0,1.0,,,,,,,,,,,,
12436508,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,47.0,42.0,2.0,2.0,0.0,22.0,23.0,20.0,26.0,4.0,1.0,5.0,2.0,,,90.0,65.0,7.9,10.0,0.032251,2,,,,2.0,3.0,1.0,1.0,3.0,0.6082,0.2553,,,,,2.0,2.0,2.0,,,2.0,1.0,1.0,3.0,,,,,,,,,
12436508,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,45.0,37.0,4.0,2.0,1.0,12.0,12.0,25.0,37.0,1.0,1.0,5.0,1.0,,,90.0,61.0,7.3,15.0,0.213494,1,,,,1.0,5.0,2.0,1.0,1.0,0.0297,0.0564,,,1.0,,,,4.0,,2.0,2.0,,,,True,1.0,,,,,,,
12436508,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,50.0,44.0,4.0,1.0,0.0,17.0,19.0,27.0,31.0,6.0,,2.0,3.0,,,90.0,65.0,7.0,11.0,0.0527727,1,,,,1.0,6.0,,1.0,1.0,0.1698,0.0789,2.0,1.0,1.0,,2.0,2.0,,,3.0,,,,1.0,,,,,,,,,
12436508,home,Manchester City,Savinho,savio,Savinho,M,26,176,52457,M,Savinho,1046795,EUR,1081555200,M,26,26,False,21.0,16.0,,,2.0,4.0,5.0,13.0,21.0,3.0,1.0,3.0,1.0,,,80.0,41.0,8.8,16.0,0.683585,2,,,,,2.0,,1.0,4.0,0.0572,0.0733,2.0,2.0,,,,,5.0,1.0,2.0,3.0,1.0,,1.0,,2.0,1.0,,,,,,
