match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_shotValueNormalized,stat_totalClearance,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_fouls,captain,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_goals
14032399,home,KVC Westerlo,Andreas Jungdal,,,andreas-jungdal,A. Jungdal,G,99,195.0,289,M,963038,EUR,1014336000,G,99,99,False,26.0,21.0,11.0,6.0,0.0,18.0,21.0,3.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,90.0,34.0,4.7,6.0,0.00350856,44.502357544095,7.0,28.644016992248,0.0,0.6031,0,-1.2205,-0.05,0.01,-0.76,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14032399,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185.0,426,M,862075,EUR,993686400,D,22,22,False,30.0,24.0,3.0,2.0,0.0,8.0,8.0,16.0,22.0,,3.0,3.0,,,,90.0,49.0,5.8,11.0,0.0225476,227.65395500846,16.0,163.76556340398,3.0,,2,,0.11,0.21,-0.68,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0508,0.0229,46.745498473378,125.09161716147,-0.28,,,,,,,,,,,,,,,,,,,
14032399,home,KVC Westerlo,Emin Bayram,,,emin-bayram,E. Bayram,D,40,193.0,768,M,997153,EUR,1049241600,D,40,40,False,63.0,55.0,9.0,3.0,0.0,37.0,38.0,18.0,25.0,1.0,3.0,4.0,,,,90.0,73.0,6.5,9.0,0.0724743,235.59874893687,23.0,106.70504995549,1.0,,0,,0.33,0.37,-0.55,,,,1.0,1.0,,,1.0,1.0,,,20.09932098871,28.854741880668,,5.0,1.0,2.0,,,,,,,,,,,,,,,,
14032399,home,KVC Westerlo,Amando Lapage,,,amando-lapage,A. Lapage,D,4,187.0,181,M,1396102,EUR,1099872000,D,4,4,False,84.0,77.0,12.0,7.0,0.0,61.0,64.0,16.0,20.0,3.0,3.0,,,,,90.0,93.0,6.7,8.0,0.0083583,158.80694410388,20.0,54.998461825372,0.0,,0,,0.13,0.06,-0.27,,,1.0,,,,,,,,,,,,4.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,
14032399,home,KVC Westerlo,Dylan Ourega,Dylan Ourega,,dylan-ourega,D. Ourega,D,28,183.0,41,M,1970815,EUR,1097020800,D,28,28,False,32.0,25.0,3.0,1.0,0.0,17.0,21.0,8.0,11.0,,5.0,6.0,,3.0,,76.0,57.0,5.1,13.0,0.00851514,144.25685006343,15.0,75.118152009155,2.0,,1,,0.01,0.19,-0.64,,2.0,10.0,2.0,1.0,,,1.0,1.0,0.0201,,27.235185861606,45.08865474557,-0.14,1.0,1.0,,1.0,,2.0,3.0,2.0,1.0,3.0,,,,,,,,,
14032399,home,KVC Westerlo,Doğucan Haspolat,,,dogucan-haspolat,D. Haspolat,M,34,177.0,454,M,846087,EUR,950227200,M,34,34,False,61.0,51.0,5.0,4.0,0.0,27.0,30.0,24.0,31.0,2.0,4.0,6.0,,1.0,,90.0,79.0,6.6,18.0,0.0302016,199.43195636598,23.0,52.880169039293,1.0,,1,,0.06,0.25,-0.27,,7.0,4.0,2.0,1.0,1.0,,1.0,1.0,0.0272,,13.465828423821,23.189102268091,-0.05,1.0,,2.0,,,3.0,1.0,,,2.0,True,,,,,,,,
14032399,home,KVC Westerlo,Arthur Piedfort,Arthur Piedfort,,arthur-piedfort,A. Piedfort,M,46,186.0,202,M,1149123,EUR,1107216000,M,46,46,False,24.0,20.0,,,0.0,6.0,8.0,14.0,16.0,1.0,2.0,1.0,,,,66.0,33.0,6.2,7.0,0.0411678,42.57633459781,6.0,1.3394122087994,0.0,,0,,0.02,-0.01,-0.08,,1.0,6.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,4.0,1.0,1.0,1.0,,,,,,,,,,,,
14032399,home,KVC Westerlo,Allahyar Sayyadmanesh,,,allahyar-sayyadmanesh,A. Sayyadmanesh,M,7,182.0,1519,M,905474,EUR,993772800,M,7,7,False,28.0,20.0,1.0,1.0,0.0,3.0,4.0,17.0,24.0,3.0,10.0,5.0,,4.0,,74.0,51.0,7.3,13.0,0.34446,110.79619637794,11.0,75.268538626862,2.0,,2,,0.46,0.32,-0.23,,1.0,5.0,2.0,2.0,2.0,,1.0,1.0,0.1213,,24.657452932094,44.939681399572,-0.39,,3.0,1.0,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,
14032399,home,KVC Westerlo,Isa Sakamoto,Issai Sakamoto,,isa-sakamoto,I. Sakamoto,M,13,174.0,492,M,1126245,EUR,1061856000,M,13,13,False,29.0,26.0,,,0.0,5.0,5.0,21.0,24.0,,4.0,4.0,,,,84.0,43.0,6.3,8.0,0.0458539,174.44028069681,16.0,73.084865182265,3.0,,0,,-0.01,0.13,-0.31,,1.0,3.0,4.0,3.0,,,1.0,,,,26.38343967267,68.681762995944,,,2.0,1.0,,,,2.0,,,1.0,,,,1.0,,,,,
14032399,home,KVC Westerlo,Josimar Alcócer,,,josimar-alcocer,J. Alcócer,M,77,185.0,655,M,1131598,EUR,1089158400,M,77,77,False,10.0,8.0,1.0,,0.0,,,8.0,10.0,,6.0,5.0,,3.0,,90.0,29.0,6.2,10.0,0.00417992,113.46005745969,12.0,78.753417486259,2.0,,0,,-0.03,0.22,-0.23,,1.0,8.0,4.0,2.0,,,1.0,1.0,,,15.541977848621,28.142634931867,,2.0,3.0,1.0,1.0,,2.0,,2.0,,3.0,,,,1.0,,,,,
14032399,home,KVC Westerlo,Thomas Van den Keybus,,,thomas-van-den-keybus,T. V. d. Keybus,M,39,179.0,112,M,997164,EUR,988156800,F,39,39,False,11.0,7.0,,,0.0,6.0,7.0,1.0,4.0,,1.0,2.0,,,,45.0,14.0,6.5,6.0,0.00145853,3.6748334656145,1.0,-2.5151514674263,0.0,,0,,-0.11,0.01,0.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
14032399,home,KVC Westerlo,Afonso Patrao,Afonso Patrão,,afonso-patrao,A. Patrão,F,10,182.0,378,M,1586655,EUR,1170460800,F,10,10,True,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,,,,,,,45.0,9.0,6.2,3.0,0.00223978,22.571486240229,2.0,18.037929738597,1.0,,1,,-0.12,0.04,-0.03,,,2.0,,,1.0,,,,0.082,,16.467077844009,18.253080863241,-0.2,,1.0,,1.0,,,,,,1.0,,,,,,,,,
14032399,home,KVC Westerlo,Fernand Gouré,,,fernand-goure,F. Gouré,F,29,189.0,108,M,1100897,EUR,1018569600,F,29,29,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,1.0,,,,24.0,5.0,6.2,2.0,3.14e-06,5.3655627850208,1.0,-2.9407021923816,0.0,,1,,-0.07,-0.02,0.17,,,2.0,,,1.0,,,,0.3531,,,,-0.53,,1.0,,,1.0,,,,,2.0,,,,,1.0,,,,
14032399,home,KVC Westerlo,Naoufal Bohamdi-Kamoni,Naoufal Bohamdi-Kamoni,,naoufal-bohamdi-kamoni,N. Bohamdi-Kamoni,F,11,,49,M,2124293,EUR,1187568000,F,11,11,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,,1.0,,,,16.0,6.0,6.3,2.0,0.00047249,15.840907165286,2.0,12.070146900004,0.0,,0,,-0.01,-0.09,-0.09,,,3.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
14032399,home,KVC Westerlo,Serhiy Sydorchuk,,,serhiy-sydorchuk,S. Sydorchuk,M,8,189.0,289,M,81202,EUR,673142400,M,8,8,True,8.0,8.0,,,0.0,3.0,3.0,5.0,5.0,,,2.0,,,,9.0,13.0,6.5,3.0,0.0137954,14.50455496758,2.0,8.0077614911666,0.0,,0,,0.1,-0.2,0.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
