match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalClearance,stat_wasFouled,stat_keyPass,captain,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_goalAssist,stat_shotOffTarget,player_sofascoreId,stat_wonContest,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11368643,home,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192,2732,M,188107,EUR,815097600,G,1,1,False,37.0,23.0,30.0,16.0,9.0,12.0,14.0,25.0,11.0,1.0,1.0,90.0,44.0,7.4,14.0,0.0192249,0,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368643,home,Mallorca,Giovanni González,giovanni-gonzalez,G. González,D,20,175,319,M,590404,EUR,780019200,D,20,20,False,28.0,24.0,2.0,1.0,9.0,11.0,15.0,21.0,1.0,,,84.0,48.0,7.6,10.0,0.0261803,2,,4.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0799,0.4726,,,,,,,,,,,,,,,,,,,,,
11368643,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,50.0,40.0,9.0,3.0,18.0,22.0,23.0,29.0,4.0,,,90.0,71.0,7.3,13.0,0.157457,0,,1.0,1.0,2.0,2.0,5.0,,,,2.0,,,1.0,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11368643,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,46.0,42.0,8.0,6.0,26.0,26.0,16.0,20.0,5.0,,,90.0,57.0,7.4,5.0,0.017956,0,,,2.0,3.0,5.0,5.0,,,,2.0,1.0,,2.0,,,,5.0,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,
11368643,home,Mallorca,José Copete,jose-copete,J. Copete,D,3,190,437,M,913695,EUR,939513600,D,6,6,False,42.0,31.0,8.0,3.0,18.0,22.0,14.0,21.0,3.0,,,90.0,55.0,6.5,14.0,0.0404047,0,,1.0,1.0,2.0,10.0,4.0,,,,1.0,1.0,2.0,6.0,,,1.0,1.0,1.0,,,,,2.0,,,2.0,1.0,,,,,,,,,
11368643,home,Mallorca,Jaume Costa,jaume-costa,J. Costa,D,,171,89,M,44577,EUR,574646400,D,11,11,False,18.0,16.0,,,5.0,5.0,12.0,16.0,1.0,,,90.0,36.0,6.9,7.0,0.0339693,1,,3.0,1.0,,4.0,1.0,1.0,,,1.0,,,1.0,0.085,0.0356,1.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,
11368643,home,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179,256,M,949722,EUR,861667200,M,18,18,False,22.0,18.0,2.0,2.0,6.0,7.0,12.0,15.0,4.0,,,63.0,31.0,6.6,8.0,0.0404164,1,,,1.0,,6.0,1.0,,1.0,,,,1.0,1.0,0.0219,,,,1.0,,,3.0,,1.0,,,1.0,,,,,,,,,,
11368643,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,44.0,33.0,5.0,1.0,19.0,23.0,14.0,22.0,3.0,,,90.0,55.0,7.0,12.0,0.0321029,0,,1.0,,1.0,3.0,9.0,,,,7.0,4.0,,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,,,,,,
11368643,home,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,349526,EUR,581558400,M,14,14,False,13.0,13.0,3.0,3.0,2.0,2.0,12.0,13.0,3.0,,,73.0,26.0,6.7,7.0,0.265923,0,,2.0,2.0,1.0,6.0,2.0,,,,,,4.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,
11368643,home,Mallorca,Cyle Larin,cyle-larin,C. Larin,F,9,187,1609,M,790179,EUR,798076800,F,17,17,False,6.0,3.0,,,,2.0,3.0,4.0,,,,62.0,13.0,6.5,5.0,0.00255577,1,,,3.0,3.0,6.0,3.0,,,,,,,,0.0528,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,
