match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_dispossessed,stat_wonContest,captain,stat_challengeLost,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_clearanceOffLine
13981425,home,Cagliari,Elia Caprile,,,elia-caprile,E. Caprile,G,1,191,1685,M,947954,EUR,998697600,G,1,1,False,23.0,19.0,8.0,4.0,0.0,17.0,18.0,2.0,5.0,7.0,90.0,28.0,6.6,4.0,0.0007605,0,-0.2157,0.0,0.02,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981425,home,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,45.0,37.0,8.0,3.0,0.0,20.0,22.0,17.0,23.0,2.0,90.0,63.0,6.7,13.0,0.0128528,1,,0.18,0.06,-0.11,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0536,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
13981425,home,Cagliari,Yerry Mina,,,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,53.0,48.0,9.0,8.0,0.0,32.0,33.0,16.0,20.0,2.0,90.0,72.0,7.6,6.0,0.13775,1,,0.3,0.18,0.3,,3.0,3.0,4.0,7.0,1.0,7.0,2.0,1.0,0.0077,-0.06,yerrymina,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
13981425,home,Cagliari,Sebastiano Luperto,,,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,35.0,31.0,4.0,1.0,0.0,23.0,25.0,8.0,10.0,1.0,90.0,44.0,7.7,4.0,0.011322,1,,0.09,0.13,-0.06,,,1.0,1.0,2.0,,6.0,1.0,,0.1305,0.53,,,,1.0,,1.0,,1.0,1.0,0.3851,,,,,,,,,,,,,,,,
13981425,home,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186,654,M,964153,EUR,1030060800,D,33,33,False,27.0,21.0,3.0,3.0,0.0,12.0,14.0,9.0,13.0,1.0,75.0,34.0,6.9,7.0,0.302814,0,,0.49,0.0,-0.16,1.0,,,4.0,3.0,,1.0,3.0,,,,,,,1.0,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
13981425,home,Cagliari,Michel Adopo,,,michel-ndary-adopo,M. N. Adopo,M,8,187,534,M,928777,EUR,963964800,M,8,8,False,36.0,33.0,1.0,,0.0,15.0,17.0,18.0,19.0,7.0,90.0,46.0,6.8,7.0,0.0617758,0,,0.21,0.24,-0.03,2.0,1.0,,4.0,2.0,,1.0,1.0,,,,,,,1.0,,1.0,3.0,,,,,2.0,,1.0,1.0,,,,,,,,,,,
13981425,home,Cagliari,Matteo Prati,,,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,False,27.0,22.0,2.0,,0.0,14.0,16.0,8.0,11.0,1.0,61.0,32.0,6.6,5.0,0.00509817,0,,0.04,0.02,0.15,,,,2.0,1.0,,2.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13981425,home,Cagliari,Alessandro Deiola,,,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,28.0,18.0,,,0.0,7.0,11.0,11.0,17.0,6.0,74.0,34.0,6.2,12.0,0.00934159,0,,-0.19,0.1,-0.11,1.0,1.0,,5.0,2.0,,2.0,2.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,True,2.0,,,,,,,,,
13981425,home,Cagliari,Sebastiano Esposito,,,sebastiano-esposito,S. Esposito,F,94,186,4178,M,965008,EUR,1025568000,M,94,94,False,16.0,15.0,1.0,1.0,0.0,6.0,6.0,9.0,10.0,4.0,61.0,32.0,6.7,9.0,0.13932,2,,0.37,0.04,-0.09,4.0,,,8.0,3.0,2.0,,,1.0,0.0377,-0.2,,,,,3.0,2.0,2.0,,,,3.0,2.0,,2.0,,,2.0,,,,,,,,,
13981425,home,Cagliari,Gennaro Borrelli,,,borrelli-gennaro,G. Borrelli,F,29,194,533,M,979479,EUR,952646400,F,29,29,False,9.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,8.0,1.0,81.0,30.0,6.5,8.0,0.00423896,2,,-0.08,0.08,0.16,,3.0,2.0,10.0,11.0,1.0,1.0,2.0,3.0,0.3,-0.64,,,,1.0,5.0,4.0,,1.0,,0.0639,,2.0,,3.0,2.0,,,1.0,1.0,,,,,,,
