match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wasFouled,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_punches,player_sofascoreId,stat_bigChanceMissed
10411622,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,31.0,20.0,26.0,15.0,5.0,5.0,15.0,26.0,12.0,2.0,3.0,3.0,90.0,41.0,7.8,11.0,0.0,0.0,0.00961913,26.0112456998,6.0,11.13,4.515,0,0.8829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411622,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,D,27,27,False,22.0,20.0,2.0,,18.0,18.0,2.0,4.0,1.0,,,,29.0,27.0,6.7,2.0,0.0,0.0,0.000197191,67.181884416099,8.0,33.075,11.655,0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411622,home,Hellas Verona,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,1157713,EUR,916185600,D,6,6,False,36.0,24.0,7.0,2.0,21.0,28.0,3.0,8.0,11.0,,,,90.0,55.0,7.1,14.0,0.0,0.0,0.00148207,61.254277490582,10.0,13.125,11.13,0,,7.0,15.0,5.0,,5.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10411622,home,Hellas Verona,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,23,187,130,M,139410,EUR,705542400,D,17,17,False,32.0,24.0,7.0,1.0,18.0,24.0,6.0,8.0,7.0,,,,90.0,42.0,6.8,10.0,0.0,0.0,0.00462126,81.780762519552,11.0,34.755,10.815,0,,5.0,7.0,,,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,
10411622,home,Hellas Verona,Fabio Depaoli,fabio-depaoli,F. Depaoli,M,23,178,224,M,830288,EUR,861840000,M,29,29,False,32.0,21.0,7.0,4.0,11.0,15.0,11.0,20.0,9.0,,,,90.0,61.0,7.5,18.0,0.1148,0.3099,0.117604,61.93316828202,9.0,47.25,14.175,3,,7.0,4.0,1.0,,2.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,,,,,3.0,1.0,2.0,1.0,1.0,14.713455100689,1.0,,,,,,,,,,
10411622,home,Hellas Verona,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,14,14,False,30.0,20.0,4.0,1.0,7.0,9.0,13.0,26.0,4.0,,,,90.0,49.0,7.9,18.0,0.0173,0.0,0.0921795,50.11861098122,9.0,12.495,9.87,1,,3.0,8.0,2.0,,4.0,3.0,,1.0,3.0,1.0,,2.0,1.0,3.0,,2.0,,,5.0,,1.0,,,12.302489016455,1.0,1.0,1.0,1.0,1.0,,,,,,
10411622,home,Hellas Verona,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,20.0,13.0,,,7.0,10.0,6.0,11.0,4.0,,,,82.0,39.0,6.6,11.0,0.0,0.0,0.0734564,35.544933134018,6.0,20.895,8.505,0,,9.0,4.0,2.0,,3.0,1.0,3.0,3.0,1.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,
10411622,home,Hellas Verona,Josh Doig,josh-doig,J. Doig,D,3,189,836,M,989276,EUR,1021680000,M,3,3,False,31.0,15.0,7.0,2.0,8.0,15.0,9.0,18.0,11.0,,,,90.0,54.0,7.3,20.0,0.0176,0.0,0.269407,136.81618516949,11.0,99.54,41.475,1,,5.0,8.0,,,3.0,,1.0,,3.0,2.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,,,,95.688838939807,4.0,1.0,,,2.0,1.0,,,,,
10411622,home,Hellas Verona,Kevin Lasagna,kevin-lasagna,K. Lasagna,F,15,181,317,M,587962,EUR,713404800,F,11,11,False,9.0,7.0,,,3.0,3.0,4.0,7.0,1.0,,,,69.0,30.0,6.2,12.0,0.0132,0.0,0.00430461,25.708702453083,4.0,10.71,11.235,1,,9.0,3.0,1.0,,2.0,,1.0,1.0,,,5.0,3.0,1.0,,,2.0,,,1.0,,1.0,,,,,,,,,,2.0,,,,
10411622,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,F,8,8,False,11.0,7.0,2.0,1.0,4.0,5.0,4.0,9.0,3.0,,,,69.0,29.0,7.4,13.0,0.2475,0.3787,0.0640426,49.834153406469,7.0,33.495,10.08,3,,6.0,1.0,2.0,,,,1.0,2.0,,,1.0,3.0,1.0,2.0,,2.0,,,3.0,1.0,,2.0,1.0,,,,,,1.0,1.0,,True,,,
