match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_wasFouled,player_firstName,player_lastName,stat_dispossessed,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
12499603,home,Eintracht Frankfurt,Kauã Santos,kaua-dos-santos,Kauã,G,40,196,2816,M,1134203,EUR,1050019200,G,40,40,False,24.0,17.0,8.0,2.0,0.0,15.0,17.0,2.0,7.0,9.0,1.0,1.0,1.0,1.0,2.0,90.0,30.0,5.0,7.0,0.00287675,0,-1.9566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499603,home,Eintracht Frankfurt,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1615,M,921789,EUR,868579200,D,13,13,False,74.0,59.0,5.0,1.0,0.0,10.0,12.0,49.0,70.0,3.0,,,,,,90.0,99.0,8.1,24.0,0.0678783,4,,8.0,2.0,3.0,6.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,0.2929,0.7636,1.0,,,,,,,,,,,,,,
12499603,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,77.0,70.0,4.0,2.0,0.0,26.0,29.0,44.0,49.0,4.0,1.0,,,,,90.0,95.0,6.7,10.0,0.0411797,3,,1.0,4.0,5.0,7.0,7.0,2.0,,,1.0,1.0,2.0,,,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.1795,0.4837,3.0,True,1.0,,,,,,,,,,,,
12499603,home,Eintracht Frankfurt,Arthur Theate,arthur-theate,A. Theate,D,3,186,2196,M,965778,EUR,959212800,D,3,3,False,89.0,72.0,12.0,5.0,0.0,25.0,30.0,47.0,59.0,7.0,,,,,,90.0,108.0,7.4,18.0,0.111093,4,,,4.0,7.0,6.0,8.0,,1.0,,,2.0,1.0,1.0,,,4.0,1.0,4.0,,,,1.0,0.1484,0.0855,1.0,,1.0,,,,,,,,,,,,
12499603,home,Eintracht Frankfurt,Nnamdi Collins,nnamdi-collins,N. Collins,D,34,191,1316,M,1048569,EUR,1073692800,M,34,34,False,11.0,8.0,,,0.0,,,8.0,15.0,1.0,,,,,,45.0,24.0,6.7,9.0,0.0152888,0,,4.0,,,3.0,5.0,,4.0,3.0,,,,,,,,,,,,,1.0,,,,,2.0,Nnamdi Collins,,1.0,,,,,,,,,
12499603,home,Eintracht Frankfurt,Oscar Højlund,oscar-hojlund,O. Højlund,M,6,184,1040,M,1149113,EUR,1104796800,M,6,6,False,41.0,37.0,2.0,1.0,0.0,10.0,10.0,27.0,32.0,9.0,,,,,,61.0,50.0,6.6,8.0,0.0323375,1,,1.0,1.0,,3.0,2.0,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,0.1361,,2.0,,,Oscar Höjlund,,2.0,,,,,,,,,
12499603,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,44.0,42.0,4.0,4.0,0.0,6.0,7.0,36.0,37.0,3.0,1.0,,,,,45.0,51.0,6.4,3.0,0.190816,1,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,,0.0449,,,,2.0,,,,ellyes_skhiri,,,,,,,,
12499603,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,M,21,21,False,47.0,45.0,4.0,3.0,1.0,8.0,9.0,44.0,55.0,1.0,,,,,,90.0,84.0,8.3,17.0,0.626361,1,,17.0,3.0,1.0,5.0,3.0,,1.0,,,,,1.0,,,1.0,,,2.0,,1.0,,0.0534,,6.0,,,,,1.0,,7.0,2.0,,,,,,
12499603,home,Eintracht Frankfurt,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17688,M,1192318,EUR,1038441600,M,8,8,False,25.0,18.0,1.0,1.0,0.0,2.0,3.0,17.0,29.0,2.0,,,,,,60.0,39.0,7.0,14.0,0.0601526,1,,7.0,2.0,2.0,2.0,5.0,,,,,,1.0,,,,,,,2.0,2.0,1.0,,0.0275,0.0137,1.0,,1.0,,,,fareschaibi28,1.0,,,,,,,
12499603,home,Eintracht Frankfurt,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,190,97147,M,1048422,EUR,1024531200,F,11,11,False,13.0,13.0,,,0.0,4.0,4.0,9.0,12.0,1.0,,,,,,61.0,24.0,6.8,7.0,0.155275,2,,3.0,2.0,2.0,4.0,4.0,,3.0,2.0,,1.0,1.0,,,,,,,,,2.0,,0.0937,0.0823,,,,Hugo Ekitiké,,1.0,hekitike,,,,,,,,
