match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_wasFouled,player_firstName,player_lastName,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,player_sofascoreId
11368621,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,True,38.0,22.0,27.0,11.0,0.0,13.0,13.0,9.0,25.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,90.0,45.0,7.2,16.0,0.00862032,0,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368621,home,Cádiz,Joseba Zaldúa,joseba-zaldua,J. Zaldúa,D,,176,88,M,347450,EUR,709344000,D,2,2,False,,19.0,9.0,5.0,,0.0,4.0,6.0,7.0,16.0,5.0,,,3.0,,,,,85.0,29.0,7.1,11.0,0.151433,0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
11368621,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,,60.0,44.0,11.0,6.0,0.0,26.0,31.0,18.0,30.0,9.0,,,10.0,,,,,90.0,70.0,7.3,17.0,0.0269476,0,,1.0,,5.0,2.0,1.0,,,2.0,2.0,,,1.0,4.0,2.0,,,,,,,,,,,,,,
11368621,home,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,,65.0,49.0,15.0,6.0,0.0,28.0,34.0,21.0,31.0,5.0,,,7.0,,,,,74.0,72.0,6.6,16.0,0.0101116,0,,,,3.0,2.0,2.0,,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,
11368621,home,Cádiz,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,15,15,False,,53.0,44.0,4.0,1.0,0.0,22.0,26.0,24.0,33.0,6.0,2.0,1.0,3.0,,,,,90.0,83.0,6.8,16.0,0.0599171,1,,6.0,2.0,3.0,7.0,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,0.0488,0.0524,,,,,
11368621,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,,13.0,9.0,,,0.0,4.0,4.0,5.0,9.0,5.0,2.0,2.0,4.0,,,,,55.0,24.0,6.9,6.0,0.0101433,2,,,,,4.0,,,1.0,3.0,2.0,,1.0,1.0,,,,,,,,1.0,2.0,0.235,,1.0,1.0,1.0,1.0,
11368621,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,,39.0,31.0,7.0,,0.0,19.0,20.0,12.0,19.0,5.0,,,2.0,,,,,90.0,52.0,7.0,10.0,0.0235136,1,,,,2.0,1.0,,,2.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,2.0,,0.0161,,,,1.0,,
11368621,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,,59.0,50.0,10.0,6.0,0.0,25.0,26.0,26.0,35.0,10.0,2.0,1.0,11.0,,,,,90.0,78.0,7.7,14.0,0.113996,1,,2.0,1.0,1.0,4.0,1.0,,,4.0,4.0,,2.0,,,4.0,,,,1.0,,,,0.054,0.0213,2.0,,,,
11368621,home,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,,18.0,13.0,1.0,,0.0,3.0,4.0,10.0,16.0,3.0,4.0,2.0,3.0,,,,,67.0,41.0,6.3,17.0,0.0137661,1,,2.0,,,10.0,1.0,,2.0,1.0,,,,2.0,,,,,,1.0,,3.0,1.0,0.0444,0.0496,4.0,,,,
11368621,home,Cádiz,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1666,M,914819,EUR,853545600,F,16,16,False,,14.0,7.0,1.0,,0.0,,,7.0,14.0,11.0,4.0,1.0,3.0,,,,,85.0,29.0,6.5,12.0,0.063936,3,,,,9.0,9.0,1.0,,,1.0,,,,2.0,1.0,,,,1.0,,,1.0,2.0,0.4728,,1.0,2.0,3.0,,
