match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,stat_shotOffTarget,stat_keyPass,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork
12764240,home,Malmö FF,Johan Dahlin,johan-dahlin,J. Dahlin,G,27,191,70,M,7298,EUR,526521600,G,27,27,False,21.0,18.0,5.0,2.0,0.0,18.0,19.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,90.0,30.0,6.4,3.0,4.908e-05,0,-0.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764240,home,Malmö FF,Colin Rösler,colin-rosler,C. Rösler,D,19,186,116,M,907462,EUR,956361600,D,19,19,False,66.0,58.0,6.0,2.0,0.0,34.0,35.0,31.0,2.0,2.0,4.0,,7.0,,,,,90.0,72.0,6.5,8.0,0.00875925,0,,,,24.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12764240,home,Malmö FF,Pontus Jansson,pontus-jansson,P. Jansson,D,18,194,315,M,55123,EUR,666403200,D,18,18,False,60.0,54.0,3.0,2.0,0.0,38.0,39.0,21.0,3.0,8.0,5.0,,3.0,,,,,90.0,74.0,6.9,7.0,0.00574618,0,,,,16.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12764240,home,Malmö FF,Busanello,busanello,Busanello,D,25,179,319,M,880179,EUR,909619200,D,25,25,False,72.0,56.0,7.0,,0.0,31.0,37.0,45.0,3.0,6.0,8.0,,7.0,1.0,,,,90.0,111.0,6.0,33.0,0.0537564,1,,,,26.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,10.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0057,,,,,,,,,
12764240,home,Malmö FF,Jens Stryger Larsen,jens-stryger-larsen,J. Stryger Larsen,D,17,180,369,M,44848,EUR,667094400,M,17,17,False,42.0,38.0,,,0.0,23.0,23.0,20.0,,3.0,,1.0,6.0,,,,,90.0,52.0,6.5,6.0,0.0330007,0,,,,16.0,1.0,1.0,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,
12764240,home,Malmö FF,Lasse Berg Johnsen,lasse-berg-johnsen,L. B. Johnsen,M,23,177,310,M,977825,EUR,934934400,M,23,23,False,68.0,59.0,5.0,3.0,0.0,21.0,23.0,46.0,1.0,,2.0,,2.0,,,,,84.0,79.0,6.9,12.0,0.0280189,2,,,,38.0,,,,1.0,1.0,,,2.0,,1.0,,,,,1.0,,0.0367,1.0,,,,,,,,
12764240,home,Malmö FF,Sergio Peña,sergio-pena,S. Peña,M,10,176,1745,M,849339,EUR,812246400,M,8,8,False,75.0,66.0,8.0,7.0,0.0,29.0,30.0,48.0,,6.0,6.0,2.0,3.0,,,,,90.0,98.0,7.3,15.0,0.113593,1,,,,39.0,,,2.0,6.0,2.0,2.0,1.0,2.0,,3.0,2.0,2.0,,,1.0,,0.048,,1.0,,,,,,,
12764240,home,Malmö FF,Hugo Bolin,bolin-hugo,H. Bolin,M,38,179,801,M,1142210,EUR,1059004800,M,38,38,False,29.0,24.0,3.0,2.0,0.0,6.0,7.0,24.0,,5.0,6.0,,3.0,3.0,,,,69.0,49.0,7.1,14.0,0.192801,1,,Hugo Bolin,,19.0,,,,,,1.0,,4.0,,2.0,1.0,,7.0,3.0,1.0,,0.085,,2.0,1.0,,,,,,
12764240,home,Malmö FF,Oliver Berg,oliver-berg,O. Berg,M,16,178,122,M,793170,EUR,746496000,F,16,16,False,31.0,23.0,,,0.0,3.0,4.0,27.0,,7.0,5.0,1.0,4.0,2.0,,,,84.0,44.0,6.9,12.0,0.0127943,0,,,,20.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,
12764240,home,Malmö FF,Anders Christiansen,anders-christiansen,A. Christiansen,M,10,174,316,M,81859,EUR,644803200,F,10,10,False,26.0,21.0,1.0,,0.0,9.0,10.0,19.0,,3.0,3.0,1.0,,1.0,,,,61.0,40.0,6.3,13.0,0.00535792,1,,,,12.0,,,1.0,1.0,,1.0,,2.0,,3.0,,2.0,1.0,1.0,,,0.2198,1.0,,,True,1.0,,,,
