match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_goalAssist,stat_keyPass,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_shotOffTarget,stat_ownGoals
11453006,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600,G,30,30,False,21.0,16.0,11.0,6.0,14.0,17.0,2.0,4.0,1.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,30.0,6.8,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,21,21,False,41.0,36.0,2.0,1.0,21.0,25.0,15.0,18.0,3.0,1.0,7.0,,,,,,,90.0,60.0,7.0,10.0,0,Alhwsawi Sanousi Mohammed,,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200,D,15,15,False,36.0,35.0,8.0,7.0,26.0,26.0,9.0,10.0,2.0,2.0,4.0,1.0,,,,,,84.0,44.0,6.8,2.0,0,,,,3.0,1.0,,,,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
11453006,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,50.0,44.0,9.0,5.0,35.0,37.0,9.0,13.0,4.0,6.0,3.0,1.0,,,,,,90.0,65.0,7.1,6.0,0,,,,3.0,1.0,2.0,1.0,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
11453006,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,51.0,46.0,1.0,,28.0,32.0,18.0,19.0,6.0,2.0,3.0,,,,,,,90.0,76.0,6.4,10.0,1,Dhari Al-Enezi,,,9.0,2.0,,2.0,1.0,,2.0,1.0,,3.0,1.0,4.0,3.0,1.0,2.0,,,,,,,,,,
11453006,home,Damac FC,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400,M,8,8,False,69.0,66.0,7.0,4.0,43.0,44.0,23.0,26.0,1.0,1.0,5.0,,,,,,,90.0,75.0,6.8,6.0,0,,,1.0,5.0,1.0,,1.0,,,,,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,
11453006,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000,M,17,17,False,42.0,38.0,1.0,1.0,20.0,22.0,18.0,22.0,3.0,,6.0,1.0,,,,,,84.0,55.0,6.7,9.0,1,,,2.0,4.0,,,,,,1.0,,1.0,2.0,,3.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,
11453006,home,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177.0,14,M,818809,EUR,678412800,M,49,49,False,50.0,41.0,4.0,2.0,23.0,25.0,19.0,27.0,3.0,,8.0,1.0,,,,,,73.0,70.0,8.0,18.0,1,,,2.0,6.0,2.0,,2.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,
11453006,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,31,31,False,45.0,38.0,8.0,4.0,15.0,15.0,24.0,35.0,4.0,,4.0,2.0,,,,,,90.0,61.0,7.6,13.0,2,,,5.0,4.0,1.0,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,5.0,,1.0,1.0,,,1.0,,
11453006,home,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,11,172.0,2369,M,342909,EUR,792633600,M,10,10,False,37.0,28.0,6.0,5.0,14.0,17.0,15.0,23.0,4.0,,6.0,3.0,,,,,,89.0,57.0,8.1,20.0,2,,,3.0,6.0,1.0,,1.0,,,,,,1.0,,4.0,,1.0,5.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,
11453006,home,Damac FC,Assan Ceesay,assan-ceesay,A. Ceesay,F,,188.0,442,M,842158,EUR,763862400,F,9,9,False,8.0,7.0,1.0,,4.0,4.0,3.0,4.0,1.0,,1.0,1.0,,,,,,73.0,16.0,7.3,4.0,3,,,,1.0,,,,,,,,,,,1.0,,2.0,2.0,,,,,,1.0,1.0,1.0,,
11453006,home,Damac FC,Ahmed Harisi,ahmed-harisi,A. Harisi,M,18,170.0,9,M,1520999,EUR,966384000,F,18,18,True,2.0,1.0,,,1.0,2.0,,,2.0,,2.0,2.0,,,,,,17.0,9.0,6.3,5.0,0,Ahmed Harisi,,,4.0,2.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,
