match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,captain,stat_penaltyWon,player_sofascoreId,stat_errorLeadToAGoal,stat_penaltyFaced,stat_punches,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed,stat_goalAssist
10434072,home,Fatih Karagümrük,Batuhan Şen,batuhan-ahmet-sen,B. A. Şen,G,12,192,1076,M,867595,EUR,918000000,G,1,1,False,48.0,45.0,8.0,5.0,45.0,47.0,1.0,1.0,1.0,9.0,3.0,3.0,90.0,60.0,6.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Davide Biraschi,davide-biraschi,D. Biraschi,D,4,182,102,M,233252,EUR,773107200,D,4,4,False,52.0,39.0,14.0,8.0,26.0,28.0,25.0,1.0,5.0,6.0,,,90.0,71.0,6.8,18.0,0,,,13.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Rayyan Baniya,rayyan-baniya,R. Baniya,D,23,192,339,M,929739,EUR,919296000,D,99,99,False,82.0,75.0,9.0,4.0,68.0,71.0,11.0,1.0,5.0,7.0,,,90.0,91.0,6.5,7.0,0,,,7.0,,2.0,5.0,,,3.0,,3.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Ibrahim Drešević,ibrahim-dresevic,I. Drešević,D,5,186,210,M,817987,EUR,854064000,D,5,5,False,93.0,89.0,12.0,9.0,68.0,70.0,23.0,1.0,5.0,1.0,,,90.0,101.0,7.4,4.0,0,,,21.0,,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Levent Mercan,munir-levent-mercan,L. Mercan,D,22,176,1693,M,1085938,EUR,976406400,D,18,18,False,45.0,36.0,4.0,2.0,21.0,28.0,21.0,,3.0,5.0,,,90.0,76.0,6.7,17.0,0,,,15.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,63,182,2967,M,358890,EUR,835401600,M,29,29,False,54.0,48.0,2.0,1.0,19.0,22.0,33.0,1.0,3.0,7.0,,,89.0,62.0,6.9,6.0,0,,,30.0,1.0,,2.0,1.0,1.0,3.0,,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Matteo Ricci,matteo-ricci,M. Ricci,M,8,172,128,M,225132,EUR,769996800,M,8,8,False,64.0,54.0,11.0,6.0,35.0,39.0,28.0,,1.0,2.0,,,89.0,76.0,6.5,15.0,0,,,20.0,3.0,1.0,5.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Andrea Bertolacci,andrea-bertolacci,A. Bertolacci,M,,179,98,M,47568,EUR,663552000,M,91,91,False,35.0,28.0,2.0,1.0,8.0,12.0,26.0,1.0,3.0,3.0,,,71.0,43.0,6.9,10.0,0,,,22.0,3.0,,1.0,2.0,1.0,,,,,1.0,1.0,,,,2.0,3.0,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Ebrima Colley,colley-ebrima,E. Colley,F,11,179,640,M,928106,EUR,949363200,F,19,19,False,27.0,19.0,1.0,,5.0,8.0,22.0,,1.0,1.0,,,75.0,40.0,6.6,13.0,0,,,15.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
10434072,home,Fatih Karagümrük,Mbaye Diagne,mbaye-diagne,M. Diagne,F,45,191,1430,M,346790,EUR,688608000,F,9,9,False,24.0,18.0,,,11.0,12.0,12.0,5.0,9.0,1.0,,,90.0,39.0,7.6,8.0,5,,,7.0,,2.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
10434072,home,Fatih Karagümrük,Fabio Borini,fabio-borini,F. Borini,F,16,180,487,M,89510,EUR,670204800,F,16,16,False,50.0,38.0,11.0,5.0,21.0,27.0,25.0,,5.0,3.0,,,90.0,72.0,8.0,16.0,5,,,19.0,2.0,,3.0,1.0,1.0,2.0,,,,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,2.0,3.0,,1.0,True,1.0,,,,,,,,
