match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,captain,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId
11391341,home,Clermont Foot,Grejohn Kyei,grejohn-kyei,G. Kyei,F,95,187,241,M,581146,EUR,808185600,F,95,95,True,7.0,5.0,1.0,,2.0,2.0,3.0,5.0,,,,1.0,,,,,,,,12.0,12.0,6.3,5.0,0.00572703,0,,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
11391341,home,Clermont Foot,Bilal Boutobba,bilal-boutobba,B. Boutobba,M,98,172,465,M,769163,EUR,904348800,M,8,8,True,4.0,3.0,,,,,3.0,4.0,,,,,,,,,,,,1.0,5.0,,2.0,0.00247572,0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11391341,home,Clermont Foot,Massamba Ndiaye,ndiaye-massamba,M. Ndiaye,G,16,202,260,M,1177344,EUR,1002412800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,home,Clermont Foot,Florent Ogier,florent-ogier,F. Ogier,D,69,182,26,M,122943,EUR,606441600,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,home,Clermont Foot,Yoël Armougom,yoel-armougom,Y. Armougom,D,31,173,302,M,909167,EUR,897004800,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,home,Clermont Foot,Jérémie Bela,jeremie-bela,J. Bela,M,,173,189,M,282917,EUR,734227200,F,91,91,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,home,Clermont Foot,Shamar Nicholson,shamar-nicholson,S. Nicholson,F,9,192,765,M,884948,EUR,858384000,F,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Arthur Desmas,arthur-desmas,A. Desmas,G,16,196,105,M,798306,EUR,765676800,G,30,30,False,16.0,13.0,4.0,1.0,12.0,13.0,1.0,3.0,,,,8.0,,,1.0,2.0,,,,90.0,25.0,6.6,3.0,0.00077136,0,-0.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
11391341,away,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,38.0,31.0,7.0,4.0,17.0,18.0,15.0,22.0,2.0,7.0,,5.0,3.0,,,,,,,85.0,57.0,6.8,11.0,0.0444832,1,,,,2.0,2.0,6.0,,1.0,,,2.0,0.0059,1.0,1.0,,True,,1.0,,3.0,,1.0,1.0,2.0,,,,,,,,,,
11391341,away,Le Havre,Étienne Youte Kinkoue,etienne-youte-kinkoue,É. Y. Kinkoue,D,6,195,254,M,980406,EUR,1010966400,D,6,6,False,59.0,51.0,5.0,3.0,28.0,32.0,23.0,27.0,3.0,3.0,4.0,3.0,,,,,,,,90.0,66.0,6.7,8.0,0.0136424,0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,83.0,72.0,11.0,5.0,41.0,43.0,31.0,40.0,2.0,4.0,1.0,4.0,1.0,,,,,,,90.0,89.0,6.4,13.0,0.0160818,0,,,,,1.0,3.0,,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,
11391341,away,Le Havre,Christopher Operi,christopher-operi,C. Operi,D,21,182,1311,M,858977,EUR,862272000,D,27,27,False,56.0,47.0,11.0,5.0,23.0,25.0,28.0,44.0,1.0,4.0,,6.0,2.0,,,,,,,90.0,90.0,6.9,20.0,0.255435,0,,,,13.0,2.0,5.0,,,,,2.0,,,,,,,4.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,
11391341,away,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,40.0,34.0,4.0,3.0,19.0,22.0,15.0,18.0,1.0,4.0,1.0,4.0,,,,,,,,60.0,48.0,6.7,8.0,0.0895172,0,,,,,,4.0,,,2.0,1.0,3.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
11391341,away,Le Havre,Oussama Targhalline,oussama-targhalline,O. Targhalline,M,28,186,7779,M,1095731,EUR,1021852800,M,5,5,False,39.0,37.0,3.0,3.0,18.0,19.0,19.0,20.0,,1.0,,2.0,,,,,,,,66.0,44.0,6.0,5.0,0.0170421,0,,Oussama Targhalline,,,1.0,3.0,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,targhaoussama
11391341,away,Le Havre,Emmanuel Sabbi,emmanuel-sabbi,E. Sabbi,F,11,175,311,M,880765,EUR,882921600,M,11,11,False,10.0,9.0,,,2.0,2.0,7.0,8.0,1.0,2.0,,,,,,,,,,61.0,18.0,6.4,4.0,0.0592125,1,,,,,1.0,6.0,,,1.0,1.0,2.0,0.1459,,1.0,,,,,1.0,2.0,,,,,,1.0,,,0.1002,,,,,
11391341,away,Le Havre,Daler Kuzyaev,daler-kuzyaev,D. Kuzyaev,M,14,182,744,M,541426,EUR,727056000,M,14,14,False,45.0,39.0,1.0,1.0,8.0,8.0,31.0,37.0,2.0,4.0,,1.0,2.0,,,,,,,84.0,48.0,7.7,6.0,0.113524,0,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,5.0,,,,,,,,,,,,
11391341,away,Le Havre,André Ayew,andre-ayew,A. Ayew,F,24,176,5860,M,27035,EUR,629856000,M,28,28,False,17.0,11.0,,,5.0,5.0,6.0,12.0,2.0,4.0,,3.0,2.0,,,,,,,85.0,27.0,7.2,9.0,0.00683896,3,,,,,,3.0,,,,,,0.2042,,,,,,,,,1.0,,3.0,,,2.0,,1.0,0.6002,,,,,andreayew10
11391341,away,Le Havre,Mohamed Bayo,mohamed-bayo,M. Bayo,F,9,188,4444,M,909318,EUR,896918400,F,9,9,False,14.0,9.0,1.0,1.0,3.0,3.0,6.0,13.0,2.0,2.0,,2.0,,,,,,,,90.0,29.0,7.0,14.0,0.0361969,4,,,,2.0,4.0,8.0,,3.0,,4.0,1.0,0.3012,,,,,,,,1.0,,1.0,2.0,,,1.0,1.0,,0.0184,,,,,mohamedbayo27
11391341,away,Le Havre,Yassine Kechta,yassine-kechta,Y. Kechta,M,8,166,2008,M,1000442,EUR,1014595200,M,8,8,True,23.0,19.0,4.0,1.0,5.0,5.0,14.0,18.0,,,,5.0,,,,,,,,30.0,27.0,7.0,6.0,0.0743446,1,,,,,,1.0,,,,1.0,,0.0172,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
11391341,away,Le Havre,Antoine Joujou,joujou-antoine,A. Joujou,F,77,189,199,M,1463265,EUR,1047427200,F,21,21,True,8.0,6.0,,,2.0,2.0,4.0,9.0,1.0,3.0,,,2.0,,,,,,,29.0,21.0,6.3,10.0,0.00635411,3,,Antoine Joujou,,3.0,,4.0,1.0,1.0,,1.0,,0.483,,,,,,,,3.0,1.0,,1.0,,,1.0,,,0.4783,,,,,
11391341,away,Le Havre,Samuel Grandsir,samuel-grandsir,S. Grandsir,M,,168,123,M,839112,EUR,839980800,F,29,29,True,7.0,6.0,1.0,1.0,,,7.0,9.0,,,,,,,,,,,,14.0,9.0,6.7,2.0,0.011417,0,,,,2.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
11391341,away,Le Havre,Loic Négo,loic-nego,L. Négo,D,7,179,819,M,54308,EUR,663897600,D,7,7,True,9.0,5.0,2.0,,,1.0,5.0,9.0,,1.0,,,,,,,,,,13.0,14.0,6.6,5.0,0.00156579,0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Steve Ngoura,ngoura-steve,S. Ngoura,F,9,193,398,M,1394411,EUR,1109030400,F,13,13,True,5.0,3.0,,,,1.0,3.0,4.0,,1.0,,1.0,,,,,,,,13.0,7.0,6.7,2.0,0.0051367,1,,,,,,1.0,,,,,1.0,0.0431,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
11391341,away,Le Havre,Mathieu Gorgelin,mathieu-gorgelin,M. Gorgelin,G,16,187,120,M,123226,EUR,649814400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Oualid El Hajjam,oualid-el-hajjam,O. E. Hajjam,D,2,180,439,M,363532,EUR,666921600,D,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391341,away,Le Havre,Simon Ebonog,ebonog-simon,S. Ebonog,M,26,180,152,M,1490783,EUR,1092614400,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
