match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goals,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork
12448271,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196,132,M,945955,EUR,878256000,G,1,1,False,38.0,13.0,37.0,12.0,0.0,2.0,8.0,11.0,30.0,2.0,12.0,2.0,3.0,2.0,90.0,46.0,7.6,25.0,0.00566209,0,0.9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448271,home,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175,76,M,983662,EUR,948326400,D,20,20,False,26.0,22.0,4.0,2.0,0.0,15.0,16.0,7.0,12.0,2.0,3.0,,,,90.0,62.0,7.6,11.0,0.0795061,1,,2.0,1.0,1.0,5.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0496,0.2323,,,,,,,,,,,,,,,
12448271,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183,24,M,930838,EUR,955324800,D,3,3,False,19.0,12.0,8.0,2.0,0.0,9.0,10.0,3.0,10.0,4.0,3.0,,,,90.0,33.0,8.0,9.0,0.00262442,1,,1.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,0.1347,0.394,1.0,1.0,,,,,,,,,,,,,
12448271,home,Almere City FC,Theo Barbet,theo-barbet,T. Barbet,D,22,184,56,M,911846,EUR,983836800,D,22,22,False,23.0,21.0,7.0,5.0,0.0,16.0,16.0,5.0,7.0,15.0,1.0,,,,84.0,42.0,7.4,2.0,0.00419278,0,,,1.0,1.0,3.0,2.0,1.0,,,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
12448271,home,Almere City FC,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178,227,M,1064426,EUR,988934400,D,14,14,False,30.0,23.0,5.0,2.0,1.0,13.0,14.0,12.0,20.0,4.0,6.0,,,,90.0,62.0,7.7,14.0,0.117117,0,,4.0,,1.0,2.0,7.0,1.0,1.0,3.0,3.0,,,2.0,1.0,,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,
12448271,home,Almere City FC,Thom Haye,thom-haye,T. Haye,M,33,187,10984,M,149666,EUR,792288000,M,19,19,False,24.0,19.0,4.0,3.0,0.0,10.0,11.0,10.0,19.0,1.0,7.0,,,,62.0,38.0,7.0,11.0,0.120093,0,,6.0,1.0,,3.0,4.0,1.0,1.0,1.0,1.0,,,,3.0,2.0,,,,,,,,1.0,,1.0,thomhaye,,,,,,,
12448271,home,Almere City FC,Anas Tahiri,anas-tahiri,A. Tahiri,M,19,179,260,M,544156,EUR,800496000,M,8,8,False,28.0,25.0,1.0,1.0,0.0,16.0,18.0,9.0,10.0,2.0,5.0,,,,84.0,38.0,7.0,4.0,0.0197505,0,,,,1.0,1.0,4.0,,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,
12448271,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,5,5,False,34.0,30.0,1.0,,0.0,14.0,15.0,16.0,20.0,1.0,8.0,,,,90.0,46.0,6.9,8.0,0.0982437,0,,1.0,,2.0,6.0,8.0,,,4.0,3.0,,,,,,3.0,,,,5.0,Jochem van de Kamp,,,2.0,2.0,,,,,,,,
12448271,home,Almere City FC,Adi Nalić,adi-nalic,A. Nalić,M,22,190,162,M,875437,EUR,880934400,M,16,16,False,20.0,13.0,1.0,1.0,0.0,7.0,10.0,6.0,10.0,,3.0,,,,74.0,36.0,7.7,12.0,0.035984,2,,,2.0,2.0,4.0,4.0,,1.0,2.0,2.0,2.0,,3.0,,,,0.3109,1.0675,1.0,1.0,,,,4.0,1.0,,,,,,,,
12448271,home,Almere City FC,Junior Kadile,kadile-junior,J. Kadile,M,11,182,132,M,999033,EUR,1039996800,M,11,11,False,20.0,16.0,,,1.0,6.0,8.0,10.0,13.0,,4.0,,,,74.0,45.0,7.4,17.0,0.18813,2,,1.0,1.0,5.0,8.0,11.0,1.0,3.0,5.0,3.0,2.0,,,3.0,1.0,,0.1007,0.0859,,1.0,,,,7.0,1.0,,1.0,,,,,,
