match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_bigChanceMissed,stat_outfielderBlock,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wonContest,captain,stat_accurateCross,stat_totalOffside
12514224,home,Sporting CP,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,24,24,False,17.0,14.0,4.0,1.0,0.0,13.0,14.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,90.0,22.0,6.6,3.0,0.00012639,0,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514224,home,Sporting CP,Iván Fresneda,,,ivan-fresneda,I. Fresneda,D,22,183,1941,M,1167818,EUR,1096243200,D,22,22,False,53.0,51.0,3.0,2.0,0.0,14.0,15.0,37.0,38.0,,3.0,,,,,90.0,67.0,7.4,6.0,0.0263637,1,,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.2606,0.2966,2.0,,,,,,,,,,,,,,
12514224,home,Sporting CP,Ousmane Diomande,Ousmane,Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,82.0,81.0,6.0,6.0,0.0,24.0,24.0,57.0,58.0,2.0,2.0,,,,,90.0,97.0,7.6,4.0,0.0333,3,,2.0,7.0,5.0,,2.0,1.0,1.0,3.0,2.0,1.0,,4.0,0.2231,0.6553,,ousdiomande,2.0,2.0,1.0,,,,,,,,,,
12514224,home,Sporting CP,Gonçalo Inácio,Gonçalo,Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,97.0,93.0,6.0,4.0,0.0,39.0,40.0,54.0,57.0,3.0,5.0,,,,,90.0,109.0,7.2,4.0,0.269107,1,,4.0,5.0,3.0,1.0,,,,1.0,1.0,,,1.0,0.1709,,1.0,goncaloinacio_25,2.0,1.0,2.0,1.0,1.0,,,,,,,,
12514224,home,Sporting CP,Maximiliano Araújo,Maximiliano,Araújo,maximiliano-araujo,M. Araújo,M,20,179,3576,M,929193,EUR,950572800,D,20,20,False,45.0,40.0,3.0,3.0,0.0,9.0,9.0,31.0,38.0,6.0,3.0,,,,,89.0,76.0,7.6,10.0,0.385767,1,,,3.0,8.0,,2.0,,,6.0,5.0,,,,0.0251,,1.0,,2.0,,1.0,,,2.0,1.0,1.0,1.0,,,,
12514224,home,Sporting CP,Geny Catamo,,,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,21,21,False,14.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,15.0,,1.0,,,,,25.0,22.0,6.5,9.0,0.0157921,0,,,3.0,1.0,,4.0,,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,
12514224,home,Sporting CP,Morten Hjulmand,Morten,Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,76.0,74.0,4.0,4.0,0.0,22.0,22.0,52.0,54.0,3.0,6.0,,,,,90.0,86.0,7.0,4.0,0.0680975,0,,1.0,4.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,2.0,,1.0,,1.0,,,,True,,
12514224,home,Sporting CP,Daniel Bragança,Daniel,Bragança,daniel-braganca,D. Bragança,M,23,178,1406,M,861979,EUR,927763200,M,23,23,False,41.0,34.0,4.0,3.0,0.0,9.0,11.0,25.0,32.0,,6.0,,,,,77.0,53.0,7.4,13.0,0.353475,1,,1.0,2.0,5.0,,,,,2.0,2.0,4.0,2.0,1.0,0.0149,,3.0,,1.0,1.0,,,,2.0,,,,,,,
12514224,home,Sporting CP,Geovany Quenda,Geovany,Quenda,geovany-quenda,G. Quenda,M,7,172,12851,M,1403165,EUR,1177891200,M,57,57,False,48.0,44.0,1.0,1.0,0.0,9.0,9.0,35.0,47.0,1.0,5.0,,,,,90.0,71.0,7.2,17.0,0.111642,1,,2.0,4.0,3.0,,5.0,1.0,,,,3.0,,,0.0326,0.2154,,GeoQuenda07,,,,,,8.0,,,,3.0,,,
12514224,home,Sporting CP,Francisco Trincão,Francisco,Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,38.0,34.0,4.0,3.0,1.0,6.0,6.0,30.0,36.0,1.0,4.0,,,,,89.0,67.0,7.8,16.0,0.140191,5,,,9.0,6.0,1.0,9.0,2.0,,1.0,1.0,1.0,1.0,2.0,0.3002,0.5493,2.0,trincao,,3.0,,,,4.0,1.0,,,4.0,,2.0,
