match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_shotValueNormalized,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_goals,stat_bigChanceMissed,captain,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork
14015658,home,SV Sandhausen,Arthur Lyska,arthur-lyska,A. Lyska,G,1,188.0,19,M,987807,EUR,958694400,G,1,1,False,24.0,17.0,10.0,3.0,0.0,15.0,16.0,2.0,8.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,1.0,90.0,33.0,4.9,7.0,0.3423,0,0.05,0.0,-0.47,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Louis Kolbe,kolbe-louis,L. Kolbe,D,3,174.0,9,M,1083379,EUR,1078963200,D,3,3,False,14.0,9.0,3.0,,1.0,8.0,11.0,1.0,3.0,1.0,1.0,,3.0,,,,,90.0,28.0,6.5,6.0,,2,0.15,0.2,-0.49,,Louis Kolbe,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,-0.26,,,,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Yannick Osee,yannick-osee,Y. Osee,D,13,194.0,3,M,857467,EUR,866160000,D,13,13,False,33.0,21.0,14.0,3.0,0.0,16.0,20.0,5.0,13.0,1.0,2.0,1.0,5.0,1.0,,,,90.0,51.0,6.0,13.0,,1,0.02,0.0,-0.46,,,,,1.0,5.0,,1.0,,,3.0,3.0,,-0.31,3.0,1.0,,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Kwabenaboye Schulz,kwabenaboye-schulz,K. Schulz,D,2,189.0,9,M,880804,EUR,907632000,D,2,2,False,29.0,23.0,8.0,3.0,0.0,23.0,26.0,,3.0,1.0,3.0,1.0,8.0,3.0,,,,90.0,41.0,5.7,6.0,,0,-0.01,-0.02,-0.55,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Ken Martin Gipson,gipson-ken-martin,K. M. Gipson,D,24,178.0,8,M,1002883,EUR,825120000,D,24,24,False,9.0,7.0,1.0,,0.0,7.0,8.0,,1.0,,4.0,2.0,3.0,1.0,,,,43.0,18.0,6.0,2.0,,0,0.0,0.01,-0.31,,,,,,1.0,,,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Luca de Meester,luca-de-meester,L. d. Meester,M,11,177.0,13,M,1189280,EUR,1075075200,M,11,11,False,7.0,7.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,,1.0,,1.0,1.0,,,,64.0,17.0,6.9,5.0,,0,0.35,0.04,-0.06,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,
14015658,home,SV Sandhausen,Leon Ampadu Wiafe,leon-ampadu-wiafe,L. A. Wiafe,M,8,193.0,15,M,1134629,EUR,998956800,M,8,8,False,27.0,19.0,2.0,,0.0,17.0,19.0,2.0,8.0,,1.0,,3.0,11.0,,,,90.0,40.0,8.1,9.0,,1,0.07,0.28,0.22,,,,,,4.0,,,1.0,1.0,3.0,3.0,1.0,0.54,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,
14015658,home,SV Sandhausen,Niklas Tarnat,niklas-tarnat,N. Tarnat,M,6,179.0,12,M,844133,EUR,896140800,M,6,6,False,17.0,12.0,5.0,2.0,0.0,9.0,10.0,3.0,7.0,,2.0,,2.0,3.0,,,,87.0,25.0,6.8,5.0,,0,-0.05,0.02,0.44,,,,,,1.0,,,,2.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,
14015658,home,SV Sandhausen,Denis Pfaffenrot,daniel-pfaffenroth,D. Pfaffenroth,M,19,179.0,10,M,1120919,EUR,1111104000,M,19,19,False,4.0,1.0,,,0.0,,1.0,1.0,3.0,,2.0,,,,,,,63.0,15.0,6.5,6.0,,1,-0.08,0.05,0.0,,,,1.0,,3.0,,1.0,,1.0,1.0,1.0,1.0,-0.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,
14015658,home,SV Sandhausen,Pascal Testroet,pascal-testroet,P. Testroet,F,37,184.0,56,M,37631,EUR,654307200,F,37,37,False,24.0,14.0,5.0,3.0,0.0,8.0,13.0,6.0,11.0,5.0,10.0,1.0,3.0,4.0,,,,90.0,36.0,6.4,14.0,,1,0.22,0.11,0.22,,,,2.0,,,,1.0,,1.0,,,,0.0,1.0,,2.0,,1.0,1.0,,,,,True,,,,,,
