match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,stat_totalClearance,stat_fouls,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_aerialLost,captain,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAGoal,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_errorLeadToAShot,stat_totalOffside
13472668,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,17.0,17.0,2.0,2.0,0.0,17.0,17.0,9.0,1.0,1.0,2.0,2.0,90.0,22.0,7.0,6.593e-05,0,0.0576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,62.0,54.0,1.0,,0.0,18.0,22.0,3.0,,,,,90.0,78.0,7.8,0.112511,0,,,,36.0,40.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,D,3,3,False,97.0,94.0,4.0,3.0,0.0,52.0,54.0,4.0,,,,,90.0,101.0,7.1,0.0173047,0,,,,42.0,43.0,,,1.0,,,,1.0,,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,112.0,110.0,4.0,3.0,0.0,50.0,50.0,5.0,,,,,90.0,119.0,7.2,0.0246989,0,,,,60.0,62.0,,,3.0,2.0,,,1.0,1.0,,,2.0,,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13338,M,alxsndro12,84854,EUR,664848000,D,26,26,False,16.0,15.0,1.0,1.0,0.0,1.0,1.0,,,,,,24.0,17.0,6.7,0.0277678,0,,,,14.0,15.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Jorginho,jorginho,Jorginho,M,21,180,32422,M,jorginhofrello,132874,EUR,693187200,M,21,21,False,137.0,132.0,7.0,6.0,0.0,65.0,66.0,7.0,,,,,90.0,144.0,7.1,0.117039,1,,,,67.0,71.0,1.0,,3.0,,1.0,1.0,1.0,,,,9.0,,,1.0,,,1.0,0.0522,,,,,,,,,,,,,,,,,,,
13472668,home,Flamengo,Saúl Ñíguez,saul-niguez,S. Ñíguez,M,8,184,13500,M,Saul,116955,EUR,785376000,M,8,8,False,57.0,52.0,3.0,1.0,0.0,19.0,20.0,4.0,,,,,70.0,67.0,7.2,0.0288439,3,,,,33.0,37.0,,,4.0,2.0,,1.0,1.0,1.0,,,6.0,1.0,,2.0,,2.0,,0.1181,1.0,2.0,1.0,1.0,0.0527,,,,,,,,,,,,,,
13472668,home,Flamengo,Gonzalo Plata,gonzalo-plata,G. Plata,M,19,178,20442,M,gonzaloplata,937937,EUR,973036800,M,50,50,False,29.0,24.0,,,0.0,8.0,10.0,5.0,,,,,45.0,37.0,6.5,0.0453583,1,,,,16.0,19.0,,,7.0,,1.0,1.0,1.0,,,,9.0,2.0,1.0,2.0,,2.0,1.0,0.0765,,,,2.0,,1.0,,,,,,,,,,,,,
13472668,home,Flamengo,Giorgian De Arrascaeta,giorgian-de-arrascaeta,Arrascaeta,M,10,173,86686,M,G10DeArrascaeta,333587,EUR,770428800,M,10,10,False,45.0,40.0,,,2.0,8.0,9.0,2.0,,,,,63.0,62.0,9.0,0.604855,2,,,,32.0,36.0,9.0,1.0,3.0,2.0,2.0,1.0,,1.0,1.0,1.0,16.0,3.0,,,,,1.0,0.1996,,,1.0,,0.1632,,True,2.0,1.0,,,,,,,,,,
13472668,home,Flamengo,Samuel Lino,samuel-lino,S. Lino,M,16,178,22210,M,osamuellino,874705,EUR,945907200,M,16,16,False,30.0,28.0,1.0,,3.0,4.0,5.0,3.0,,,,,63.0,40.0,10.0,0.490933,3,,,,24.0,25.0,1.0,,5.0,4.0,,3.0,,2.0,1.0,,6.0,4.0,,2.0,1.0,1.0,,1.0045,1.0,,3.0,,0.6447,,,2.0,2.0,1.0,,,,,,,,,
