match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,captain,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goalAssist,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_bigChanceCreated
10390042,home,AS Monaco,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2042,M,584722,EUR,844041600,G,16,16,False,18.0,14.0,12.0,8.0,12.0,14.0,2.0,4.0,8.0,1.0,4.0,6.0,90.0,31.0,8.3,4.0,0.0,0.0,0.00044774,0,0.3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390042,home,AS Monaco,Vanderson,Vanderson,,vanderson,Vanderson,D,2,173,6111,M,1090694,EUR,993081600,D,2,2,False,34.0,31.0,5.0,4.0,13.0,14.0,19.0,22.0,2.0,,,,70.0,51.0,7.0,6.0,0.0274,0.0,0.272637,1,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
10390042,home,AS Monaco,Axel Disasi,,,axel-disasi,A. Disasi,D,4,190,9725,M,827243,EUR,889574400,D,6,6,False,49.0,42.0,4.0,4.0,25.0,28.0,17.0,21.0,7.0,,,,90.0,57.0,7.2,7.0,0.0948,0.0,0.221134,1,,,,2.0,5.0,3.0,5.0,,1.0,5.0,,,,1.0,1.0,axel_disasi,True,,,,,,,,,,,,,,,
10390042,home,AS Monaco,Guillermo Maripán,,,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,3,3,False,60.0,51.0,9.0,3.0,34.0,35.0,17.0,25.0,11.0,,,,90.0,80.0,7.4,12.0,0.0604,0.0,0.0131806,1,,,,3.0,3.0,8.0,8.0,1.0,,4.0,1.0,1.0,1.0,3.0,,,,2.0,1.0,3.0,4.0,1.0,,,,,,,,,,
10390042,home,AS Monaco,Caio Henrique,,,caio-henrique,C. Henrique,D,12,178,3679,M,845170,EUR,870307200,D,12,12,False,54.0,44.0,3.0,2.0,20.0,26.0,25.0,36.0,5.0,,,,88.0,84.0,7.8,19.0,0.0,0.0,0.0700764,0,,8.0,1.0,2.0,2.0,2.0,8.0,,,2.0,,1.0,,,2.0,,,,,3.0,6.0,4.0,,,,,,,,,,
10390042,home,AS Monaco,Krépin Diatta,,,krepin-diatta,K. Diatta,M,27,173,13115,M,873534,EUR,919900800,M,27,27,False,18.0,11.0,,,3.0,4.0,8.0,15.0,6.0,,,,70.0,37.0,7.2,11.0,0.4123,0.4369,0.00984701,5,,1.0,,2.0,3.0,6.0,5.0,1.0,,1.0,,1.0,,2.0,,krepindiatta,,1.0,1.0,,1.0,,2.0,1.0,4.0,,,,,,,
10390042,home,AS Monaco,Youssouf Fofana,,,youssouf-fofana,Y. Fofana,M,19,185,6182,M,945062,EUR,915926400,M,19,19,False,51.0,43.0,4.0,2.0,18.0,23.0,25.0,28.0,9.0,,,,90.0,68.0,6.7,14.0,0.0433,0.0,0.0213464,1,,,,,,9.0,7.0,2.0,1.0,1.0,,1.0,,2.0,1.0,YFofana19_,,4.0,,,5.0,2.0,3.0,2.0,,,,,,,,
10390042,home,AS Monaco,Mohamed Camara,,,camara-mohamed,M. Camara,M,4,175,3786,M,1008849,EUR,947116800,M,4,4,False,55.0,48.0,9.0,8.0,24.0,25.0,24.0,30.0,7.0,,,,90.0,74.0,7.6,11.0,0.0677,0.0,0.0540963,2,,,,,2.0,4.0,7.0,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,camara_mohamed6,,,2.0,1.0,3.0,3.0,1.0,,,1.0,1.0,,,,,
10390042,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180,8439,M,318963,EUR,833414400,M,17,17,False,42.0,34.0,1.0,1.0,11.0,14.0,25.0,34.0,6.0,,,,79.0,72.0,7.9,22.0,0.1207,0.3663,0.235301,2,,6.0,2.0,1.0,1.0,7.0,7.0,1.0,,,,7.0,1.0,2.0,4.0,alex_golovin17,,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,,1.0,,,,
10390042,home,AS Monaco,Eliesse Ben Seghir,,,eliesse-ben-seghir,E. Ben Seghir,M,17,178,21668,M,1394353,EUR,1108512000,F,44,44,False,21.0,16.0,,,4.0,4.0,12.0,17.0,2.0,,,,78.0,47.0,6.8,12.0,0.5814,0.0,0.0703688,4,,,,,,4.0,9.0,,1.0,,,5.0,6.0,2.0,,benseghir44,,1.0,3.0,1.0,1.0,,3.0,2.0,,,,,1.0,,,
