match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_totalOffside,captain,stat_goals,stat_hitWoodwork,stat_savedShotsFromInsideTheBox
12545100,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195.0,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,19.0,17.0,3.0,1.0,0.0,16.0,16.0,1.0,3.0,1.0,11.0,2.0,1.0,90.0,26.0,7.3,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12545100,home,Al-Ahli,Ali Majrashi,,,ali-majrashi,A. Majrashi,D,27,177.0,404,M,,917035,EUR,938736000,D,27,27,False,35.0,29.0,3.0,1.0,0.0,5.0,7.0,26.0,36.0,2.0,5.0,,,89.0,64.0,7.1,18.0,1,8.0,2.0,1.0,7.0,6.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
12545100,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190.0,4099,M,merihdemiral,806968,EUR,889056000,D,28,28,False,83.0,74.0,9.0,6.0,0.0,31.0,33.0,43.0,50.0,5.0,4.0,,,90.0,90.0,7.5,9.0,1,,,4.0,2.0,5.0,,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,
12545100,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185.0,2314,M,,888949,EUR,911779200,D,3,3,False,94.0,87.0,6.0,4.0,0.0,44.0,44.0,43.0,50.0,1.0,7.0,,,90.0,106.0,7.6,10.0,0,,,3.0,3.0,8.0,1.0,,3.0,2.0,,3.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,
12545100,home,Al-Ahli,Bassam Al-Hurayji,Mohammed Bassam Alhurayji,,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,,1085357,EUR,954288000,D,6,6,False,23.0,20.0,1.0,,0.0,3.0,5.0,19.0,21.0,,1.0,,,72.0,37.0,6.8,5.0,0,3.0,2.0,,3.0,2.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
12545100,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,,1048372,EUR,1005436800,M,30,30,False,47.0,46.0,2.0,2.0,0.0,18.0,19.0,29.0,29.0,1.0,1.0,,,72.0,55.0,6.8,3.0,2,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,2.0,,2.0,,1.0,,,2.0,,,,,,,,
12545100,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183.0,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,87.0,81.0,3.0,1.0,1.0,24.0,25.0,57.0,63.0,,10.0,,,90.0,96.0,8.3,11.0,2,1.0,,1.0,1.0,1.0,,,,,,,,3.0,,,5.0,1.0,,,,1.0,2.0,,,,,,
12545100,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,51.0,45.0,5.0,3.0,0.0,8.0,8.0,39.0,46.0,1.0,2.0,,,90.0,72.0,7.3,12.0,6,3.0,2.0,,6.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,,4.0,1.0,1.0,1.0,1.0,,,,
12545100,home,Al-Ahli,Roberto Firmino,,,roberto-firmino,R. Firmino,M,9,181.0,30860,M,BobbyFirmino,143697,EUR,686361600,M,10,10,False,42.0,32.0,1.0,,0.0,9.0,10.0,23.0,33.0,2.0,2.0,,,90.0,57.0,7.5,14.0,4,1.0,,1.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,2.0,,,1.0,,2.0,,,True,1.0,,
12545100,home,Al-Ahli,Gabri Veiga,,,gabri-veiga,G. Veiga,M,10,184.0,5191,M,,1010505,EUR,1022457600,M,24,24,False,20.0,18.0,,,0.0,6.0,6.0,12.0,15.0,,3.0,,,72.0,36.0,7.2,7.0,5,1.0,,1.0,5.0,4.0,,1.0,3.0,2.0,5.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,
