match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_interceptionWon,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,player_sofascoreId,stat_aerialLost,stat_errorLeadToAShot,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_goodHighClaim,stat_totalOffside
11396273,home,VfB Stuttgart,Fabian Bredlow,fabian-bredlow,F. Bredlow,G,1,191,219,M,152463,EUR,794102400,G,1,1,False,22.0,21.0,3.0,2.0,20.0,21.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,90.0,33.0,7.5,1.0,0.00014057,0,-0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396273,home,VfB Stuttgart,Josha Vagnoman,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,D,4,4,False,73.0,64.0,2.0,1.0,36.0,38.0,29.0,41.0,6.0,1.0,4.0,,,90.0,105.0,6.6,21.0,0.0416287,0,,6.0,1.0,1.0,6.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11396273,home,VfB Stuttgart,Anthony Rouault,anthony-rouault,A. Rouault,D,24,186,602,M,991479,EUR,991094400,D,29,29,False,84.0,80.0,11.0,8.0,60.0,62.0,20.0,22.0,2.0,1.0,5.0,,,65.0,94.0,7.0,6.0,0.0146122,0,,,,1.0,3.0,,1.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396273,home,VfB Stuttgart,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,106.0,98.0,2.0,1.0,70.0,74.0,28.0,32.0,3.0,,6.0,,,90.0,122.0,6.8,12.0,0.0152506,1,,,,2.0,3.0,2.0,1.0,1.0,5.0,,,2.0,,1.0,,True,1.0,1.0,0.0503,,,,,,,,,,,,,,,
11396273,home,VfB Stuttgart,Hiroki Itō,hiroki-ito,H. Itō,D,21,188,6725,M,873106,EUR,926467200,D,21,21,False,108.0,100.0,15.0,7.0,51.0,55.0,52.0,58.0,4.0,3.0,10.0,,,90.0,136.0,7.3,12.0,0.451394,0,,5.0,3.0,,3.0,,1.0,1.0,6.0,2.0,2.0,2.0,,,,,,1.0,,hiroki_ito38,1.0,1.0,3.0,,,,,,,,,,,
11396273,home,VfB Stuttgart,Atakan Karazor,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,False,71.0,67.0,1.0,1.0,25.0,26.0,42.0,45.0,4.0,3.0,3.0,,,67.0,82.0,7.1,5.0,0.0763694,0,,,,1.0,5.0,,,,,2.0,1.0,1.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
11396273,home,VfB Stuttgart,Angelo Stiller,stiller-angelo,A. Stiller,M,6,183,7426,M,901882,EUR,986342400,M,6,6,False,116.0,109.0,3.0,,46.0,47.0,63.0,74.0,4.0,,5.0,,,90.0,141.0,7.7,16.0,0.0788768,1,,5.0,,1.0,8.0,2.0,1.0,,1.0,4.0,3.0,1.0,3.0,,1.0,,1.0,1.0,0.0943,,1.0,,2.0,,,,,,,,,,,
11396273,home,VfB Stuttgart,Woo-Yeong Jeong,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,M,10,10,False,41.0,37.0,1.0,,13.0,13.0,25.0,29.0,3.0,,6.0,,,65.0,53.0,7.5,6.0,0.192093,2,,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,3.0,2.0,,1.0,,,,,,0.2039,,1.0,,1.0,2.0,0.1875,,,,,,,,,
11396273,home,VfB Stuttgart,Enzo Millot,millot-enzo,E. Millot,M,10,175,4915,M,957889,EUR,1026864000,M,8,8,False,64.0,50.0,3.0,,14.0,17.0,37.0,50.0,3.0,1.0,3.0,,,86.0,81.0,7.8,18.0,0.354269,3,,3.0,1.0,,4.0,,2.0,2.0,,,,2.0,2.0,3.0,1.0,,,,1.1228,,1.0,,2.0,3.0,0.7769,,,1.0,1.0,,,,,
11396273,home,VfB Stuttgart,Chris Führich,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,27,27,False,55.0,50.0,3.0,2.0,14.0,15.0,37.0,49.0,6.0,,3.0,,,90.0,83.0,7.3,20.0,0.996283,1,,9.0,1.0,,3.0,1.0,7.0,2.0,,1.0,1.0,,,,,,1.0,,0.0399,,,,2.0,,,,,,,1.0,1.0,,,
