match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_totalCross,stat_goalAssist,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonTackle,stat_totalOffside,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_dispossessed,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyFaced,stat_bigChanceCreated,stat_penaltyConceded
10437936,home,Sporting CP,Antonio Adán,antonio-adan,A. Adán,G,1,192,816,M,59623,EUR,547862400,G,1,1,False,True,20.0,20.0,3.0,3.0,20.0,20.0,7.0,1.0,1.0,2.0,90.0,30.0,6.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437936,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,,99.0,93.0,3.0,1.0,41.0,43.0,2.0,,,,90.0,110.0,6.9,0,Gonçalo,Inácio,goncaloinacio_25,52.0,56.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,
10437936,home,Sporting CP,José Marsà,jose-marsa,J. Martinez,D,3,181,222,M,962625,EUR,1015200000,D,63,63,False,,43.0,42.0,3.0,2.0,29.0,29.0,6.0,,,,45.0,45.0,6.7,0,,,,13.0,14.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10437936,home,Sporting CP,Matheus Reis,reis-matheus,M. Reis,D,2,183,1301,M,797648,EUR,793065600,D,2,2,False,,89.0,86.0,2.0,1.0,38.0,38.0,4.0,,,,90.0,98.0,6.9,0,,,,48.0,53.0,2.0,,3.0,2.0,,,1.0,1.0,,2.0,1.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10437936,home,Sporting CP,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,913654,EUR,937180800,M,24,24,False,,40.0,33.0,3.0,1.0,14.0,14.0,4.0,,,,78.0,75.0,7.7,3,,,pedroporro29,21.0,34.0,,,4.0,7.0,1.0,2.0,,,4.0,2.0,,18.0,3.0,8.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
10437936,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,False,,51.0,46.0,1.0,1.0,16.0,17.0,7.0,,,,90.0,65.0,7.2,2,Hidemasa,Morita,,30.0,34.0,,1.0,3.0,3.0,,,,2.0,1.0,1.0,2.0,8.0,2.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,
10437936,home,Sporting CP,Manuel Ugarte,manuel-ugarte,M. Ugarte,M,25,182,19122,M,846425,EUR,986947200,M,15,15,False,,56.0,53.0,1.0,1.0,20.0,20.0,6.0,,,,78.0,70.0,6.8,2,,,ugartemanu,33.0,36.0,,1.0,7.0,4.0,1.0,1.0,,3.0,1.0,1.0,3.0,6.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,3.0,,,,,,,
10437936,home,Sporting CP,Nuno Santos,nuno-santos,N. Santos,M,11,179,1386,M,352882,EUR,792547200,M,11,11,False,,55.0,48.0,4.0,2.0,18.0,19.0,3.0,,,,90.0,72.0,7.5,4,Nuno,Santos,,30.0,39.0,1.0,,4.0,4.0,1.0,1.0,,,,3.0,1.0,11.0,1.0,3.0,,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,,
10437936,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,,22.0,17.0,1.0,1.0,2.0,3.0,1.0,,,,54.0,32.0,6.9,2,Francisco,Trincão,trincao,15.0,19.0,1.0,,3.0,2.0,1.0,,,,,,1.0,10.0,2.0,,,,3.0,2.0,1.0,,,1.0,1.0,4.0,,,1.0,,,,,
10437936,home,Sporting CP,Pedro Gonçalves,pedro-goncalves,P. Gonçalves,F,8,173,8267,M,895764,EUR,898992000,F,28,28,False,,24.0,21.0,2.0,1.0,6.0,6.0,1.0,,,,72.0,43.0,7.6,7,,,pedroogoncalves28,15.0,20.0,,,4.0,4.0,,,,1.0,3.0,,1.0,9.0,3.0,2.0,,,4.0,1.0,1.0,3.0,,1.0,3.0,1.0,,1.0,,,,,,
