match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialWon,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_challengeLost,stat_totalCross,stat_dispossessed,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goalAssist,stat_goals,stat_clearanceOffLine,stat_shotOffTarget,stat_fouls,stat_blockedScoringAttempt,stat_totalOffside
11768328,home,Crewe Alexandra,Harvey Davies,,,davies-harvey,H. Davies,G,1,185.0,2413,M,1008403,EUR,1062547200,G,1,1,False,38.0,18.0,28.0,8.0,12.0,14.0,6.0,24.0,3.0,14.0,1.0,2.0,4.0,5.0,90.0,52.0,6.7,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Ryan Cooney,,,ryan-cooney,R. Cooney,M,2,179.0,27,M,863214,EUR,951523200,D,2,2,False,20.0,17.0,3.0,1.0,13.0,14.0,4.0,6.0,6.0,6.0,,,,,90.0,41.0,6.6,6.0,0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Luke Offord,,,luke-offord,L. Offord,D,15,183.0,17,M,913375,EUR,942969600,D,6,6,False,31.0,21.0,4.0,,19.0,23.0,2.0,8.0,11.0,4.0,,,,,90.0,50.0,6.7,11.0,0,,1.0,4.0,2.0,1.0,,,,True,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Connor O'Riordan,Connor O'Riordan,,connor-oriordan,C. O'Riordan,D,26,193.0,71,M,1133480,EUR,1066521600,D,15,15,False,25.0,19.0,6.0,2.0,18.0,20.0,1.0,5.0,11.0,3.0,,,,,90.0,48.0,7.1,7.0,0,5.0,5.0,,,2.0,,,1.0,,,,4.0,,,,,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Mickey Demetriou,Mickey,Demetriou,mickey-demetriou,M. Demetriou,D,5,188.0,50,M,192970,EUR,637113600,D,5,5,False,26.0,16.0,11.0,3.0,14.0,18.0,2.0,8.0,11.0,4.0,,,,,90.0,47.0,6.7,13.0,0,1.0,3.0,3.0,,1.0,,,1.0,,3.0,,2.0,,2.0,,,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Lewis Billington,Lewis Billington,,lewis-billington,L. Billington,D,2,185.0,4,M,1201305,EUR,1076976000,D,28,28,False,19.0,17.0,2.0,1.0,14.0,15.0,3.0,5.0,7.0,4.0,,,,,76.0,46.0,7.6,6.0,0,1.0,3.0,4.0,,1.0,3.0,3.0,2.0,,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
11768328,home,Crewe Alexandra,Joe White,,,joe-white,J. White,M,30,186.0,208,M,994550,EUR,1033430400,M,30,30,False,19.0,12.0,3.0,,6.0,7.0,7.0,14.0,3.0,5.0,,,,,82.0,39.0,6.8,14.0,0,1.0,3.0,2.0,1.0,,,,3.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,
11768328,home,Crewe Alexandra,Conor Thomas,,,conor-thomas,C. Thomas,M,8,185.0,12,M,140061,EUR,751852800,M,8,8,False,33.0,24.0,8.0,4.0,17.0,20.0,7.0,13.0,5.0,5.0,,,,,90.0,46.0,6.8,10.0,1,,,3.0,,2.0,3.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
11768328,home,Crewe Alexandra,Rio Adebisi,,,rio-adebisi,R. Adebisi,D,3,175.0,34,M,990380,EUR,970012800,M,3,3,False,28.0,21.0,4.0,1.0,14.0,17.0,8.0,12.0,3.0,7.0,,,,,90.0,46.0,7.6,10.0,1,2.0,6.0,6.0,2.0,,3.0,3.0,2.0,,1.0,2.0,,,4.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,
11768328,home,Crewe Alexandra,Courtney Baker-Richardson,,,courtney-baker-richardson,C. Baker-Richardson,F,9,185.0,39,M,362690,EUR,818121600,F,9,9,False,15.0,7.0,2.0,,2.0,5.0,5.0,10.0,7.0,2.0,,,,,90.0,36.0,8.4,14.0,2,8.0,11.0,1.0,,,,,4.0,,,,2.0,1.0,1.0,,2.0,,,2.0,,2.0,1.0,1.0,1.0,,,,
