match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_fouls,stat_challengeLost,stat_totalContest,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_goalAssist,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_bigChanceCreated,stat_outfielderBlock
10437948,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,23.0,13.0,16.0,6.0,8.0,10.0,5.0,13.0,3.0,5.0,1.0,3.0,2.0,2.0,2.0,90.0,33.0,7.2,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10437948,home,Famalicão,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184,376,M,1004278,EUR,999993600,D,6,6,False,38.0,25.0,8.0,2.0,12.0,16.0,14.0,26.0,2.0,1.0,,,,,,90.0,57.0,7.6,18.0,2,4.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,
10437948,home,Famalicão,Riccieli,,,riccieli,Riccieli,D,5,184,208,M,927166,EUR,905990400,D,15,15,False,60.0,54.0,5.0,2.0,47.0,49.0,7.0,11.0,7.0,7.0,,,,,,90.0,73.0,7.0,6.0,1,,,4.0,5.0,,1.0,,1.0,1.0,,True,1.0,1.0,2.0,,,,,,,,,,,,
10437948,home,Famalicão,Enea Mihaj,,,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,False,69.0,61.0,11.0,7.0,49.0,54.0,12.0,15.0,3.0,4.0,,,,,,90.0,74.0,6.7,9.0,0,,,2.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,
10437948,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,41.0,36.0,2.0,1.0,22.0,24.0,15.0,22.0,2.0,4.0,,,,,,90.0,65.0,6.5,12.0,0,5.0,1.0,,2.0,,,,,,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,
10437948,home,Famalicão,Santiago Colombatto,,,santiago-colombatto,S. Colombatto,M,11,180,597,M,822379,EUR,853459200,M,97,97,False,54.0,50.0,4.0,4.0,26.0,29.0,26.0,32.0,2.0,5.0,,,,,,90.0,75.0,7.5,11.0,1,7.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,5.0,4.0,2.0,,2.0,,2.0,,,,,,,
10437948,home,Famalicão,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,981217,EUR,954374400,M,12,12,False,69.0,59.0,7.0,6.0,40.0,44.0,19.0,25.0,3.0,15.0,,,,,,79.0,81.0,7.2,12.0,0,,,1.0,3.0,,,,2.0,1.0,2.0,,1.0,3.0,2.0,2.0,,,,1.0,,,,,,,
10437948,home,Famalicão,Pablo Felipe,Pablo Felipe Pereira de Jesus,,pablo-felipe,P. Felipe,F,19,184,2627,M,1101174,EUR,1073001600,M,77,77,False,5.0,5.0,,,,,5.0,7.0,1.0,1.0,,,,,,67.0,25.0,5.7,10.0,0,2.0,,,2.0,,,,1.0,1.0,2.0,,3.0,12.0,,2.0,1.0,3.0,1.0,,3.0,,,,,,
10437948,home,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,33.0,31.0,3.0,3.0,9.0,10.0,22.0,23.0,,3.0,,,,,,67.0,48.0,6.6,8.0,1,,,1.0,4.0,,1.0,,2.0,1.0,2.0,,1.0,8.0,,2.0,1.0,1.0,1.0,,3.0,,,,,,
10437948,home,Famalicão,Iván Jaime,,,ivan-jaime,I. Jaime,M,11,180,1015,M,951986,EUR,969926400,M,10,10,False,38.0,32.0,4.0,3.0,9.0,10.0,23.0,28.0,,7.0,,,,,,89.0,59.0,7.8,14.0,3,,,1.0,6.0,1.0,1.0,1.0,,,2.0,,,8.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,,,
