match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_wonContest,stat_errorLeadToAShot,stat_dispossessed,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_goals
14083645,home,Real Oviedo,Aarón Escandell,aaron-escandell,A. Escandell,G,13,188,1011,M,368922,EUR,812160000,G,13,13,False,27.0,25.0,7.0,5.0,0.0,24.0,25.0,1.0,2.0,2.0,4.0,3.0,1.0,90.0,35.0,6.9,2.0,0.00020361,0.1282,0,0.2013,0.03,-0.02,-0.18,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083645,home,Real Oviedo,Lucas Ahijado,lucas-ahijado,L. Ahijado,D,24,173,119,M,597876,EUR,791424000,D,24,24,False,46.0,39.0,5.0,1.0,0.0,20.0,21.0,19.0,25.0,3.0,2.0,,,90.0,67.0,7.1,9.0,0.0193238,,0,,0.02,0.1,-0.02,,2.0,1.0,8.0,1.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083645,home,Real Oviedo,Eric Bailly,eric-bailly,E. Bailly,D,2,187,4273,M,606346,EUR,766108800,D,2,2,False,59.0,50.0,5.0,2.0,0.0,38.0,42.0,12.0,17.0,7.0,4.0,,,90.0,73.0,7.6,9.0,0.159788,,0,,0.35,0.11,0.46,,4.0,3.0,6.0,,2.0,1.0,1.0,,1.0,,,ericbailly,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
14083645,home,Real Oviedo,David Carmo,david-carmo,D. Carmo,D,16,196,2256,M,892235,EUR,932342400,D,16,16,False,83.0,75.0,17.0,10.0,0.0,53.0,56.0,22.0,27.0,8.0,5.0,,,90.0,101.0,7.1,8.0,0.0131202,,3,,0.28,0.12,-0.27,,7.0,,7.0,,3.0,,,,,,,,,1.0,,1.0,1.0,1.0,0.2938,0.2129,-0.59,,,,,,,,,,,,,,
14083645,home,Real Oviedo,Abdel Rahim,abdel-rahim-alhassane,A. R. Alhassane,D,3,184,3785,M,1120504,EUR,1009843200,D,3,3,False,40.0,32.0,4.0,2.0,0.0,21.0,22.0,11.0,18.0,3.0,3.0,,,90.0,82.0,7.2,23.0,0.27449,,0,,0.61,0.11,0.52,,,6.0,4.0,2.0,,4.0,2.0,3.0,,,,,1.0,2.0,2.0,,,,,,,8.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,
14083645,home,Real Oviedo,Alberto Reina,alberto-reina-campos,A. Reina,M,5,179,337,M,882475,EUR,873763200,M,5,5,False,25.0,23.0,2.0,,0.0,11.0,11.0,12.0,14.0,1.0,2.0,,,58.0,31.0,6.3,5.0,0.00319728,,1,,-0.07,0.12,-0.05,,1.0,3.0,2.0,,,,,2.0,1.0,,,,1.0,,2.0,1.0,,,0.0613,,-0.18,1.0,,,,,,,,,,,,,
14083645,home,Real Oviedo,Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1679,M,190405,EUR,797904000,M,20,20,False,45.0,41.0,1.0,1.0,0.0,30.0,31.0,11.0,14.0,1.0,5.0,,,83.0,54.0,6.8,5.0,0.00752056,,0,,0.06,0.1,0.13,,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,
14083645,home,Real Oviedo,Santiago Colombatto,santiago-colombatto,S. Colombatto,M,11,180,597,M,822379,EUR,853459200,M,11,11,False,39.0,32.0,3.0,2.0,0.0,18.0,19.0,14.0,20.0,1.0,4.0,,,74.0,52.0,6.8,10.0,0.00737919,,0,,-0.05,0.11,-0.03,,1.0,1.0,4.0,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,
14083645,home,Real Oviedo,Haissem Hassan,haissem-hassan,H. Hassan,M,10,173,5683,M,942836,EUR,1013126400,F,10,10,False,29.0,27.0,5.0,5.0,0.0,12.0,12.0,15.0,17.0,,2.0,,,90.0,55.0,7.9,15.0,0.568118,,2,,0.65,0.33,0.14,,,6.0,6.0,8.0,,1.0,1.0,3.0,1.0,,,,,,1.0,,,2.0,0.1089,,-0.03,8.0,3.0,,,,3.0,4.0,,1.0,,,,,
14083645,home,Real Oviedo,Salomón Rondón,salomon-rondon,S. Rondón,F,23,189,12917,M,35532,EUR,621907200,F,23,23,False,10.0,6.0,,,0.0,3.0,4.0,3.0,6.0,,1.0,,,58.0,13.0,6.4,4.0,0.00058731,,1,,-0.19,0.16,-0.01,,3.0,3.0,4.0,,,,,,1.0,,,salorondon23,3.0,,1.0,1.0,,,0.0274,,-0.18,,,,,,,,,,True,,,,
14083645,home,Real Oviedo,Josip Brekalo,josip-brekalo,J. Brekalo,M,7,175,2234,M,357598,EUR,898560000,F,18,18,False,18.0,13.0,1.0,,0.0,7.0,7.0,6.0,11.0,,,,,45.0,23.0,6.4,9.0,0.0118931,,1,,-0.06,0.16,-0.01,,,1.0,,,,,,1.0,,,,,,,,1.0,,,0.0431,,-0.25,2.0,,,,,,,,1.0,,,,,
